"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"fluorouracil","PC-3","6","10","up regulation","14.46","UBQLN2"
"fluorouracil","PC-3","6","10","up regulation","10.44","PIP4K2B"
"fluorouracil","PC-3","6","10","up regulation","10.304","USP7"
"fluorouracil","PC-3","6","10","up regulation","9.655","RBKS"
"fluorouracil","PC-3","6","10","up regulation","8.527","WRB"
"fluorouracil","MCF7","24","10","up regulation","8.476","CDKN1A"
"fluorouracil","PC-3","6","10","up regulation","8.201","GPATCH8"
"fluorouracil","A549","6","3.3333","up regulation","8.163","GHR"
"fluorouracil","MCF7","6","0.0015","up regulation","8.061","CDK6"
"fluorouracil","A549","6","1.1111","up regulation","7.913","TIAM1"
"fluorouracil","A549","6","0.0015","up regulation","7.391","GHR"
"fluorouracil","A549","6","3.3333","up regulation","7.271","ADCK3"
"fluorouracil","PC-3","6","10","up regulation","7.222","ST3GAL5"
"fluorouracil","MCF7","24","10","up regulation","6.65","SLC35F2"
"fluorouracil","MCF7","24","10","up regulation","6.37","FOSL1"
"fluorouracil","PC-3","6","10","up regulation","6.367","CHP"
"fluorouracil","A549","6","10","up regulation","6.235","SESN1"
"fluorouracil","A549","6","0.0015","up regulation","6.015","MAPK13"
"fluorouracil","MCF7","24","10","up regulation","5.972","HIST2H2BE"
"fluorouracil","MCF7","24","10","up regulation","5.569","MVP"
"fluorouracil","A549","6","3.3333","up regulation","5.515","ZNF586"
"fluorouracil","MCF7","24","10","up regulation","5.482","NFATC3"
"fluorouracil","A549","6","0.0046","up regulation","5.299","GFOD1"
"fluorouracil","MCF7","24","10","up regulation","5.289","FAS"
"fluorouracil","A549","6","10","up regulation","5.175","CDK6"
"fluorouracil","MCF7","24","10","up regulation","5.117","FHL2"
"fluorouracil","A549","6","0.0046","up regulation","5.068","CHP"
"fluorouracil","A549","6","3.3333","up regulation","5.043","SLC1A4"
"fluorouracil","PC-3","6","10","up regulation","5.04","TRAPPC6A"
"fluorouracil","MCF7","24","10","up regulation","4.932","DUSP4"
"fluorouracil","MCF7","24","10","up regulation","4.781","LOXL1"
"fluorouracil","MCF7","24","10","up regulation","4.669","LRP10"
"fluorouracil","MCF7","24","10","up regulation","4.667","PIK3R3"
"fluorouracil","MCF7","24","10","up regulation","4.64","YME1L1"
"fluorouracil","PC-3","6","10","up regulation","4.58","FZD7"
"fluorouracil","MCF7","24","10","up regulation","4.509","STK10"
"fluorouracil","MCF7","24","10","up regulation","4.491","DDIT4"
"fluorouracil","MCF7","24","10","up regulation","4.467","DDB2"
"fluorouracil","PC-3","6","10","up regulation","4.39","NNT"
"fluorouracil","MCF7","24","10","up regulation","4.376","BLCAP"
"fluorouracil","MCF7","24","10","up regulation","4.323","BAX"
"fluorouracil","PC-3","6","10","up regulation","4.317","PLSCR1"
"fluorouracil","MCF7","24","10","up regulation","4.087","GATA3"
"fluorouracil","A549","6","0.0015","up regulation","4.07","FKBP14"
"fluorouracil","MCF7","24","10","up regulation","4.052","SMAD3"
"fluorouracil","MCF7","24","10","up regulation","4.01","RFX5"
"fluorouracil","MCF7","24","10","up regulation","3.98","P4HA2"
