"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"cediranib","Hep G2","6","10","up regulation","21.217","STX1A"
"cediranib","Hep G2","6","10","up regulation","21.039","RNF167"
"cediranib","A549","6","10","up regulation","14.133","ADO"
"cediranib","A549","6","10","up regulation","10.968","MAPK13"
"cediranib","VCaP","24","10","up regulation","9.484","ACLY"
"cediranib","MCF7","24","10","up regulation","9.354","SLC1A4"
"cediranib","MCF7","24","10","up regulation","7.932","ADCK3"
"cediranib","HT-29","6","10","up regulation","7.698","SLC25A14"
"cediranib","MCF7","24","10","up regulation","7.207","FBXO11"
"cediranib","A549","24","10","up regulation","7.004","E2F2"
"cediranib","PC-3","6","10","up regulation","6.529","MCOLN1"
"cediranib","HT-29","6","10","up regulation","6.246","MCOLN1"
"cediranib","MCF7","24","10","up regulation","6.242","ADO"
"cediranib","PC-3","6","10","up regulation","6.225","GPER"
"cediranib","A549","6","10","up regulation","5.987","ST6GALNAC2"
"cediranib","MCF7","6","10","up regulation","5.972","GPATCH8"
"cediranib","A549","6","10","up regulation","5.937","INSIG1"
"cediranib","A549","6","10","up regulation","5.933","GATA3"
"cediranib","VCaP","24","10","up regulation","5.864","HMGCR"
"cediranib","HT-29","6","10","up regulation","5.774","INSIG1"
"cediranib","A549","6","10","up regulation","5.474","SESN1"
"cediranib","A549","6","10","up regulation","5.388","GNPDA1"
"cediranib","MCF7","6","10","up regulation","5.376","MYLK"
"cediranib","A549","24","10","up regulation","5.306","ALDOC"
"cediranib","PC-3","6","10","up regulation","5.3","SLC37A4"
"cediranib","A549","6","10","up regulation","5.258","IKZF1"
"cediranib","MCF7","24","10","up regulation","5.215","DHDDS"
"cediranib","MCF7","6","10","up regulation","5.093","SPP1"
"cediranib","MCF7","6","10","up regulation","4.983","CNOT4"
"cediranib","Hep G2","6","10","up regulation","4.983","MAPK1IP1L"
"cediranib","VCaP","24","10","up regulation","4.949","ALDOC"
"cediranib","A549","6","10","up regulation","4.944","SLC37A4"
"cediranib","VCaP","6","10","up regulation","4.931","SGCB"
"cediranib","MCF7","6","10","up regulation","4.78","PPARG"
"cediranib","VCaP","24","10","up regulation","4.758","ACAT2"
"cediranib","MCF7","6","10","up regulation","4.746","RELB"
"cediranib","VCaP","6","10","up regulation","4.745","ACLY"
"cediranib","A549","24","10","up regulation","4.742","PTGS2"
"cediranib","MCF7","6","10","up regulation","4.712","CXCL2"
"cediranib","VCaP","6","10","up regulation","4.654","DDIT4"
"cediranib","VCaP","6","10","up regulation","4.564","MTHFD2"
"cediranib","VCaP","24","10","up regulation","4.524","SLC2A6"
"cediranib","HT-29","6","10","up regulation","4.523","NSDHL"
"cediranib","A549","24","10","up regulation","4.455","FDFT1"
"cediranib","PC-3","6","10","up regulation","4.445","INSIG1"
"cediranib","MCF7","6","10","up regulation","4.42","ADO"
"cediranib","MCF7","6","10","up regulation","4.281","CHP"
"cediranib","MCF7","6","10","up regulation","4.274","KLHL21"
"cediranib","VCaP","6","10","up regulation","4.273","CASP2"
"cediranib","A549","6","10","up regulation","4.272","PXMP2"
"cediranib","VCaP","24","10","up regulation","4.206","NSDHL"
"cediranib","HT-29","6","10","up regulation","4.154","ADAM10"
"cediranib","VCaP","6","10","up regulation","4.154","INSIG1"
"cediranib","MCF7","6","10","up regulation","4.153","ACLY"
"cediranib","HT-29","6","10","up regulation","4.142","GRB10"
"cediranib","MCF7","6","10","up regulation","4.051","CCDC92"
"cediranib","A549","6","10","up regulation","3.958","FDFT1"
"cediranib","VCaP","6","10","up regulation","3.919","HMGCR"
"cediranib","MCF7","6","10","up regulation","3.906","LYN"
"cediranib","HT-29","6","10","up regulation","3.885","EBP"
"cediranib","PC-3","6","10","up regulation","3.88","ID2"
"cediranib","MCF7","6","10","up regulation","3.865","KDM5A"
"cediranib","PC-3","24","10","up regulation","3.861","ZNF586"
"cediranib","MCF7","6","10","up regulation","3.787","TGFBR2"
"cediranib","Hep G2","6","10","up regulation","3.759","PTGS2"
"cediranib","Hep G2","6","10","up regulation","3.745","TIAM1"
"cediranib","MCF7","6","10","up regulation","3.666","PEX11A"
"cediranib","MCF7","6","10","up regulation","3.63","CASP2"
"cediranib","MCF7","6","10","up regulation","3.629","ADCK3"
"cediranib","MCF7","6","10","up regulation","3.615","INSIG1"
"cediranib","Hep G2","6","10","up regulation","3.609","GATA2"
"cediranib","PC-3","24","10","up regulation","3.582","PIGB"
"cediranib","Hep G2","6","10","up regulation","3.548","HMGCR"
"cediranib","VCaP","24","10","up regulation","3.546","TJP1"
"cediranib","HT-29","6","10","up regulation","3.544","ALDOC"
"cediranib","A549","24","10","up regulation","3.538","USP6NL"
"cediranib","MCF7","6","10","up regulation","3.536","ME2"
"cediranib","VCaP","24","10","up regulation","3.534","DDIT4"
"cediranib","VCaP","6","10","up regulation","3.533","IKZF1"
"cediranib","MCF7","6","10","up regulation","3.516","GNAI1"
"cediranib","MCF7","24","10","up regulation","3.501","RSU1"
"cediranib","PC-3","24","10","up regulation","3.487","ICAM1"
"cediranib","MCF7","6","10","up regulation","3.477","E2F2"
"cediranib","Hep G2","6","10","up regulation","3.475","RELB"
"cediranib","A549","24","10","up regulation","3.473","CTSD"
"cediranib","VCaP","6","10","up regulation","3.411","RELB"
"cediranib","HT-29","6","10","up regulation","3.391","RAB27A"
"cediranib","PC-3","24","10","up regulation","3.371","C5"
"cediranib","HT-29","6","10","up regulation","3.329","PRKCH"
"cediranib","HT-29","6","10","up regulation","3.32","MAST2"
"cediranib","VCaP","24","10","up regulation","3.301","FDFT1"
"cediranib","PC-3","24","10","up regulation","3.295","FDFT1"
"cediranib","VCaP","6","10","up regulation","3.279","SYNGR3"
"cediranib","MCF7","24","10","up regulation","3.255","ALDOC"
"cediranib","A549","6","10","up regulation","3.254","VAV3"
"cediranib","A549","24","10","up regulation","3.244","TSC22D3"
"cediranib","Hep G2","6","10","up regulation","3.227","GHR"
"cediranib","PC-3","24","10","up regulation","3.199","FBXO11"
"cediranib","PC-3","6","10","up regulation","3.199","DDX42"
"cediranib","MCF7","24","10","up regulation","3.197","LYN"
"cediranib","HT-29","6","10","up regulation","3.165","HMGCS1"
"cediranib","VCaP","24","10","up regulation","3.162","INSIG1"
"cediranib","MCF7","6","10","up regulation","3.153","HOXA10"
"cediranib","VCaP","6","10","up regulation","3.147","FDFT1"
"cediranib","A549","24","10","up regulation","3.144","SLC2A6"
"cediranib","PC-3","24","10","up regulation","3.141","CDKN2A"
"cediranib","VCaP","6","10","up regulation","3.133","AARS"
"cediranib","VCaP","24","10","up regulation","3.128","FZD7"
"cediranib","MCF7","6","10","up regulation","3.127","KLHL9"
"cediranib","Hep G2","6","10","up regulation","3.125","TXNDC9"
"cediranib","Hep G2","6","10","up regulation","3.123","KLHL21"
"cediranib","HT-29","6","10","up regulation","3.12","HMGCR"
"cediranib","MCF7","6","10","up regulation","3.114","MICALL1"
"cediranib","MCF7","6","10","up regulation","3.103","APPBP2"
"cediranib","A549","24","10","up regulation","3.093","GNPDA1"
"cediranib","HT-29","6","10","up regulation","3.084","ACAT2"
"cediranib","A549","24","10","up regulation","3.08","ANO10"
"cediranib","A549","6","10","up regulation","3.078","HMOX1"
"cediranib","MCF7","6","10","up regulation","3.067","IKZF1"
"cediranib","HT-29","6","10","up regulation","3.064","PDGFA"
"cediranib","HT-29","6","10","up regulation","3.059","TMEM97"
"cediranib","Hep G2","6","10","up regulation","3.032","TLR4"
"cediranib","PC-3","24","10","up regulation","3.028","ADAM10"
"cediranib","MCF7","6","10","up regulation","3.024","WDTC1"
"cediranib","VCaP","6","10","up regulation","3.018","SLC2A6"
"cediranib","MCF7","6","10","up regulation","3.016","NFATC3"
"cediranib","VCaP","6","10","up regulation","3.015","PHGDH"
"cediranib","VCaP","24","10","up regulation","2.999","C2CD2"
"cediranib","VCaP","24","10","up regulation","2.995","ELOVL6"
"cediranib","A549","24","10","up regulation","2.993","VAT1"
"cediranib","MCF7","6","10","up regulation","2.988","GRB10"
"cediranib","PC-3","6","10","up regulation","2.984","RRP8"
"cediranib","A549","24","10","up regulation","2.973","KCNK1"
"cediranib","PC-3","24","10","up regulation","2.96","MAP2K5"
"cediranib","MCF7","6","10","up regulation","2.947","CASP10"
"cediranib","VCaP","24","10","up regulation","2.932","AARS"
"cediranib","A549","24","10","up regulation","2.903","IKBKE"
"cediranib","VCaP","6","10","up regulation","2.892","WDR61"
"cediranib","A549","24","10","up regulation","2.889","FAM63A"
"cediranib","MCF7","24","10","up regulation","2.87","STAP2"
"cediranib","MCF7","6","10","up regulation","2.859","NOTCH1"
"cediranib","PC-3","6","10","up regulation","2.858","PLS1"
"cediranib","A549","24","10","up regulation","2.851","SPP1"
"cediranib","MCF7","6","10","up regulation","2.847","SORBS3"
"cediranib","Hep G2","6","10","up regulation","2.843","KIAA0907"
"cediranib","PC-3","24","10","up regulation","2.838","PTPN6"
"cediranib","Hep G2","6","10","up regulation","2.825","ZNF131"
"cediranib","VCaP","24","10","up regulation","2.79","CDK6"
"cediranib","MCF7","24","10","up regulation","2.787","NOTCH1"
"cediranib","VCaP","24","10","up regulation","2.782","SNCA"
"cediranib","HT-29","6","10","up regulation","2.765","USP6NL"
"cediranib","MCF7","6","10","up regulation","2.764","NR1H2"
"cediranib","A549","6","10","up regulation","2.76","HMGCS1"
"cediranib","A549","24","10","up regulation","2.744","TIMM22"
"cediranib","Hep G2","6","10","up regulation","2.731","HMGCS1"
"cediranib","HT-29","6","10","up regulation","2.721","PRKCQ"
"cediranib","PC-3","24","10","up regulation","2.707","TSKU"
"cediranib","HT-29","6","10","up regulation","2.703","RAP1GAP"
"cediranib","VCaP","6","10","up regulation","2.686","MAPKAPK5"
"cediranib","MCF7","6","10","up regulation","2.684","DDX42"
"cediranib","VCaP","24","10","up regulation","2.679","TMEM97"
"cediranib","PC-3","24","10","up regulation","2.678","EDEM1"
"cediranib","VCaP","6","10","up regulation","2.676","PIGB"
"cediranib","PC-3","24","10","up regulation","2.673","FAM63A"
"cediranib","VCaP","24","10","up regulation","2.664","EBP"
"cediranib","VCaP","24","10","up regulation","2.654","RRS1"
"cediranib","HT-29","6","10","up regulation","2.644","HERC6"
"cediranib","A549","24","10","up regulation","2.639","NSDHL"
"cediranib","VCaP","6","10","up regulation","2.636","CLIC4"
"cediranib","Hep G2","6","10","up regulation","2.628","MYLK"
"cediranib","A549","6","10","up regulation","2.627","ELOVL6"
"cediranib","PC-3","24","10","up regulation","2.625","FOXO4"
"cediranib","MCF7","24","10","up regulation","2.621","ACAA1"
"cediranib","VCaP","6","10","up regulation","2.617","MCOLN1"
"cediranib","Hep G2","6","10","up regulation","2.616","KIAA0753"
"cediranib","PC-3","24","10","up regulation","2.61","KDM5A"
"cediranib","MCF7","24","10","up regulation","2.61","SQRDL"
"cediranib","MCF7","6","10","up regulation","2.605","DHDDS"
"cediranib","MCF7","24","10","up regulation","2.6","MVP"
"cediranib","MCF7","6","10","up regulation","2.593","PRKCH"
"cediranib","MCF7","6","10","up regulation","2.587","USP7"
"cediranib","MCF7","6","10","up regulation","2.582","CEBPD"
"cediranib","A549","24","10","up regulation","2.578","CHP"
"cediranib","VCaP","24","10","up regulation","2.573","CASK"
"cediranib","PC-3","6","10","up regulation","2.572","RAB4A"
"cediranib","MCF7","6","10","up regulation","2.567","INTS3"
"cediranib","MCF7","24","10","up regulation","2.553","KIAA0355"
"cediranib","A549","24","10","up regulation","2.545","DUSP3"
"cediranib","VCaP","6","10","up regulation","2.533","CREG1"
"cediranib","Hep G2","6","10","up regulation","2.523","GPATCH8"
"cediranib","MCF7","6","10","up regulation","2.522","GPER"
"cediranib","VCaP","6","10","up regulation","2.513","CDKN1A"
"cediranib","MCF7","6","10","up regulation","2.495","ALDOC"
"cediranib","MCF7","6","10","up regulation","2.492","CTNNAL1"
"cediranib","VCaP","24","10","up regulation","2.491","VAT1"
"cediranib","VCaP","24","10","up regulation","2.484","ABHD4"
"cediranib","A549","24","10","up regulation","2.469","ECH1"
"cediranib","PC-3","24","10","up regulation","2.462","PHGDH"
"cediranib","VCaP","24","10","up regulation","2.456","RELB"
"cediranib","MCF7","6","10","up regulation","2.452","PHF15"
"cediranib","MCF7","6","10","up regulation","2.449","CXCR4"
"cediranib","PC-3","24","10","up regulation","2.449","MYCBP2"
"cediranib","PC-3","24","10","up regulation","2.442","SPDEF"
"cediranib","A549","24","10","up regulation","2.434","HERC6"
"cediranib","PC-3","24","10","up regulation","2.427","TNFRSF21"
"cediranib","MCF7","24","10","up regulation","2.418","CXCR4"
"cediranib","MCF7","24","10","up regulation","2.415","NFATC3"
"cediranib","VCaP","24","10","up regulation","2.406","COPB2"
"cediranib","A549","6","10","up regulation","2.406","PLSCR3"
"cediranib","PC-3","24","10","up regulation","2.402","TGFBR2"
"cediranib","MCF7","6","10","up regulation","2.394","MEF2C"
"cediranib","MCF7","6","10","up regulation","2.39","EIF4G1"
"cediranib","VCaP","6","10","up regulation","2.386","EBP"
"cediranib","VCaP","6","10","up regulation","2.386","ACAT2"
"cediranib","HT-29","6","10","up regulation","2.385","ABHD4"
"cediranib","A549","24","10","up regulation","2.38","AMDHD2"
"cediranib","A549","6","10","up regulation","2.362","NSDHL"
"cediranib","PC-3","6","10","up regulation","2.35","RRS1"
"cediranib","MCF7","24","10","up regulation","2.344","CTNNAL1"
"cediranib","A549","24","10","up regulation","2.329","MVP"
"cediranib","VCaP","6","10","up regulation","2.328","PFKL"
"cediranib","VCaP","6","10","up regulation","2.328","XBP1"
"cediranib","VCaP","6","10","up regulation","2.316","EIF4EBP1"
"cediranib","HT-29","6","10","up regulation","2.301","KIAA0753"
"cediranib","HT-29","6","10","up regulation","2.297","SACM1L"
"cediranib","MCF7","6","10","up regulation","2.29","SLC2A6"
"cediranib","A549","24","10","up regulation","2.284","INSIG1"
"cediranib","PC-3","24","10","up regulation","2.283","HMGCS1"
"cediranib","A549","24","10","up regulation","2.277","EBP"
"cediranib","VCaP","6","10","up regulation","2.27","ALDOC"
"cediranib","Hep G2","6","10","up regulation","2.249","TXNL4B"
