"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Crizotinib","PC-3","24","10","up regulation","17.352","MAP7"
"Crizotinib","MCF7","24","10","up regulation","17.035","CDK6"
"Crizotinib","PC-3","24","10","up regulation","16.574","CLIC4"
"Crizotinib","MCF7","24","10","up regulation","12.266","MYLK"
"Crizotinib","PC-3","24","10","up regulation","10.867","RNF167"
"Crizotinib","PC-3","24","10","up regulation","10.673","STX1A"
"Crizotinib","A-375","6","10","up regulation","9.727","BTK"
"Crizotinib","Hs 578T","6","10","up regulation","8.728","MEF2C"
"Crizotinib","HT-29","6","10","up regulation","8.459","E2F2"
"Crizotinib","Hs 578T","24","0.4","up regulation","8.179","CNOT4"
"Crizotinib","PC-3","6","10","up regulation","8.017","EGR1"
"Crizotinib","SK-BR-3","24","10","up regulation","7.873","MYLK"
"Crizotinib","Hep G2","6","10","up regulation","7.855","KLHL21"
"Crizotinib","A549","24","10","up regulation","7.736","NR3C1"
"Crizotinib","MDA-MB-231","24","10","up regulation","7.679","INSIG1"
"Crizotinib","SK-BR-3","6","10","up regulation","7.475","GATA3"
"Crizotinib","Hs 578T","24","2","up regulation","7.112","PAK1"
"Crizotinib","MDA-MB-231","24","10","up regulation","7.089","HMGCR"
"Crizotinib","MDA-MB-231","24","10","up regulation","6.947","HMGCS1"
"Crizotinib","Hep G2","6","10","up regulation","6.776","BACE2"
"Crizotinib","SK-BR-3","24","10","up regulation","6.705","PHF15"
"Crizotinib","MDA-MB-231","24","10","up regulation","6.588","IKBKE"
"Crizotinib","BT-20","24","0.08","up regulation","6.519","ADRB2"
"Crizotinib","Hs 578T","24","10","up regulation","6.436","CASP2"
"Crizotinib","MCF7","24","10","up regulation","6.315","DUSP4"
"Crizotinib","A549","24","10","up regulation","6.244","E2F2"
"Crizotinib","MCF7","24","10","up regulation","6.22","RELB"
"Crizotinib","SK-BR-3","6","0.4","up regulation","6.22","E2F2"
"Crizotinib","Hs 578T","6","0.4","up regulation","6.156","CDK6"
"Crizotinib","BT-20","6","10","up regulation","6.154","HMGCS1"
"Crizotinib","BT-20","6","10","up regulation","6.1","TRIM13"
"Crizotinib","MCF7","24","10","up regulation","6.027","CRELD2"
"Crizotinib","SK-BR-3","6","0.4","up regulation","5.98","SORBS3"
"Crizotinib","BT-20","6","0.08","up regulation","5.891","HMGCS1"
"Crizotinib","HT-29","6","10","up regulation","5.864","SPTLC2"
"Crizotinib","MDA-MB-231","24","10","up regulation","5.834","FDFT1"
"Crizotinib","Hep G2","6","10","up regulation","5.813","PAK1"
"Crizotinib","A549","6","10","up regulation","5.763","TLR4"
"Crizotinib","MCF7","24","10","up regulation","5.723","ICAM1"
"Crizotinib","MCF7","24","10","up regulation","5.703","NFKBIA"
"Crizotinib","MCF7","24","10","up regulation","5.699","GNAI1"
"Crizotinib","MCF7","24","10","up regulation","5.618","FAT1"
"Crizotinib","BT-20","6","0.08","up regulation","5.601","RELB"
"Crizotinib","MCF7","6","10","up regulation","5.581","ARID4B"
"Crizotinib","MCF7","6","10","up regulation","5.548","FBXO11"
"Crizotinib","Hs 578T","24","0.4","up regulation","5.54","ABCC5"
"Crizotinib","PC-3","24","10","up regulation","5.498","SNAP25"
"Crizotinib","MCF7","6","10","up regulation","5.496","BIRC2"
"Crizotinib","HT-29","6","10","up regulation","5.478","IGF1R"
"Crizotinib","MCF7","24","10","up regulation","5.448","MAP7"
"Crizotinib","MCF7","24","10","up regulation","5.443","PTGS2"
"Crizotinib","A549","6","10","up regulation","5.353","C2CD2"
"Crizotinib","MCF7","24","10","up regulation","5.324","TNIP1"
"Crizotinib","Hs 578T","6","2","up regulation","5.286","CDK6"
"Crizotinib","SK-BR-3","24","2","up regulation","5.269","HOXA5"
"Crizotinib","Hep G2","6","10","up regulation","5.253","USP7"
"Crizotinib","MDA-MB-231","24","0.4","up regulation","5.209","USP6NL"
"Crizotinib","Hep G2","6","10","up regulation","5.187","CHERP"
"Crizotinib","BT-20","24","0.08","up regulation","5.133","PTGS2"
"Crizotinib","Hep G2","6","10","up regulation","5.108","TLR4"
"Crizotinib","SK-BR-3","6","10","up regulation","5.102","MCOLN1"
"Crizotinib","VCaP","6","10","up regulation","5.077","SPP1"
"Crizotinib","A-375","6","10","up regulation","5.052","CHP"
"Crizotinib","A549","6","10","up regulation","5.042","ABL1"
"Crizotinib","SK-BR-3","6","2","up regulation","5.037","RAB11FIP2"
"Crizotinib","MDA-MB-231","24","10","up regulation","4.989","FAM63A"
"Crizotinib","HT-29","6","10","up regulation","4.978","ZNF451"
"Crizotinib","PC-3","24","10","up regulation","4.931","IKZF1"
"Crizotinib","SK-BR-3","6","0.4","up regulation","4.921","CNOT4"
"Crizotinib","MCF7","6","10","up regulation","4.909","NFKBIA"
"Crizotinib","Hs 578T","24","0.4","up regulation","4.844","PIGB"
"Crizotinib","MCF7","6","10","up regulation","4.8","ADAM10"
"Crizotinib","SK-BR-3","6","10","up regulation","4.779","STAT5B"
"Crizotinib","Hep G2","6","10","up regulation","4.778","FOXJ3"
"Crizotinib","HT-29","6","10","up regulation","4.774","KDM5A"
"Crizotinib","SK-BR-3","6","2","up regulation","4.734","MCOLN1"
"Crizotinib","SK-BR-3","24","2","up regulation","4.715","SATB1"
"Crizotinib","SK-BR-3","6","10","up regulation","4.673","ST3GAL5"
"Crizotinib","BT-20","6","2","up regulation","4.653","GPATCH8"
"Crizotinib","MDA-MB-231","24","10","up regulation","4.614","TSC22D3"
"Crizotinib","Hs 578T","24","0.4","up regulation","4.604","MSRA"
"Crizotinib","HT-29","6","10","up regulation","4.599","CGRRF1"
"Crizotinib","VCaP","6","10","up regulation","4.586","SGCB"
"Crizotinib","SK-BR-3","24","2","up regulation","4.577","KCNK1"
"Crizotinib","SK-BR-3","6","0.4","up regulation","4.569","EDEM1"
"Crizotinib","MCF7","6","10","up regulation","4.563","DUSP4"
"Crizotinib","MCF7","24","10","up regulation","4.547","MICALL1"
"Crizotinib","MCF7","24","10","up regulation","4.517","DAXX"
"Crizotinib","MCF7","24","10","up regulation","4.508","LAMA3"
"Crizotinib","MCF7","6","10","up regulation","4.447","ZNF451"
"Crizotinib","MDA-MB-231","6","10","up regulation","4.444","SQSTM1"
"Crizotinib","Hep G2","6","10","up regulation","4.428","PTGS2"
"Crizotinib","SK-BR-3","24","2","up regulation","4.426","PECR"
"Crizotinib","SK-BR-3","6","10","up regulation","4.418","SUV39H1"
"Crizotinib","MCF7","6","10","up regulation","4.404","RNMT"
"Crizotinib","MDA-MB-231","24","10","up regulation","4.372","ST3GAL5"
"Crizotinib","VCaP","6","10","up regulation","4.336","ARID4B"
"Crizotinib","SK-BR-3","6","2","up regulation","4.332","TGFBR2"
"Crizotinib","MDA-MB-231","24","10","up regulation","4.331","KAT6A"
"Crizotinib","HT-29","6","10","up regulation","4.322","CYTH1"
"Crizotinib","MCF7","24","10","up regulation","4.317","FOXO4"
"Crizotinib","SK-BR-3","24","2","up regulation","4.309","SGCB"
"Crizotinib","SK-BR-3","6","0.4","up regulation","4.28","MCOLN1"
"Crizotinib","MCF7","24","10","up regulation","4.264","TGFBR2"
"Crizotinib","A549","24","10","up regulation","4.262","FDFT1"
"Crizotinib","Hep G2","6","10","up regulation","4.249","NCOA3"
"Crizotinib","MCF7","24","10","up regulation","4.236","SLC2A6"
"Crizotinib","MCF7","24","10","up regulation","4.229","ERBB3"
"Crizotinib","Hs 578T","6","0.4","up regulation","4.202","INTS3"
"Crizotinib","MCF7","24","10","up regulation","4.192","RSU1"
"Crizotinib","MCF7","6","10","up regulation","4.189","HMGCR"
"Crizotinib","Hs 578T","24","10","up regulation","4.188","MNAT1"
"Crizotinib","A549","6","10","up regulation","4.183","ZNF451"
"Crizotinib","MCF7","24","10","up regulation","4.175","ATP1B1"
"Crizotinib","MCF7","24","10","up regulation","4.171","INSIG1"
"Crizotinib","SK-BR-3","24","10","up regulation","4.15","GATA3"
"Crizotinib","SK-BR-3","6","0.4","up regulation","4.146","MEF2C"
"Crizotinib","HT-29","6","10","up regulation","4.146","ERBB3"
"Crizotinib","MCF7","6","10","up regulation","4.145","INSIG1"
"Crizotinib","BT-20","24","10","up regulation","4.137","SSBP2"
"Crizotinib","HT-29","6","10","up regulation","4.136","ACLY"
"Crizotinib","VCaP","6","10","up regulation","4.127","HMGCR"
"Crizotinib","MCF7","24","10","up regulation","4.125","PGM1"
"Crizotinib","MCF7","6","10","up regulation","4.123","ICAM1"
"Crizotinib","Hep G2","6","10","up regulation","4.12","DUSP14"
"Crizotinib","MCF7","24","10","up regulation","4.12","FOXO4"
"Crizotinib","Hep G2","6","10","up regulation","4.104","AKAP8L"
"Crizotinib","A549","6","10","up regulation","4.094","GNPDA1"
"Crizotinib","VCaP","24","10","up regulation","4.088","ICAM1"
"Crizotinib","MCF7","6","10","up regulation","4.077","SMNDC1"
"Crizotinib","SK-BR-3","6","2","up regulation","4.076","FBXO11"
"Crizotinib","MDA-MB-231","24","10","up regulation","4.072","NSDHL"
"Crizotinib","MDA-MB-231","6","10","up regulation","4.052","INSIG1"
"Crizotinib","PC-3","24","10","up regulation","4.04","ADAM10"
"Crizotinib","MCF7","24","10","up regulation","4.028","CASP2"
"Crizotinib","A549","6","10","up regulation","4.021","TP53"
"Crizotinib","MCF7","6","10","up regulation","4.004","ZNF451"
"Crizotinib","A549","6","10","up regulation","3.994","DUSP4"
"Crizotinib","A549","6","10","up regulation","3.991","ACBD3"
"Crizotinib","SK-BR-3","6","0.4","up regulation","3.952","TSPAN6"
"Crizotinib","MDA-MB-231","24","0.4","up regulation","3.941","FAS"
"Crizotinib","Hep G2","6","10","up regulation","3.94","TERF2IP"
"Crizotinib","Hep G2","6","10","up regulation","3.938","ARID4B"
"Crizotinib","A549","6","10","up regulation","3.918","DUSP6"
"Crizotinib","HT-29","6","10","up regulation","3.915","ACBD3"
"Crizotinib","Hep G2","6","10","up regulation","3.915","TP53BP2"
"Crizotinib","SK-BR-3","24","2","up regulation","3.906","DCUN1D4"
"Crizotinib","SK-BR-3","6","10","up regulation","3.886","P4HA2"
"Crizotinib","SK-BR-3","24","2","up regulation","3.869","PIGB"
"Crizotinib","BT-20","24","10","up regulation","3.867","USP7"
"Crizotinib","HT-29","6","10","up regulation","3.861","SUV39H1"
"Crizotinib","Hep G2","6","10","up regulation","3.85","ZNF451"
"Crizotinib","PC-3","24","10","up regulation","3.849","PIGB"
"Crizotinib","A549","6","10","up regulation","3.813","GNAI1"
"Crizotinib","SK-BR-3","6","10","up regulation","3.813","PRKCQ"
"Crizotinib","A-375","6","10","up regulation","3.811","PNKP"
"Crizotinib","MDA-MB-231","24","10","up regulation","3.809","AXIN1"
"Crizotinib","MCF7","6","10","up regulation","3.795","GATA3"
"Crizotinib","A549","6","10","up regulation","3.752","RFC5"
"Crizotinib","VCaP","6","10","up regulation","3.718","TCERG1"
"Crizotinib","VCaP","6","10","up regulation","3.714","ELOVL6"
"Crizotinib","A549","6","10","up regulation","3.707","RAP1GAP"
"Crizotinib","HT-29","6","10","up regulation","3.683","SMNDC1"
"Crizotinib","Hs 578T","6","0.4","up regulation","3.677","RFC5"
"Crizotinib","Hep G2","6","10","up regulation","3.672","IGF1R"
"Crizotinib","A549","6","10","up regulation","3.659","PTGS2"
"Crizotinib","SK-BR-3","6","10","up regulation","3.637","CGRRF1"
"Crizotinib","SK-BR-3","24","2","up regulation","3.632","CGRRF1"
"Crizotinib","MDA-MB-231","24","10","up regulation","3.632","GPR56"
"Crizotinib","Hep G2","6","10","up regulation","3.621","ABL1"
"Crizotinib","Hep G2","6","10","up regulation","3.618","CYTH1"
"Crizotinib","HT-29","6","10","up regulation","3.609","INSIG1"
"Crizotinib","Hep G2","6","10","up regulation","3.581","MYC"
"Crizotinib","A549","6","10","up regulation","3.574","KLHL21"
"Crizotinib","A549","6","10","up regulation","3.567","AKAP8"
"Crizotinib","HT-29","6","10","up regulation","3.561","TNIP1"
"Crizotinib","MCF7","24","10","up regulation","3.56","SOX4"
"Crizotinib","BT-20","6","0.08","up regulation","3.548","MCOLN1"
"Crizotinib","Hep G2","6","10","up regulation","3.541","USP1"
"Crizotinib","A549","6","10","up regulation","3.537","KCNK1"
"Crizotinib","HT-29","6","10","up regulation","3.533","SGCB"
"Crizotinib","SK-BR-3","6","0.4","up regulation","3.514","FSD1"
"Crizotinib","MDA-MB-231","24","10","up regulation","3.5","CRKL"
"Crizotinib","HT-29","6","10","up regulation","3.49","MTF2"
"Crizotinib","MCF7","24","10","up regulation","3.488","USP6NL"
"Crizotinib","Hep G2","6","10","up regulation","3.485","KDM5B"
"Crizotinib","VCaP","24","10","up regulation","3.484","MAST2"
"Crizotinib","MCF7","6","10","up regulation","3.482","KDM5B"
"Crizotinib","SK-BR-3","6","2","up regulation","3.482","P4HA2"
"Crizotinib","VCaP","24","10","up regulation","3.474","SOX4"
"Crizotinib","A-375","6","10","up regulation","3.457","GNB5"
"Crizotinib","Hep G2","6","10","up regulation","3.455","AKAP8"
"Crizotinib","BT-20","6","10","up regulation","3.45","IKZF1"
"Crizotinib","Hs 578T","6","10","up regulation","3.443","SRC"
"Crizotinib","VCaP","24","10","up regulation","3.437","RELB"
"Crizotinib","MDA-MB-231","6","10","up regulation","3.433","ARL4C"
"Crizotinib","A549","6","10","up regulation","3.426","KIF2C"
"Crizotinib","MCF7","24","10","up regulation","3.424","TMEM2"
"Crizotinib","MCF7","6","10","up regulation","3.42","MAMLD1"
"Crizotinib","Hs 578T","24","10","up regulation","3.408","SLC25A13"
"Crizotinib","VCaP","24","10","up regulation","3.407","CCL2"
"Crizotinib","Hep G2","6","10","up regulation","3.405","KAT6A"
"Crizotinib","A549","6","10","up regulation","3.403","KDM3A"
"Crizotinib","MCF7","24","10","up regulation","3.397","TBC1D9B"
"Crizotinib","MCF7","24","10","up regulation","3.393","NFKB2"
"Crizotinib","MCF7","24","10","up regulation","3.386","IER3"
"Crizotinib","HT-29","6","10","up regulation","3.385","RALA"
"Crizotinib","Hs 578T","24","10","up regulation","3.382","FASTKD5"
"Crizotinib","MCF7","24","10","up regulation","3.381","HSD17B11"
"Crizotinib","HT-29","6","10","up regulation","3.375","HMGCR"
"Crizotinib","A549","24","10","up regulation","3.373","EIF4G1"
"Crizotinib","HT-29","6","10","up regulation","3.349","SMAD3"
"Crizotinib","Hep G2","6","10","up regulation","3.338","TATDN2"
"Crizotinib","Hep G2","6","10","up regulation","3.337","NFE2L2"
"Crizotinib","BT-20","6","0.08","up regulation","3.325","TMEM110"
"Crizotinib","MCF7","6","10","up regulation","3.323","KDM5A"
"Crizotinib","MCF7","6","10","up regulation","3.32","SOX4"
"Crizotinib","MCF7","24","10","up regulation","3.318","ST6GALNAC2"
"Crizotinib","Hep G2","6","10","up regulation","3.316","KDM3A"
"Crizotinib","VCaP","6","10","up regulation","3.313","NSDHL"
"Crizotinib","Hep G2","6","10","up regulation","3.31","DDX42"
"Crizotinib","MCF7","6","10","up regulation","3.307","GFPT1"
"Crizotinib","VCaP","24","10","up regulation","3.307","ELAVL1"
"Crizotinib","A549","6","10","up regulation","3.305","MTF2"
"Crizotinib","MDA-MB-231","24","10","up regulation","3.304","ALDOC"
