"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"NU7441","MDA-MB-231","24","0.4","up regulation","14.512","MAP7"
"NU7441","MDA-MB-231","6","10","up regulation","11.952","PAK1"
"NU7441","MDA-MB-231","24","0.4","up regulation","9.364","USP7"
"NU7441","BT-20","6","10","up regulation","9.347","SGCB"
"NU7441","A549","6","10","up regulation","9.11","ADRB2"
"NU7441","MDA-MB-231","24","10","up regulation","9.073","E2F2"
"NU7441","SK-BR-3","6","10","up regulation","8.538","PAK1"
"NU7441","PC-3","24","10","up regulation","8.466","CDK6"
"NU7441","BT-20","6","0.4","up regulation","8.44","IKBKE"
"NU7441","A549","6","10","up regulation","8.199","STK10"
"NU7441","A549","6","10","up regulation","8.072","CNOT4"
"NU7441","MDA-MB-231","24","2","up regulation","7.981","SPP1"
"NU7441","MCF7","24","0.08","up regulation","7.952","BAD"
"NU7441","SK-BR-3","6","0.4","up regulation","7.836","ST3GAL5"
"NU7441","SK-BR-3","6","2","up regulation","7.286","INPP4B"
"NU7441","BT-20","6","10","up regulation","7.029","HMGCS1"
"NU7441","SK-BR-3","6","2","up regulation","6.854","FBXO11"
"NU7441","MDA-MB-231","24","0.08","up regulation","6.793","LYN"
"NU7441","BT-20","6","0.4","up regulation","6.556","FBXO11"
"NU7441","SK-BR-3","6","0.4","up regulation","6.463","E2F2"
"NU7441","A549","6","10","up regulation","6.393","MNAT1"
"NU7441","BT-20","24","10","up regulation","6.377","INSIG1"
"NU7441","MDA-MB-231","6","10","up regulation","6.318","MLLT11"
"NU7441","MCF7","6","0.08","up regulation","6.27","CHP"
"NU7441","A549","6","10","up regulation","6.236","GATA3"
"NU7441","BT-20","24","10","up regulation","6.085","HMGCR"
"NU7441","MCF7","24","0.08","up regulation","6.065","SGCB"
"NU7441","MCF7","24","10","up regulation","5.966","RRS1"
"NU7441","MDA-MB-231","24","2","up regulation","5.688","SNAP25"
"NU7441","BT-20","6","10","up regulation","5.675","FBXL12"
"NU7441","PC-3","6","10","up regulation","5.661","CDKN1A"
"NU7441","BT-20","24","10","up regulation","5.616","HMGCS1"
"NU7441","BT-20","6","10","up regulation","5.548","SESN1"
"NU7441","MDA-MB-231","24","10","up regulation","5.452","GPATCH8"
"NU7441","PC-3","6","10","up regulation","5.338","USP6NL"
"NU7441","MDA-MB-231","24","0.4","up regulation","5.323","PEX11A"
"NU7441","MDA-MB-231","6","10","up regulation","5.313","PRUNE"
"NU7441","MCF7","24","0.08","up regulation","5.298","DSG2"
"NU7441","BT-20","6","10","up regulation","5.201","SUV39H1"
"NU7441","MDA-MB-231","6","10","up regulation","5.102","HDGFRP3"
"NU7441","MDA-MB-231","24","0.4","up regulation","5.083","CASP2"
"NU7441","MCF7","24","0.08","up regulation","5.028","PKIG"
"NU7441","SK-BR-3","24","10","up regulation","5.007","RRS1"
"NU7441","MCF7","24","10","up regulation","4.958","ALDOC"
"NU7441","BT-20","24","10","up regulation","4.923","SSBP2"
"NU7441","PC-3","6","10","up regulation","4.919","RAB31"
"NU7441","MDA-MB-231","24","2","up regulation","4.906","IKBKB"
"NU7441","MDA-MB-231","24","10","up regulation","4.885","TBX2"
"NU7441","BT-20","6","10","up regulation","4.877","TRAK2"
"NU7441","A549","6","10","up regulation","4.846","C2CD2"
"NU7441","SK-BR-3","6","2","up regulation","4.841","RAB11FIP2"
"NU7441","SK-BR-3","6","10","up regulation","4.818","RAB11FIP2"
"NU7441","MDA-MB-231","24","0.4","up regulation","4.772","CHP"
"NU7441","BT-20","6","0.4","up regulation","4.771","USP7"
"NU7441","Hs 578T","24","10","up regulation","4.767","SATB1"
"NU7441","MDA-MB-231","24","2","up regulation","4.759","ACLY"
"NU7441","MDA-MB-231","24","10","up regulation","4.736","TCFL5"
"NU7441","MCF7","24","0.08","up regulation","4.728","ZNF586"
"NU7441","SK-BR-3","6","2","up regulation","4.711","PRKAG2"
"NU7441","BT-20","6","10","up regulation","4.653","BTK"
"NU7441","BT-20","24","10","up regulation","4.619","PTGS2"
"NU7441","VCaP","24","10","up regulation","4.574","IKZF1"
"NU7441","MDA-MB-231","24","0.4","up regulation","4.572","FAS"
"NU7441","MDA-MB-231","24","2","up regulation","4.549","ST3GAL5"
"NU7441","A549","6","10","up regulation","4.534","DNAJC15"
"NU7441","MDA-MB-231","24","0.08","up regulation","4.52","FGFR4"
"NU7441","HT-29","6","10","up regulation","4.5","TGFBR2"
"NU7441","MDA-MB-231","24","10","up regulation","4.476","NR1H2"
"NU7441","SK-BR-3","24","10","up regulation","4.473","KIAA1033"
"NU7441","PC-3","6","10","up regulation","4.448","DUSP6"
"NU7441","BT-20","24","2","up regulation","4.434","NFATC3"
"NU7441","SK-BR-3","24","10","up regulation","4.426","E2F2"
"NU7441","VCaP","6","10","up regulation","4.416","ALDOC"
"NU7441","MCF7","6","0.4","up regulation","4.38","KIF5C"
"NU7441","HT-29","6","10","up regulation","4.352","CIRBP"
"NU7441","MDA-MB-231","24","0.4","up regulation","4.347","GNAI1"
"NU7441","MDA-MB-231","24","0.4","up regulation","4.33","KCNK1"
"NU7441","PC-3","6","10","up regulation","4.301","PLCB3"
"NU7441","HT-29","6","10","up regulation","4.293","IDE"
"NU7441","MDA-MB-231","24","2","up regulation","4.286","CASP2"
"NU7441","MDA-MB-231","24","0.4","up regulation","4.231","RPP38"
"NU7441","BT-20","6","10","up regulation","4.191","MAP7"
"NU7441","A549","6","10","up regulation","4.185","SATB1"
"NU7441","MDA-MB-231","24","10","up regulation","4.145","CYTH1"
"NU7441","MDA-MB-231","6","10","up regulation","4.141","GPATCH8"
"NU7441","VCaP","6","10","up regulation","4.089","PRKCH"
"NU7441","BT-20","24","10","up regulation","4.082","ALDH7A1"
"NU7441","VCaP","6","10","up regulation","4.079","CDKN1A"
"NU7441","Hep G2","6","10","up regulation","4.056","LOXL1"
"NU7441","VCaP","24","10","up regulation","4.043","ALDOC"
"NU7441","VCaP","6","10","up regulation","4.032","GNAI2"
"NU7441","PC-3","6","10","up regulation","4.004","CCDC92"
"NU7441","MDA-MB-231","6","10","up regulation","3.987","SATB1"
"NU7441","Hep G2","6","10","up regulation","3.939","CYTH1"
"NU7441","BT-20","6","10","up regulation","3.921","INSIG1"
"NU7441","BT-20","6","10","up regulation","3.888","IKZF1"
"NU7441","Hep G2","6","10","up regulation","3.863","GPATCH8"
"NU7441","MDA-MB-231","24","0.08","up regulation","3.862","FAS"
"NU7441","BT-20","6","10","up regulation","3.859","NT5DC2"
"NU7441","Hep G2","6","10","up regulation","3.852","MCOLN1"
"NU7441","A549","6","10","up regulation","3.846","HES1"
"NU7441","MDA-MB-231","6","10","up regulation","3.834","ACLY"
"NU7441","PC-3","24","10","up regulation","3.828","GAA"
"NU7441","MDA-MB-231","24","2","up regulation","3.797","PIGB"
"NU7441","PC-3","6","10","up regulation","3.781","NPC1"
"NU7441","SK-BR-3","24","10","up regulation","3.765","KDM5B"
"NU7441","MDA-MB-231","6","10","up regulation","3.74","TLR4"
"NU7441","MDA-MB-231","6","10","up regulation","3.716","PPARD"
"NU7441","PC-3","6","10","up regulation","3.713","IER3"
"NU7441","Hep G2","6","10","up regulation","3.711","TJP1"
"NU7441","A549","24","10","up regulation","3.7","GNB5"
"NU7441","Hep G2","6","10","up regulation","3.689","IDE"
"NU7441","SK-BR-3","24","10","up regulation","3.669","CHP"
"NU7441","PC-3","24","10","up regulation","3.664","STXBP1"
"NU7441","MCF7","24","10","up regulation","3.648","HIST2H2BE"
"NU7441","BT-20","6","10","up regulation","3.617","HIST1H2BK"
"NU7441","BT-20","24","10","up regulation","3.615","SPDEF"
"NU7441","MDA-MB-231","6","10","up regulation","3.605","ABHD6"
"NU7441","MDA-MB-231","6","10","up regulation","3.577","PLEKHJ1"
"NU7441","BT-20","24","2","up regulation","3.574","USP7"
"NU7441","SK-BR-3","6","10","up regulation","3.557","SESN1"
"NU7441","MDA-MB-231","24","0.4","up regulation","3.538","GPATCH8"
"NU7441","PC-3","6","10","up regulation","3.535","SQSTM1"
"NU7441","MCF7","24","10","up regulation","3.532","CNOT4"
"NU7441","A549","6","10","up regulation","3.519","PLSCR3"
"NU7441","MCF7","24","10","up regulation","3.512","LYN"
"NU7441","Hs 578T","24","10","up regulation","3.482","PHKA1"
"NU7441","Hs 578T","24","10","up regulation","3.471","WDR7"
"NU7441","BT-20","24","10","up regulation","3.466","ALDOC"
"NU7441","SK-BR-3","24","10","up regulation","3.463","HOXA5"
"NU7441","A549","6","10","up regulation","3.459","PXMP2"
"NU7441","BT-20","24","10","up regulation","3.454","PLCB3"
"NU7441","BT-20","24","10","up regulation","3.451","FDFT1"
"NU7441","A549","24","10","up regulation","3.444","RRS1"
"NU7441","Hs 578T","24","10","up regulation","3.443","GNB5"
"NU7441","MCF7","24","10","up regulation","3.443","PIK3R3"
"NU7441","SK-BR-3","6","10","up regulation","3.414","VAT1"
"NU7441","MDA-MB-231","24","2","up regulation","3.413","SLC11A2"
"NU7441","Hs 578T","24","10","up regulation","3.407","RRP12"
"NU7441","MCF7","24","10","up regulation","3.406","FZD7"
"NU7441","MDA-MB-231","6","10","up regulation","3.395","WRB"
"NU7441","BT-20","24","10","up regulation","3.386","BNIP3L"
"NU7441","PC-3","6","10","up regulation","3.382","TMEM2"
"NU7441","SK-BR-3","24","10","up regulation","3.379","VAV3"
"NU7441","A549","6","10","up regulation","3.371","TGFBR2"
"NU7441","MCF7","24","10","up regulation","3.364","NFKBIA"
"NU7441","MCF7","6","0.08","up regulation","3.35","MAP3K4"
"NU7441","SK-BR-3","6","10","up regulation","3.349","IKZF1"
"NU7441","A549","24","10","up regulation","3.345","OXSR1"
"NU7441","BT-20","24","10","up regulation","3.341","CDK19"
"NU7441","VCaP","24","10","up regulation","3.328","DHDDS"
"NU7441","Hep G2","6","10","up regulation","3.304","HIST1H2BK"
"NU7441","MCF7","24","0.08","up regulation","3.296","ANKRD10"
"NU7441","A549","6","10","up regulation","3.296","BNIP3L"
"NU7441","BT-20","24","10","up regulation","3.292","GSTZ1"
"NU7441","SK-BR-3","6","0.4","up regulation","3.289","GRB10"
"NU7441","SK-BR-3","6","10","up regulation","3.287","HMGCR"
"NU7441","BT-20","6","10","up regulation","3.28","MEF2C"
"NU7441","MCF7","6","0.4","up regulation","3.258","SPAG4"
"NU7441","MDA-MB-231","24","10","up regulation","3.245","FOXO4"
"NU7441","PC-3","24","10","up regulation","3.241","TMEM2"
"NU7441","A549","24","10","up regulation","3.241","CHP"
"NU7441","BT-20","6","10","up regulation","3.236","BHLHE40"
"NU7441","PC-3","6","10","up regulation","3.23","MCOLN1"
"NU7441","PC-3","6","10","up regulation","3.229","INSIG1"
"NU7441","MCF7","6","0.08","up regulation","3.226","MICALL1"
"NU7441","BT-20","24","10","up regulation","3.223","GNPDA1"
"NU7441","VCaP","6","10","up regulation","3.204","TMEM2"
"NU7441","VCaP","6","10","up regulation","3.188","SOX4"
"NU7441","MCF7","24","10","up regulation","3.183","ABCC5"
"NU7441","Hs 578T","24","10","up regulation","3.183","KAT6B"
"NU7441","SK-BR-3","6","2","up regulation","3.18","VAT1"
"NU7441","MCF7","24","10","up regulation","3.18","PTPN6"
"NU7441","MCF7","6","0.08","up regulation","3.173","SORBS3"
"NU7441","MDA-MB-231","6","10","up regulation","3.171","SQSTM1"
"NU7441","Hs 578T","24","10","up regulation","3.165","TCFL5"
"NU7441","MDA-MB-231","24","10","up regulation","3.152","PRAF2"
"NU7441","MDA-MB-231","6","10","up regulation","3.151","FAM63A"
"NU7441","MCF7","6","0.4","up regulation","3.146","FBXO11"
"NU7441","PC-3","6","10","up regulation","3.143","KLHDC2"
"NU7441","PC-3","24","10","up regulation","3.116","TLR4"
"NU7441","BT-20","6","10","up regulation","3.113","RNMT"
"NU7441","MDA-MB-231","6","10","up regulation","3.11","CASK"
"NU7441","BT-20","24","10","up regulation","3.107","TRAK2"
"NU7441","MCF7","24","10","up regulation","3.107","FBXO11"
"NU7441","MCF7","24","10","up regulation","3.103","BNIP3L"
"NU7441","BT-20","6","10","up regulation","3.1","CHP"
"NU7441","VCaP","24","10","up regulation","3.099","TMEM2"
"NU7441","HT-29","6","10","up regulation","3.099","SYNE2"
"NU7441","MDA-MB-231","24","10","up regulation","3.085","ADAT1"
"NU7441","MDA-MB-231","24","10","up regulation","3.075","MBTPS1"
"NU7441","PC-3","6","10","up regulation","3.075","TIAM1"
"NU7441","BT-20","6","10","up regulation","3.069","SNCA"
"NU7441","BT-20","6","10","up regulation","3.065","PYGL"
"NU7441","BT-20","6","10","up regulation","3.062","PACSIN3"
"NU7441","MDA-MB-231","24","10","up regulation","3.061","TSKU"
"NU7441","PC-3","24","10","up regulation","3.059","ALDOC"
"NU7441","BT-20","24","10","up regulation","3.057","NFIL3"
"NU7441","Hs 578T","24","10","up regulation","3.055","WASF3"
"NU7441","SK-BR-3","24","10","up regulation","3.044","PAK1"
"NU7441","SK-BR-3","6","2","up regulation","3.042","GATA3"
"NU7441","MDA-MB-231","6","10","up regulation","3.041","C2CD2"
"NU7441","PC-3","6","10","up regulation","3.04","BNIP3L"
"NU7441","MDA-MB-231","24","0.08","up regulation","3.014","SLC11A2"
"NU7441","BT-20","6","10","up regulation","3.005","CCDC92"
"NU7441","MCF7","24","0.08","up regulation","3.004","MAPKAPK3"
"NU7441","BT-20","6","10","up regulation","3.003","HMG20B"
"NU7441","PC-3","24","10","up regulation","3.003","CDKN1A"
"NU7441","PC-3","24","10","up regulation","3.003","ARHGEF12"
"NU7441","A549","6","10","up regulation","2.998","SPAG4"
"NU7441","A549","24","10","up regulation","2.996","BACE2"
"NU7441","Hep G2","6","10","up regulation","2.996","IGF1R"
"NU7441","BT-20","24","10","up regulation","2.995","LGALS8"
"NU7441","BT-20","24","10","up regulation","2.992","CREG1"
"NU7441","SK-BR-3","6","0.4","up regulation","2.989","RPL39L"
"NU7441","MDA-MB-231","24","10","up regulation","2.989","HMG20B"
"NU7441","BT-20","24","10","up regulation","2.988","GNB5"
"NU7441","Hep G2","6","10","up regulation","2.984","KDM3A"
"NU7441","SK-BR-3","6","2","up regulation","2.984","EDEM1"
"NU7441","VCaP","6","10","up regulation","2.983","RELB"
"NU7441","MDA-MB-231","6","10","up regulation","2.982","HMG20B"
"NU7441","MCF7","6","0.08","up regulation","2.977","EPHB2"
"NU7441","PC-3","6","10","up regulation","2.977","CNPY3"
"NU7441","MCF7","6","0.08","up regulation","2.976","USP7"
"NU7441","SK-BR-3","6","2","up regulation","2.972","WRB"
"NU7441","PC-3","6","10","up regulation","2.966","CBLB"
"NU7441","MDA-MB-231","24","0.4","up regulation","2.963","TMEM110"
"NU7441","VCaP","24","10","up regulation","2.955","GATA2"
"NU7441","A549","6","10","up regulation","2.952","INSIG1"
"NU7441","A549","6","10","up regulation","2.944","TLR4"
"NU7441","MDA-MB-231","24","10","up regulation","2.935","PLS1"
"NU7441","BT-20","24","10","up regulation","2.93","NR1H2"
"NU7441","MCF7","6","0.4","up regulation","2.923","MAPKAPK3"
"NU7441","VCaP","6","10","up regulation","2.91","INSIG1"
"NU7441","VCaP","24","10","up regulation","2.896","GNAI2"
"NU7441","MDA-MB-231","24","10","up regulation","2.895","BLVRA"
"NU7441","Hep G2","6","10","up regulation","2.89","PIH1D1"
"NU7441","MCF7","24","10","up regulation","2.888","MEF2C"
"NU7441","A549","24","10","up regulation","2.881","HERC6"
"NU7441","BT-20","24","10","up regulation","2.873","ATP6V1D"
"NU7441","MCF7","6","0.08","up regulation","2.873","CENPE"
"NU7441","MDA-MB-231","6","10","up regulation","2.872","ANKRD10"
"NU7441","VCaP","24","10","up regulation","2.868","RBKS"
"NU7441","BT-20","6","10","up regulation","2.859","HIST2H2BE"
"NU7441","SK-BR-3","6","10","up regulation","2.853","WDR7"
"NU7441","PC-3","6","10","up regulation","2.843","LGMN"
"NU7441","MDA-MB-231","24","10","up regulation","2.84","CAT"
"NU7441","MDA-MB-231","24","10","up regulation","2.84","KDELR2"
"NU7441","BT-20","6","10","up regulation","2.838","WDR67"
"NU7441","BT-20","24","10","up regulation","2.836","HIST1H2BK"
"NU7441","PC-3","6","10","up regulation","2.835","PPARD"
"NU7441","Hep G2","6","10","up regulation","2.834","TPD52L2"
"NU7441","MCF7","24","10","up regulation","2.827","TMEM2"
"NU7441","BT-20","6","10","up regulation","2.821","PTPN6"
"NU7441","MDA-MB-231","24","10","up regulation","2.819","GNB5"
"NU7441","MDA-MB-231","24","10","up regulation","2.815","LGMN"
"NU7441","MDA-MB-231","6","10","up regulation","2.812","DYRK3"
"NU7441","HT-29","6","10","up regulation","2.808","TMEM110"
"NU7441","BT-20","24","10","up regulation","2.807","ERBB3"
"NU7441","MCF7","6","0.08","up regulation","2.8","FBXO11"
"NU7441","MCF7","24","10","up regulation","2.791","GAA"
"NU7441","Hs 578T","24","10","up regulation","2.79","LRRC16A"
"NU7441","BT-20","24","10","up regulation","2.79","TSKU"
"NU7441","BT-20","24","2","up regulation","2.787","ICAM3"
"NU7441","VCaP","24","10","up regulation","2.78","TJP1"
"NU7441","MCF7","24","10","up regulation","2.778","PRAF2"
"NU7441","MDA-MB-231","24","10","up regulation","2.777","NFKBIA"
"NU7441","MCF7","24","10","up regulation","2.774","FOXO3"
"NU7441","Hep G2","6","10","up regulation","2.763","PIK3R3"
"NU7441","VCaP","6","10","up regulation","2.752","CCND1"
"NU7441","PC-3","24","10","up regulation","2.751","BAMBI"
"NU7441","HT-29","6","10","up regulation","2.75","ALDOC"
"NU7441","SK-BR-3","24","10","up regulation","2.75","PDGFA"
"NU7441","BT-20","24","10","up regulation","2.741","AKR7A2"
"NU7441","MCF7","24","10","up regulation","2.741","NARFL"
"NU7441","Hep G2","6","10","up regulation","2.73","TBPL1"
"NU7441","BT-20","24","10","up regulation","2.726","COPB2"
"NU7441","BT-20","24","10","up regulation","2.724","MKNK1"
"NU7441","BT-20","24","10","up regulation","2.723","TCFL5"
"NU7441","Hs 578T","24","10","up regulation","2.721","CASP3"
"NU7441","PC-3","6","10","up regulation","2.72","DUSP4"
"NU7441","MDA-MB-231","24","0.08","up regulation","2.716","EML3"
"NU7441","MDA-MB-231","6","10","up regulation","2.716","SLC25A4"
"NU7441","MDA-MB-231","24","10","up regulation","2.715","KIAA0355"
"NU7441","PC-3","24","10","up regulation","2.715","BHLHE40"
"NU7441","VCaP","24","10","up regulation","2.713","VAT1"
"NU7441","A549","6","10","up regulation","2.711","ADCK3"
"NU7441","MCF7","24","10","up regulation","2.708","TRAPPC6A"
"NU7441","MCF7","24","10","up regulation","2.701","TSC22D3"
"NU7441","BT-20","24","10","up regulation","2.698","COPS7A"
"NU7441","MDA-MB-231","24","2","up regulation","2.697","MTF2"
"NU7441","MDA-MB-231","6","10","up regulation","2.695","ST6GALNAC2"
"NU7441","VCaP","6","10","up regulation","2.691","FOXO3"
"NU7441","MCF7","24","10","up regulation","2.687","ERBB3"
"NU7441","PC-3","6","10","up regulation","2.686","RRAGA"
"NU7441","VCaP","24","10","up regulation","2.681","SPTAN1"
"NU7441","Hep G2","6","10","up regulation","2.68","STXBP1"
"NU7441","MDA-MB-231","6","10","up regulation","2.679","ABCB6"
"NU7441","MCF7","24","10","up regulation","2.674","ATP1B1"
"NU7441","MDA-MB-231","24","2","up regulation","2.672","PCK2"
"NU7441","VCaP","24","10","up regulation","2.67","CDKN1A"
"NU7441","MDA-MB-231","24","10","up regulation","2.661","ICAM1"
"NU7441","BT-20","24","10","up regulation","2.661","MBTPS1"
"NU7441","Hep G2","6","10","up regulation","2.647","HMGCR"
"NU7441","PC-3","6","10","up regulation","2.64","CDK19"
"NU7441","MCF7","24","10","up regulation","2.637","GATA3"
"NU7441","SK-BR-3","6","2","up regulation","2.631","WDR7"
"NU7441","MDA-MB-231","24","10","up regulation","2.628","CRTAP"
"NU7441","MDA-MB-231","6","10","up regulation","2.627","HIST1H2BK"
"NU7441","BT-20","24","2","up regulation","2.626","CD40"
"NU7441","BT-20","6","10","up regulation","2.621","PPARD"
"NU7441","BT-20","6","0.4","up regulation","2.615","RAB4A"
"NU7441","PC-3","24","10","up regulation","2.612","RBKS"
