"SmallMolecule","Protein","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value"
"fulvestrant","RBBP6","MCF7","6","1","0.459"
"fulvestrant","RBBP6","HL-60","6","1","0.456"
"fulvestrant","BAT2D1","PC-3","6","1","0.456"
"fulvestrant","FASN","HL-60","6","1","0.456"
"fulvestrant","RBBP6","HL-60","6","1","0.456"
"fulvestrant","ATXN2L","PC-3","6","1","0.455"
"fulvestrant","RSF1","HL-60","6","1","0.452"
"fulvestrant","AP1GBP1","PC-3","6","1","0.452"
"fulvestrant","OCIAD1","PC-3","6","1","0.449"
"fulvestrant","IQGAP3","MCF7","6","1","0.448"
"fulvestrant","FAM76B","HL-60","6","1","0.437"
"fulvestrant","EIF4A3","PC-3","6","1","0.434"
"fulvestrant","WAC","PC-3","6","1","0.432"
"fulvestrant","MAP4","HL-60","6","1","0.426"
"fulvestrant","THRAP3","PC-3","6","1","0.424"
"fulvestrant","NCOR2","PC-3","6","1","0.416"
"fulvestrant","TERF2IP","HL-60","6","1","0.412"
"fulvestrant","RBBP6","HL-60","6","1","0.407"
"fulvestrant","ATAD2","HL-60","6","1","0.403"
"fulvestrant","BAT2D1","HL-60","6","1","0.402"
"fulvestrant","EIF4A3","PC-3","6","1","0.399"
"fulvestrant","TPX2","HL-60","6","1","0.398"
"fulvestrant","MAP4","HL-60","6","1","0.397"
"fulvestrant","C22orf9","HL-60","6","1","0.395"
"fulvestrant","ATAD2","HL-60","6","1","0.392"
"fulvestrant","TMPO","MCF7","6","1","0.392"
"fulvestrant","MAP4","MCF7","6","1","0.389"
"fulvestrant","EIF4A3","MCF7","6","1","0.389"
"fulvestrant","NCOR2","HL-60","6","1","0.389"
"fulvestrant","OCIAD1","MCF7","6","1","0.388"
"fulvestrant","TPX2","PC-3","6","1","0.372"
"fulvestrant","BRAF","HL-60","6","1","0.37"
"fulvestrant","TPX2","HL-60","6","1","0.368"
"fulvestrant","FAM129B","PC-3","6","1","0.366"
"fulvestrant","ATXN2L","PC-3","6","1","0.365"
"fulvestrant","FAM76B","HL-60","6","1","0.357"
"fulvestrant","BAT2","PC-3","6","1","0.357"
"fulvestrant","BAT2","HL-60","6","1","0.353"
"fulvestrant","BAT2","HL-60","6","1","0.353"
"fulvestrant","MAP4","MCF7","6","1","0.35"
"fulvestrant","FAM76B","HL-60","6","1","0.348"
"fulvestrant","RPS6KA1","HL-60","6","1","0.343"
"fulvestrant","EIF4A3","PC-3","6","1","0.343"
"fulvestrant","AP1GBP1","PC-3","6","1","0.342"
"fulvestrant","ZNF672","HL-60","6","1","0.342"
"fulvestrant","TERF2IP","HL-60","6","1","0.341"
"fulvestrant","PAK2","PC-3","6","1","0.339"
"fulvestrant","TPX2","HL-60","6","1","0.338"
"fulvestrant","ATAD2","MCF7","6","1","0.336"
"fulvestrant","BAT2D1","MCF7","6","1","0.335"
"fulvestrant","OCIAD1","MCF7","6","1","0.335"
"fulvestrant","OCIAD1","HL-60","6","1","0.331"
"fulvestrant","MARK2","MCF7","6","1","0.331"
"fulvestrant","C13orf8","MCF7","6","1","0.321"
"fulvestrant","TMPO","MCF7","6","1","0.321"
"fulvestrant","TERF2IP","HL-60","6","1","0.321"
"fulvestrant","NCOR2","HL-60","6","1","0.319"
"fulvestrant","TMSB4X","PC-3","6","1","0.317"
"fulvestrant","MAP3K7","PC-3","6","1","0.311"
"fulvestrant","TERF2IP","MCF7","6","1","0.305"
"fulvestrant","PAK2","PC-3","6","1","0.305"
"fulvestrant","NUP214","PC-3","6","1","0.303"
"fulvestrant","FAM76B","PC-3","6","1","0.301"
"fulvestrant","ZC3HC1","PC-3","6","1","0.301"
"fulvestrant","BAT2","MCF7","6","1","0.297"
"fulvestrant","MARK2","PC-3","6","1","0.296"
"fulvestrant","UBE2O","PC-3","6","1","0.295"
"fulvestrant","UBE2O","PC-3","6","1","0.295"
"fulvestrant","NFATC2IP","HL-60","6","1","0.294"
"fulvestrant","TMPO","HL-60","6","1","0.289"
"fulvestrant","SRRM1","HL-60","6","1","0.287"
"fulvestrant","THRAP3","HL-60","6","1","0.287"
"fulvestrant","OCIAD1","HL-60","6","1","0.282"
"fulvestrant","NCOR2","MCF7","6","1","0.282"
"fulvestrant","RPS6KA1","PC-3","6","1","0.277"
"fulvestrant","SMARCC1","MCF7","6","1","0.277"
"fulvestrant","TMSB4X","PC-3","6","1","0.275"
"fulvestrant","NFATC2IP","HL-60","6","1","0.275"
"fulvestrant","TPX2","MCF7","6","1","0.272"
"fulvestrant","LARP5","PC-3","6","1","0.272"
"fulvestrant","ZNF672","HL-60","6","1","0.271"
"fulvestrant","EIF4A3","PC-3","6","1","0.269"
"fulvestrant","PDPK1","HL-60","6","1","0.269"
"fulvestrant","PLEC1","MCF7","6","1","0.267"
"fulvestrant","BAT2","MCF7","6","1","0.259"
"fulvestrant","LARP5","HL-60","6","1","0.258"
"fulvestrant","EIF4A3","MCF7","6","1","0.258"
"fulvestrant","NCOR2","MCF7","6","1","0.253"
"fulvestrant","NANS","PC-3","6","1","0.252"
"fulvestrant","ATXN2L","HL-60","6","1","0.252"
"fulvestrant","THRAP3","HL-60","6","1","0.247"
"fulvestrant","NANS","PC-3","6","1","0.246"
"fulvestrant","ATRIP","PC-3","6","1","0.243"
"fulvestrant","SH3KBP1","HL-60","6","1","0.242"
"fulvestrant","TPX2","PC-3","6","1","0.242"
"fulvestrant","ATXN2L","HL-60","6","1","0.241"
"fulvestrant","SH3KBP1","PC-3","6","1","0.236"
"fulvestrant","IQGAP3","PC-3","6","1","0.233"
"fulvestrant","RBM17","HL-60","6","1","0.232"
"fulvestrant","MAP3K7","MCF7","6","1","0.231"
"fulvestrant","DYRK1A","PC-3","6","1","0.229"
"fulvestrant","KHSRP","PC-3","6","1","0.219"
"fulvestrant","THRAP3","HL-60","6","1","0.217"
"fulvestrant","FAM76B","PC-3","6","1","0.215"
"fulvestrant","ZNF740","MCF7","6","1","0.212"
"fulvestrant","C22orf9","PC-3","6","1","0.209"
"fulvestrant","CDC2","HL-60","6","1","0.208"
"fulvestrant","BAT2","MCF7","6","1","0.206"
"fulvestrant","KIF4A","PC-3","6","1","0.204"
"fulvestrant","UBE2O","PC-3","6","1","0.199"
"fulvestrant","ABI1","MCF7","6","1","0.197"
"fulvestrant","DYRK1A","PC-3","6","1","0.196"
"fulvestrant","RNF169","HL-60","6","1","0.195"
"fulvestrant","ATRIP","PC-3","6","1","0.193"
"fulvestrant","RNF169","MCF7","6","1","0.192"
"fulvestrant","MAP4","PC-3","6","1","0.19"
"fulvestrant","KIF4A","PC-3","6","1","0.187"
"fulvestrant","RNF169","HL-60","6","1","0.186"
"fulvestrant","RBM14","HL-60","6","1","0.184"
"fulvestrant","LARP5","MCF7","6","1","0.182"
"fulvestrant","LARP5","PC-3","6","1","0.182"
"fulvestrant","AHNAK","HL-60","6","1","0.181"
"fulvestrant","PDPK1","HL-60","6","1","0.179"
"fulvestrant","C13orf8","HL-60","6","1","0.179"
"fulvestrant","OCIAD1","PC-3","6","1","0.175"
"fulvestrant","NCOR2","MCF7","6","1","0.175"
"fulvestrant","EIF4A3","HL-60","6","1","0.175"
"fulvestrant","ZC3HC1","PC-3","6","1","0.174"
"fulvestrant","FASN","HL-60","6","1","0.174"
"fulvestrant","MAP4","MCF7","6","1","0.172"
"fulvestrant","ZC3H14","HL-60","6","1","0.164"
"fulvestrant","TPX2","MCF7","6","1","0.164"
"fulvestrant","EIF4A3","MCF7","6","1","0.163"
"fulvestrant","WAC","MCF7","6","1","0.162"
"fulvestrant","ZNF740","MCF7","6","1","0.161"
"fulvestrant","FAM76B","PC-3","6","1","0.161"
"fulvestrant","RNF169","MCF7","6","1","0.16"
"fulvestrant","CASC3","HL-60","6","1","0.159"
"fulvestrant","DDX54","MCF7","6","1","0.159"
"fulvestrant","BAT2","PC-3","6","1","0.157"
"fulvestrant","ANLN","PC-3","6","1","0.157"
"fulvestrant","IQGAP3","HL-60","6","1","0.155"
"fulvestrant","KHSRP","PC-3","6","1","0.155"
"fulvestrant","EIF4A3","MCF7","6","1","0.151"
"fulvestrant","KHSRP","HL-60","6","1","0.151"
"fulvestrant","KHSRP","HL-60","6","1","0.151"
"fulvestrant","ATAD2","MCF7","6","1","0.149"
"fulvestrant","CDC2","HL-60","6","1","0.148"
"fulvestrant","DDX54","HL-60","6","1","0.147"
"fulvestrant","C22orf9","HL-60","6","1","0.145"
"fulvestrant","C17orf85","PC-3","6","1","0.144"
"fulvestrant","NCOR2","PC-3","6","1","0.143"
"fulvestrant","MARK2","MCF7","6","1","0.142"
"fulvestrant","DDX54","MCF7","6","1","0.142"
"fulvestrant","SMARCC1","MCF7","6","1","0.14"
"fulvestrant","CASC3","HL-60","6","1","0.139"
"fulvestrant","FASN","MCF7","6","1","0.138"
"fulvestrant","ABI1","MCF7","6","1","0.136"
"fulvestrant","LRWD1","PC-3","6","1","0.135"
"fulvestrant","TERF2IP","MCF7","6","1","0.134"
"fulvestrant","RBBP6","PC-3","6","1","0.134"
"fulvestrant","RNF169","PC-3","6","1","0.133"
"fulvestrant","PAK2","HL-60","6","1","0.132"
"fulvestrant","PFKP","HL-60","6","1","0.132"
"fulvestrant","IQGAP3","PC-3","6","1","0.129"
"fulvestrant","RSF1","MCF7","6","1","0.128"
"fulvestrant","FOSL2","PC-3","6","1","0.127"
"fulvestrant","C17orf85","HL-60","6","1","0.127"
"fulvestrant","IQGAP3","HL-60","6","1","0.126"
"fulvestrant","CASC3","MCF7","6","1","0.124"
"fulvestrant","ANLN","MCF7","6","1","0.122"
"fulvestrant","TERF2IP","PC-3","6","1","0.119"
"fulvestrant","SMARCC1","MCF7","6","1","0.118"
"fulvestrant","TMSB4X","PC-3","6","1","0.117"
"fulvestrant","OCIAD1","PC-3","6","1","0.115"
"fulvestrant","TMPO","MCF7","6","1","0.114"
"fulvestrant","WDR20","PC-3","6","1","0.106"
"fulvestrant","PAK2","PC-3","6","1","0.105"
"fulvestrant","PDPK1","PC-3","6","1","0.103"
"fulvestrant","SRRM2","HL-60","6","1","0.101"
"fulvestrant","RPS6KA3","MCF7","6","1","0.099"
"fulvestrant","TERF2IP","MCF7","6","1","0.097"
"fulvestrant","DPF2","HL-60","6","1","0.096"
"fulvestrant","RSF1","MCF7","6","1","0.096"
"fulvestrant","TERF2IP","PC-3","6","1","0.095"
"fulvestrant","KIAA1704","MCF7","6","1","0.094"
"fulvestrant","PLEC1","PC-3","6","1","0.094"
"fulvestrant","MAP4","PC-3","6","1","0.094"
"fulvestrant","FASN","PC-3","6","1","0.087"
"fulvestrant","FAM129B","MCF7","6","1","0.085"
"fulvestrant","HAT1","MCF7","6","1","0.082"
"fulvestrant","KIAA0701","HL-60","6","1","0.079"
"fulvestrant","HAT1","HL-60","6","1","0.078"
"fulvestrant","EIF4A3","MCF7","6","1","0.076"
"fulvestrant","SRRM2","MCF7","6","1","0.074"
"fulvestrant","ZNF740","MCF7","6","1","0.074"
"fulvestrant","MAP3K2","HL-60","6","1","0.074"
"fulvestrant","ANLN","PC-3","6","1","0.073"
"fulvestrant","NCOR2","PC-3","6","1","0.073"
"fulvestrant","NUP214","PC-3","6","1","0.069"
"fulvestrant","RPS6KA3","HL-60","6","1","0.065"
"fulvestrant","ABI1","HL-60","6","1","0.063"
"fulvestrant","HAT1","PC-3","6","1","0.062"
"fulvestrant","OCIAD1","HL-60","6","1","0.061"
"fulvestrant","ATXN2L","HL-60","6","1","0.061"
"fulvestrant","LARP5","HL-60","6","1","0.058"
"fulvestrant","TERF2IP","PC-3","6","1","0.055"
"fulvestrant","FOSL2","HL-60","6","1","0.055"
"fulvestrant","KIAA0701","MCF7","6","1","0.054"
"fulvestrant","LARP5","MCF7","6","1","0.054"
"fulvestrant","HN1","HL-60","6","1","0.053"
"fulvestrant","ATRIP","MCF7","6","1","0.053"
"fulvestrant","RSF1","HL-60","6","1","0.051"
"fulvestrant","CASC3","HL-60","6","1","0.05"
"fulvestrant","RSF1","MCF7","6","1","0.045"
"fulvestrant","BAT2D1","HL-60","6","1","0.042"
"fulvestrant","LARP5","HL-60","6","1","0.038"
"fulvestrant","PDPK1","PC-3","6","1","0.036"
"fulvestrant","ZC3HC1","PC-3","6","1","0.031"
"fulvestrant","RNF169","MCF7","6","1","0.029"
"fulvestrant","ZNF672","PC-3","6","1","0.029"
"fulvestrant","LRWD1","PC-3","6","1","0.028"
"fulvestrant","ZC3H14","MCF7","6","1","0.027"
"fulvestrant","WDR26","PC-3","6","1","0.026"
"fulvestrant","WDR26","MCF7","6","1","0.025"
"fulvestrant","ANLN","MCF7","6","1","0.023"
"fulvestrant","TMPO","PC-3","6","1","0.022"
"fulvestrant","ABI1","MCF7","6","1","0.019"
"fulvestrant","SH3KBP1","PC-3","6","1","0.016"
"fulvestrant","ZC3HC1","HL-60","6","1","0.016"
"fulvestrant","RPS6KA3","HL-60","6","1","0.016"
"fulvestrant","WAC","MCF7","6","1","0.014"
"fulvestrant","ANLN","PC-3","6","1","0.013"
"fulvestrant","MAP3K2","HL-60","6","1","0.013"
"fulvestrant","C22orf9","PC-3","6","1","0.012"
"fulvestrant","NANS","PC-3","6","1","0.012"
"fulvestrant","MAP3K7","PC-3","6","1","0.011"
"fulvestrant","C17orf85","PC-3","6","1","0.01"
"fulvestrant","WDR26","PC-3","6","1","0.01"
"fulvestrant","ANLN","MCF7","6","1","0.005"
"fulvestrant","ATRIP","MCF7","6","1","0.005"
"fulvestrant","BAT2D1","HL-60","6","1","0.002"
"fulvestrant","SH3KBP1","PC-3","6","1","0"
"fulvestrant","PLEC1","PC-3","6","1","0"
"fulvestrant","RPS6KA1","HL-60","6","1","0"
"fulvestrant","MAP4","PC-3","6","1","0"
"fulvestrant","THRAP3","MCF7","6","1","0"
"fulvestrant","RBBP6","PC-3","6","1","0"
"fulvestrant","DDX54","PC-3","6","1","0"
"fulvestrant","RPS6KA3","MCF7","6","1","0"
"fulvestrant","LIMA1","HL-60","6","1","-0.003"
"fulvestrant","HAT1","PC-3","6","1","-0.004"
"fulvestrant","PFKP","PC-3","6","1","-0.005"
"fulvestrant","TMPO","PC-3","6","1","-0.008"
"fulvestrant","DPF2","MCF7","6","1","-0.011"
"fulvestrant","KIAA1704","HL-60","6","1","-0.011"
"fulvestrant","KIAA1704","PC-3","6","1","-0.014"
"fulvestrant","TMSB4X","MCF7","6","1","-0.014"
"fulvestrant","DYRK1A","MCF7","6","1","-0.015"
"fulvestrant","CDC2","MCF7","6","1","-0.016"
"fulvestrant","RBM17","HL-60","6","1","-0.019"
"fulvestrant","DPF2","MCF7","6","1","-0.02"
"fulvestrant","DDX54","MCF7","6","1","-0.02"
"fulvestrant","RBBP6","PC-3","6","1","-0.02"
"fulvestrant","TMPO","HL-60","6","1","-0.022"
"fulvestrant","RSF1","PC-3","6","1","-0.025"
"fulvestrant","SRRM2","PC-3","6","1","-0.026"
"fulvestrant","PAK2","MCF7","6","1","-0.026"
"fulvestrant","LIMA1","MCF7","6","1","-0.027"
"fulvestrant","RSF1","HL-60","6","1","-0.029"
"fulvestrant","ANLN","HL-60","6","1","-0.03"
"fulvestrant","RSF1","PC-3","6","1","-0.031"
"fulvestrant","NANS","HL-60","6","1","-0.031"
"fulvestrant","C13orf8","HL-60","6","1","-0.032"
"fulvestrant","DYRK1A","MCF7","6","1","-0.032"
"fulvestrant","ZC3H14","MCF7","6","1","-0.032"
"fulvestrant","BRAF","PC-3","6","1","-0.033"
"fulvestrant","DDX54","HL-60","6","1","-0.034"
"fulvestrant","NANS","MCF7","6","1","-0.036"
"fulvestrant","BRAF","PC-3","6","1","-0.037"
"fulvestrant","BRAF","PC-3","6","1","-0.037"
"fulvestrant","ALS2","HL-60","6","1","-0.039"
"fulvestrant","UBE2O","HL-60","6","1","-0.039"
"fulvestrant","C22orf9","HL-60","6","1","-0.045"
"fulvestrant","HN1","HL-60","6","1","-0.047"
"fulvestrant","ZC3HC1","MCF7","6","1","-0.049"
"fulvestrant","FASN","PC-3","6","1","-0.051"
"fulvestrant","ZNF740","HL-60","6","1","-0.051"
"fulvestrant","PFKP","PC-3","6","1","-0.051"
"fulvestrant","WAC","HL-60","6","1","-0.052"
"fulvestrant","TMPO","HL-60","6","1","-0.052"
"fulvestrant","FASN","PC-3","6","1","-0.053"
"fulvestrant","RPS6KA3","HL-60","6","1","-0.054"
"fulvestrant","DYRK1A","MCF7","6","1","-0.054"
"fulvestrant","PFKP","MCF7","6","1","-0.056"
"fulvestrant","C13orf8","MCF7","6","1","-0.058"
"fulvestrant","NANS","MCF7","6","1","-0.058"
"fulvestrant","WAC","MCF7","6","1","-0.059"
"fulvestrant","TMSB4X","HL-60","6","1","-0.059"
"fulvestrant","GPATCH8","MCF7","6","1","-0.06"
"fulvestrant","ZNF740","HL-60","6","1","-0.062"
"fulvestrant","PDPK1","MCF7","6","1","-0.065"
"fulvestrant","KIAA1704","PC-3","6","1","-0.068"
"fulvestrant","HAT1","MCF7","6","1","-0.069"
"fulvestrant","TPX2","MCF7","6","1","-0.069"
"fulvestrant","FOSL2","MCF7","6","1","-0.071"
"fulvestrant","KHSRP","MCF7","6","1","-0.073"
"fulvestrant","RNF169","HL-60","6","1","-0.074"
"fulvestrant","DYRK1A","PC-3","6","1","-0.074"
"fulvestrant","TMPO","PC-3","6","1","-0.074"
"fulvestrant","BRAF","MCF7","6","1","-0.075"
"fulvestrant","MARK2","MCF7","6","1","-0.076"
"fulvestrant","CASC3","PC-3","6","1","-0.077"
"fulvestrant","TMSB4X","HL-60","6","1","-0.078"
"fulvestrant","FASN","MCF7","6","1","-0.081"
"fulvestrant","ABI1","PC-3","6","1","-0.083"
"fulvestrant","MAP3K7","HL-60","6","1","-0.084"
"fulvestrant","RBM17","MCF7","6","1","-0.085"
"fulvestrant","MAP3K7","PC-3","6","1","-0.086"
"fulvestrant","DYRK1A","HL-60","6","1","-0.088"
"fulvestrant","ABI1","HL-60","6","1","-0.088"
"fulvestrant","FASN","MCF7","6","1","-0.089"
"fulvestrant","NUP214","MCF7","6","1","-0.092"
"fulvestrant","WDR26","MCF7","6","1","-0.094"
"fulvestrant","EIF4A3","HL-60","6","1","-0.094"
"fulvestrant","LARP5","PC-3","6","1","-0.095"
"fulvestrant","KHSRP","MCF7","6","1","-0.095"
"fulvestrant","KHSRP","PC-3","6","1","-0.095"
"fulvestrant","ZNF672","PC-3","6","1","-0.095"
"fulvestrant","PFKP","PC-3","6","1","-0.095"
"fulvestrant","HN1","PC-3","6","1","-0.1"
"fulvestrant","C17orf85","MCF7","6","1","-0.1"
"fulvestrant","LIMA1","HL-60","6","1","-0.1"
"fulvestrant","ATRIP","HL-60","6","1","-0.101"
"fulvestrant","NANS","HL-60","6","1","-0.102"
"fulvestrant","FAM129B","PC-3","6","1","-0.104"
"fulvestrant","C17orf85","HL-60","6","1","-0.104"
"fulvestrant","LRWD1","MCF7","6","1","-0.105"
"fulvestrant","NFATC2IP","HL-60","6","1","-0.106"
"fulvestrant","C17orf85","MCF7","6","1","-0.108"
"fulvestrant","PAK2","HL-60","6","1","-0.109"
"fulvestrant","PAK2","HL-60","6","1","-0.109"
"fulvestrant","PPP1R10","HL-60","6","1","-0.109"
"fulvestrant","C17orf85","PC-3","6","1","-0.11"
"fulvestrant","DPF2","HL-60","6","1","-0.113"
"fulvestrant","DHX16","PC-3","6","1","-0.113"
"fulvestrant","EIF4A3","HL-60","6","1","-0.115"
"fulvestrant","GPATCH8","PC-3","6","1","-0.115"
"fulvestrant","HAT1","MCF7","6","1","-0.116"
"fulvestrant","LRWD1","MCF7","6","1","-0.116"
"fulvestrant","THRAP3","PC-3","6","1","-0.119"
"fulvestrant","LRWD1","HL-60","6","1","-0.12"
"fulvestrant","PLEC1","PC-3","6","1","-0.12"
"fulvestrant","ATRIP","HL-60","6","1","-0.121"
"fulvestrant","ZC3H14","PC-3","6","1","-0.122"
"fulvestrant","DPF2","HL-60","6","1","-0.124"
"fulvestrant","NUP214","HL-60","6","1","-0.125"
"fulvestrant","PLEC1","MCF7","6","1","-0.126"
"fulvestrant","CCNYL1","PC-3","6","1","-0.126"
"fulvestrant","RPS6KA3","MCF7","6","1","-0.128"
"fulvestrant","KHSRP","HL-60","6","1","-0.128"
"fulvestrant","MAP3K2","PC-3","6","1","-0.129"
"fulvestrant","MARK2","HL-60","6","1","-0.132"
"fulvestrant","HN1","PC-3","6","1","-0.133"
"fulvestrant","ZNF740","PC-3","6","1","-0.134"
"fulvestrant","DDX54","PC-3","6","1","-0.136"
"fulvestrant","CDC2","PC-3","6","1","-0.138"
"fulvestrant","LRWD1","HL-60","6","1","-0.139"
"fulvestrant","NOLC1","PC-3","6","1","-0.139"
"fulvestrant","CCNYL1","MCF7","6","1","-0.14"
"fulvestrant","DHX16","PC-3","6","1","-0.14"
"fulvestrant","IQGAP3","PC-3","6","1","-0.141"
"fulvestrant","WDR26","MCF7","6","1","-0.142"
"fulvestrant","RBM17","MCF7","6","1","-0.143"
"fulvestrant","RPL12","HL-60","6","1","-0.143"
"fulvestrant","LRWD1","MCF7","6","1","-0.143"
"fulvestrant","DYRK1A","HL-60","6","1","-0.148"
"fulvestrant","THRAP3","MCF7","6","1","-0.149"
"fulvestrant","C22orf9","PC-3","6","1","-0.151"
"fulvestrant","SRRM2","PC-3","6","1","-0.152"
"fulvestrant","MAP3K2","MCF7","6","1","-0.153"
"fulvestrant","ZC3HC1","HL-60","6","1","-0.153"
"fulvestrant","MAP3K7","HL-60","6","1","-0.153"
"fulvestrant","MAP3K2","MCF7","6","1","-0.154"
"fulvestrant","RPS6KA1","PC-3","6","1","-0.157"
"fulvestrant","HN1","HL-60","6","1","-0.158"
"fulvestrant","WDR20","PC-3","6","1","-0.158"
"fulvestrant","NANS","MCF7","6","1","-0.159"
"fulvestrant","SRRM2","HL-60","6","1","-0.16"
"fulvestrant","DPF2","PC-3","6","1","-0.16"
"fulvestrant","WAC","HL-60","6","1","-0.162"
"fulvestrant","NUP214","HL-60","6","1","-0.165"
"fulvestrant","PAK2","MCF7","6","1","-0.165"
"fulvestrant","ZNF672","MCF7","6","1","-0.166"
"fulvestrant","ZC3H14","HL-60","6","1","-0.166"
"fulvestrant","MAP3K2","HL-60","6","1","-0.167"
