"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"fulvestrant","VCaP","24","10","up regulation","12.643","BTK"
"fulvestrant","VCaP","6","1","up regulation","12.071","STX1A"
"fulvestrant","VCaP","24","10","up regulation","11.999","MYLK"
"fulvestrant","VCaP","24","10","up regulation","11.584","NR3C1"
"fulvestrant","Hep G2","6","10","up regulation","11.411","MAMLD1"
"fulvestrant","VCaP","24","10","up regulation","10.598","TLR4"
"fulvestrant","VCaP","6","10","up regulation","10.221","NR3C1"
"fulvestrant","VCaP","24","10","up regulation","10.217","PRKCQ"
"fulvestrant","VCaP","24","10","up regulation","10.15","KDELR2"
"fulvestrant","VCaP","24","10","up regulation","9.751","DFFB"
"fulvestrant","VCaP","24","10","up regulation","9.7","TGFBR2"
"fulvestrant","A-375","24","10","up regulation","9.51","CNOT4"
"fulvestrant","VCaP","24","10","up regulation","9.312","KIT"
"fulvestrant","VCaP","6","10","up regulation","9.207","E2F2"
"fulvestrant","VCaP","24","1","up regulation","9.081","STX1A"
"fulvestrant","VCaP","24","10","up regulation","9.029","NR3C1"
"fulvestrant","VCaP","24","10","up regulation","8.959","PRKAG2"
"fulvestrant","VCaP","6","10","up regulation","8.867","ACLY"
"fulvestrant","VCaP","24","10","up regulation","8.774","EGR1"
"fulvestrant","VCaP","24","10","up regulation","8.773","SMAD3"
"fulvestrant","Hep G2","6","10","up regulation","8.703","MEF2C"
"fulvestrant","VCaP","24","10","up regulation","8.575","TLR4"
"fulvestrant","VCaP","24","10","up regulation","8.574","NFKB2"
"fulvestrant","VCaP","6","10","up regulation","8.481","SMAD3"
"fulvestrant","A-375","24","10","up regulation","8.474","USP7"
"fulvestrant","VCaP","24","10","up regulation","8.311","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","8.267","MALT1"
"fulvestrant","VCaP","24","10","up regulation","8.211","KDELR2"
"fulvestrant","VCaP","24","10","up regulation","8.193","MALT1"
"fulvestrant","A-375","24","10","up regulation","8.066","CAPN1"
"fulvestrant","VCaP","24","10","up regulation","8.019","ICAM3"
"fulvestrant","VCaP","24","10","up regulation","7.884","SORBS3"
"fulvestrant","MCF7","24","10","up regulation","7.846","KIT"
"fulvestrant","VCaP","24","10","up regulation","7.781","E2F2"
"fulvestrant","VCaP","24","10","up regulation","7.71","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","7.699","CNOT4"
"fulvestrant","VCaP","24","10","up regulation","7.503","TGFBR2"
"fulvestrant","VCaP","24","10","up regulation","7.473","SFN"
"fulvestrant","Hep G2","6","10","up regulation","7.464","CASP2"
"fulvestrant","VCaP","24","10","up regulation","7.438","PAX8"
"fulvestrant","VCaP","24","10","up regulation","7.411","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","7.411","PRKAG2"
"fulvestrant","VCaP","24","10","up regulation","7.375","PLSCR1"
"fulvestrant","VCaP","24","10","up regulation","7.367","ICAM3"
"fulvestrant","VCaP","24","10","up regulation","7.352","HMGCS1"
"fulvestrant","VCaP","6","10","up regulation","7.326","PSMD10"
"fulvestrant","VCaP","24","10","up regulation","7.282","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","7.278","RELB"
"fulvestrant","VCaP","24","10","up regulation","7.262","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","7.224","CCP110"
"fulvestrant","VCaP","24","10","up regulation","7.202","HMGCS1"
"fulvestrant","MCF7","24","0.08","up regulation","7.135","KIT"
"fulvestrant","VCaP","24","10","up regulation","7.123","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","7.121","HMGCS1"
"fulvestrant","VCaP","6","5","up regulation","7.086","STX1A"
"fulvestrant","A-375","24","10","up regulation","6.986","EPHB2"
"fulvestrant","VCaP","6","10","up regulation","6.983","SQRDL"
"fulvestrant","VCaP","24","10","up regulation","6.941","CDK6"
"fulvestrant","VCaP","24","10","up regulation","6.872","FAM20B"
"fulvestrant","VCaP","24","10","up regulation","6.869","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","6.76","INSIG1"
"fulvestrant","VCaP","24","10","up regulation","6.734","RAC2"
"fulvestrant","VCaP","6","10","up regulation","6.72","TPD52L2"
"fulvestrant","VCaP","6","10","up regulation","6.718","ST3GAL5"
"fulvestrant","VCaP","24","10","up regulation","6.67","AXIN1"
"fulvestrant","VCaP","24","10","up regulation","6.637","CHP"
"fulvestrant","VCaP","24","10","up regulation","6.632","HMGCS1"
"fulvestrant","MCF7","24","0.08","up regulation","6.624","PPARD"
"fulvestrant","VCaP","24","10","up regulation","6.595","CASK"
"fulvestrant","VCaP","24","10","up regulation","6.538","RBKS"
"fulvestrant","VCaP","24","10","up regulation","6.529","ERBB3"
"fulvestrant","VCaP","24","10","up regulation","6.483","SPAG4"
"fulvestrant","VCaP","24","10","up regulation","6.393","KDELR2"
"fulvestrant","VCaP","6","10","up regulation","6.335","FKBP14"
"fulvestrant","VCaP","6","10","up regulation","6.306","SORBS3"
"fulvestrant","VCaP","24","10","up regulation","6.293","IKBKB"
"fulvestrant","VCaP","24","10","up regulation","6.29","INSIG1"
"fulvestrant","A-375","24","10","up regulation","6.211","HS2ST1"
"fulvestrant","MCF7","6","2","up regulation","6.207","SPP1"
"fulvestrant","VCaP","24","10","up regulation","6.204","HMGCS1"
"fulvestrant","VCaP","24","10","up regulation","6.19","DNM1"
"fulvestrant","VCaP","24","10","up regulation","6.186","INSIG1"
"fulvestrant","VCaP","24","10","up regulation","6.179","INSIG1"
"fulvestrant","VCaP","24","10","up regulation","6.173","CASK"
"fulvestrant","VCaP","24","10","up regulation","6.166","MYCBP2"
