"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value",
"Taxol","CAL-51","48","0.01","Cell cycle: percent interphase","82.21",
"Taxol","KMRC-20","72","0.05","Cell cycle: percent interphase","82.2",
"Taxol","COLO-800","24","3.7","Cell cycle: percent non-arrested","82.17",
"Taxol","COLO-800","24","3.7","Cell cycle: percent interphase","82.17",
"Taxol","5637","24","0.05","Cell cycle: percent interphase","82.14",
"Taxol","KMRC-20","48","0.41","Cell cycle: percent interphase","82.14",
"Taxol","A375.S2","48","0.14","Cell cycle: percent interphase","82.11",
"Taxol","KMRC-20","48","11.11","Cell cycle: percent interphase","82.02",
"Taxol","Ca9-22","48","0.14","Cell cycle: percent non-arrested","82.01",
"Taxol","SK-LMS-1","24","0.41","Cell cycle: percent G2-M arrested","82",
"Taxol","NCI-H810","24","0.41","Cell cycle: percent interphase","81.98",
"Taxol","A375.S2","24","1.23","Cell cycle: percent interphase","81.94",
"Taxol","A375.S2","24","1.23","Cell cycle: percent interphase","81.93",
"Taxol","Ishikawa","72","11.11","Cell cycle: percent interphase","81.92",
"Taxol","NCI-H810","24","3.7","Cell cycle: percent interphase","81.88",
"Taxol","647-V","48","0.01","Cell cycle: percent interphase","81.86",
"Taxol","KYSE-140","24","0.41","Cell cycle: percent interphase","81.83",
"Taxol","SK-MES","24","0.41","Cell cycle: percent G2-M arrested","81.82",
"Taxol","PC-9","24","1.23","Cell cycle: percent non-arrested","81.82",
"Taxol","KYSE-150","72","0.01","Cell cycle: percent interphase","81.74",
"Taxol","Ca9-22","72","0.01","Cell cycle: percent interphase","81.73",
"Taxol","NCI-H810","24","11.11","Cell cycle: percent interphase","81.64",
"Taxol","KYSE-150","48","0.02","Cell cycle: percent interphase","81.61",
"Taxol","KYSE-140","24","11.11","Cell cycle: percent G2-M arrested","81.58",
"Taxol","CAL-51","24","0.02","Cell cycle: percent interphase","81.56",
"Taxol","KYSE-150","48","0.14","Cell cycle: percent interphase","81.53",
"Taxol","NCI-H810","72","1.23","Cell cycle: percent G2-M arrested","81.52",
"Taxol","KATO III","24","0.14","Cell cycle: percent G2-M arrested","81.52",
"Taxol","KYSE-140","24","3.7","Cell cycle: percent G2-M arrested","81.48",
"Taxol","KATO III","24","0.02","Cell cycle: percent G2-M arrested","81.48",
"Taxol","HLF","48","0.02","Cell cycle: percent interphase","81.47",
"Taxol","PC-9","24","3.7","Cell cycle: percent non-arrested","81.41",
"Taxol","Ca9-22","48","0.01","Cell cycle: percent interphase","81.38",
"Taxol","KYSE-180","24","0.14","Cell cycle: percent non-arrested","81.31",
"Taxol","SK-LMS-1","24","1.23","Cell cycle: percent G2-M arrested","81.25",
"Taxol","A375.S2","48","1.23","Cell cycle: percent interphase","81.25",
"Taxol","5637","72","11.11","Cell cycle: percent non-arrested","81.23",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.05","Cell cycle: percent interphase","81.2",
"Taxol","HEC-1","24","0.02","Cell cycle: percent interphase","81.17",
"Taxol","KMRC-20","72","1.23","Cell cycle: percent interphase","81.09",
"Taxol","NCI-H810","72","33.33","Cell cycle: percent G2-M arrested","81.08",
"Taxol","KYSE-150","48","0.05","Cell cycle: percent interphase","81.07",
"Taxol","KMRC-20","48","1.23","Cell cycle: percent interphase","81.04",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.14","Cell cycle: percent interphase","81.04",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.02","Cell cycle: percent interphase","80.97",
"Taxol","KYSE-150","24","11.11","Cell cycle: percent interphase","80.95",
"Taxol","KMRC-20","72","3.7","Cell cycle: percent interphase","80.93",
"Taxol","HEC-1","72","0.01","Cell cycle: percent interphase","80.93",
"Taxol","Ishikawa","48","0.41","Cell cycle: percent interphase","80.84",
"Taxol","NCI-H810","72","0.41","Cell cycle: percent G2-M arrested","80.82",
"Taxol","KYSE-140","24","0.14","Cell cycle: percent G2-M arrested","80.77",
"Taxol","KYSE-140","48","0.01","Cell cycle: percent interphase","80.75",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.14","Cell cycle: percent interphase","80.73",
"Taxol","KMRC-20","72","3.7","Cell cycle: percent interphase","80.72",
"Taxol","5637","72","3.7","Cell cycle: percent non-arrested","80.65",
"Taxol","NCI-H810","24","0.14","Cell cycle: percent interphase","80.6",
"Taxol","PC-9","24","3.7","Cell cycle: percent interphase","80.57",
"Taxol","SK-LMS-1","24","11.11","Cell cycle: percent G2-M arrested","80.56",
"Taxol","Ca9-22","48","0.05","Cell cycle: percent non-arrested","80.52",
"Taxol","A375.S2","24","0.41","Cell cycle: percent interphase","80.46",
"Taxol","NCI-H810","72","0.14","Cell cycle: percent G2-M arrested","80.44",
"Taxol","KMRC-20","24","0.05","Cell cycle: percent interphase","80.44",
"Taxol","Ishikawa","48","0.05","Cell cycle: percent interphase","80.44",
"Taxol","KYSE-140","72","11.11","Cell cycle: percent interphase","80.42",
"Taxol","NCI-H810","24","3.7","Cell cycle: percent non-arrested","80.39",
"Taxol","5637","72","0.41","Cell cycle: percent non-arrested","80.36",
"Taxol","COLO-800","24","0.05","Cell cycle: percent non-arrested","80.34",
"Taxol","COLO-800","24","0.05","Cell cycle: percent interphase","80.34",
"Taxol","5637","24","0.14","Cell cycle: percent interphase","80.33",
"Taxol","Ishikawa","72","3.7","Cell cycle: percent interphase","80.33",
"Taxol","KMRC-20","72","11.11","Cell cycle: percent interphase","80.32",
"Taxol","NCI-H810","72","0.05","Cell cycle: percent G2-M arrested","80.3",
"Taxol","CAL-51","72","0.02","Cell cycle: percent interphase","80.3",
"Taxol","Ishikawa","48","1.23","Cell cycle: percent interphase","80.25",
"Taxol","CAL-51","72","0.02","Cell cycle: percent interphase","80.21",
"Taxol","PC-9","24","1.23","Cell cycle: percent interphase","80.21",
"Taxol","Ca9-22","72","0.05","Cell cycle: percent interphase","80.16",
"Taxol","PC-9","24","11.11","Cell cycle: percent interphase","80.16",
"Taxol","A375.S2","48","1.23","Cell cycle: percent interphase","80.1",
"Taxol","KYSE-150","48","11.11","Cell cycle: percent interphase","80.09",
"Taxol","KMRC-20","48","3.7","Cell cycle: percent interphase","80.09",
"Taxol","KYSE-180","24","0.41","Cell cycle: percent non-arrested","80.08",
"Taxol","SJCRH30","24","0.05","Cell cycle: percent G2-M arrested","80",
"Taxol","NCI-H810","72","33.33","Cell cycle: percent G2-M arrested","80",
"Taxol","KYSE-180","72","0.05","Cell cycle: percent G2-M arrested","80",
"Taxol","KYSE-140","24","0.41","Cell cycle: percent G2-M arrested","80",
"Taxol","KYSE-140","72","3.7","Cell cycle: percent G2-M arrested","80",
"Taxol","KYSE-140","48","11.11","Cell cycle: percent G2-M arrested","80",
"Taxol","IST-MEL1","72","0.01","Cell cycle: percent G2-M arrested","80",
"Taxol","KMRC-20","72","0.41","Cell cycle: percent interphase","80",
"Taxol","FU97","72","0.05","Cell cycle: percent interphase","80",
"Taxol","KYSE-150","48","0.05","Cell cycle: percent interphase","79.93",
"Taxol","5637","72","0.05","Cell cycle: percent non-arrested","79.92",
"Taxol","AGS","72","0.01","Cell cycle: percent interphase","79.87",
"Taxol","HEC-1","24","0.02","Cell cycle: percent interphase","79.85",
"Taxol","KYSE-140","48","0.41","Cell cycle: percent interphase","79.78",
"Taxol","KYSE-140","72","11.11","Cell cycle: percent interphase","79.77",
"Taxol","KYSE-140","48","1.23","Cell cycle: percent interphase","79.75",
"Taxol","Ca9-22","48","1.23","Cell cycle: percent non-arrested","79.75",
"Taxol","NCI-H810","48","3.7","Cell cycle: percent G2-M arrested","79.73",
"Taxol","A375.S2","48","0.41","Cell cycle: percent interphase","79.69",
"Taxol","NCI-H810","72","0.41","Cell cycle: percent G2-M arrested","79.66",
"Taxol","KYSE-150","48","3.7","Cell cycle: percent interphase","79.59",
"Taxol","KYSE-140","48","0.01","Cell cycle: percent interphase","79.58",
"Taxol","KYSE-140","48","1.23","Cell cycle: percent interphase","79.55",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.05","Cell cycle: percent interphase","79.49",
"Taxol","Ishikawa","72","0.05","Cell cycle: percent interphase","79.48",
"Taxol","Ishikawa","48","0.41","Cell cycle: percent interphase","79.48",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent non-arrested","79.38",
"Taxol","KYSE-140","48","0.41","Cell cycle: percent interphase","79.31",
"Taxol","5637","24","11.11","Cell cycle: percent non-arrested","79.25",
"Taxol","KYSE-150","48","1.23","Cell cycle: percent interphase","79.25",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.41","Cell cycle: percent interphase","79.23",
"Taxol","LNZTA3WT4","48","0.05","Cell cycle: percent interphase","79.2",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","11.11","Cell cycle: percent interphase","79.19",
"Taxol","KYSE-180","72","0.02","Cell cycle: percent G2-M arrested","79.17",
"Taxol","KYSE-150","48","0.02","Cell cycle: percent interphase","79.15",
"Taxol","NCI-H810","24","0.14","Cell cycle: percent interphase","79.11",
"Taxol","HLF","24","0.41","Cell cycle: percent interphase","79.11",
"Taxol","LNZTA3WT4","48","0.05","Cell cycle: percent interphase","79.09",
"Taxol","SK-LMS-1","24","0.05","Cell cycle: percent G2-M arrested","79.07",
"Taxol","KYSE-140","48","0.14","Cell cycle: percent interphase","79",
"Taxol","KYSE-150","24","0.02","Cell cycle: percent interphase","78.99",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent non-arrested","78.97",
"Taxol","NCI-H1648","24","3.7","Cell cycle: percent G2-M arrested","78.95",
"Taxol","KYSE-180","48","0.02","Cell cycle: percent G2-M arrested","78.95",
"Taxol","Ca9-22","48","3.7","Cell cycle: percent non-arrested","78.91",
"Taxol","KYSE-140","48","0.14","Cell cycle: percent interphase","78.86",
"Taxol","KMRC-20","72","0.14","Cell cycle: percent interphase","78.8",
"Taxol","NCI-H1648","24","0.01","Cell cycle: percent G2-M arrested","78.79",
"Taxol","JHH-6","48","0.14","Cell cycle: percent interphase","78.79",
"Taxol","KYSE-150","72","0.01","Cell cycle: percent interphase","78.74",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent interphase","78.73",
"Taxol","HEC-1","48","11.11","Cell cycle: percent interphase","78.72",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent interphase","78.7",
"Taxol","SK-LMS-1","24","0.14","Cell cycle: percent G2-M arrested","78.69",
"Taxol","KATO III","24","0.14","Cell cycle: percent G2-M arrested","78.65",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","1.23","Cell cycle: percent interphase","78.61",
"Taxol","KYSE-140","48","3.7","Cell cycle: percent G2-M arrested","78.57",
"Taxol","KMRC-20","72","1.23","Cell cycle: percent interphase","78.57",
"Taxol","Ishikawa","48","3.7","Cell cycle: percent interphase","78.57",
"Taxol","KYSE-180","24","1.23","Cell cycle: percent non-arrested","78.54",
"Taxol","KATO III","24","1.23","Cell cycle: percent non-arrested","78.51",
"Taxol","HEC-1","48","11.11","Cell cycle: percent interphase","78.49",
"Taxol","KYSE-150","72","3.7","Cell cycle: percent interphase","78.45",
"Taxol","5637","24","0.14","Cell cycle: percent interphase","78.38",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","11.11","Cell cycle: percent interphase","78.29",
"Taxol","NCI-H1648","24","0.41","Cell cycle: percent G2-M arrested","78.26",
"Taxol","5637","72","1.23","Cell cycle: percent non-arrested","78.23",
"Taxol","KATO III","24","33.33","Cell cycle: percent G2-M arrested","78.18",
"Taxol","KYSE-180","24","0.14","Cell cycle: percent non-arrested","78.15",
"Taxol","KYSE-150","48","3.7","Cell cycle: percent interphase","78.11",
"Taxol","HEC-1","72","0.01","Cell cycle: percent interphase","78.08",
"Taxol","Ishikawa","48","0.14","Cell cycle: percent interphase","78.05",
"Taxol","FU97","72","0.41","Cell cycle: percent interphase","78.05",
"Taxol","KMRC-20","24","0.05","Cell cycle: percent interphase","77.94",
"Taxol","JHH-6","48","0.14","Cell cycle: percent interphase","77.94",
"Taxol","JHH-6","72","0.41","Cell cycle: percent interphase","77.87",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.41","Cell cycle: percent interphase","77.86",
"Taxol","NCI-H810","24","3.7","Cell cycle: percent interphase","77.82",
"Taxol","JHH-6","48","0.05","Cell cycle: percent interphase","77.82",
"Taxol","SK-LMS-1","72","0.01","Cell cycle: percent G2-M arrested","77.78",
"Taxol","NCI-H1648","48","0.05","Cell cycle: percent G2-M arrested","77.78",
"Taxol","IST-MEL1","24","3.7","Cell cycle: percent G2-M arrested","77.78",
"Taxol","5637","24","11.11","Cell cycle: percent interphase","77.78",
"Taxol","5637","24","11.11","Cell cycle: percent non-arrested","77.78",
"Taxol","HEC-1","48","0.14","Cell cycle: percent interphase","77.77",
"Taxol","CAL-51","24","0.05","Cell cycle: percent interphase","77.74",
"Taxol","COLO-800","24","3.7","Cell cycle: percent non-arrested","77.71",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent non-arrested","77.63",
"Taxol","Ishikawa","72","0.05","Cell cycle: percent interphase","77.63",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent non-arrested","77.62",
"Taxol","5637","24","0.02","Cell cycle: percent non-arrested","77.61",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent non-arrested","77.6",
"Taxol","COLO-800","24","3.7","Cell cycle: percent interphase","77.59",
"Taxol","NCI-H810","48","1.23","Cell cycle: percent G2-M arrested","77.58",
"Taxol","Ishikawa","24","0.01","Cell cycle: percent interphase","77.54",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent non-arrested","77.5",
"Taxol","NCI-H810","24","33.33","Cell cycle: percent non-arrested","77.45",
"Taxol","COLO-800","24","0.02","Cell cycle: percent non-arrested","77.44",
"Taxol","COLO-800","24","0.02","Cell cycle: percent interphase","77.44",
"Taxol","PC-9","24","0.02","Cell cycle: percent non-arrested","77.43",
"Taxol","KYSE-140","24","0.05","Cell cycle: percent G2-M arrested","77.42",
"Taxol","HLF","48","0.02","Cell cycle: percent interphase","77.33",
"Taxol","Ishikawa","72","1.23","Cell cycle: percent interphase","77.29",
"Taxol","IST-MEL1","24","3.7","Cell cycle: percent G2-M arrested","77.27",
"Taxol","JHH-6","48","1.23","Cell cycle: percent interphase","77.25",
"Taxol","KYSE-180","24","1.23","Cell cycle: percent non-arrested","77.24",
"Taxol","KYSE-180","24","3.7","Cell cycle: percent non-arrested","77.24",
"Taxol","HEC-1","72","11.11","Cell cycle: percent interphase","77.2",
"Taxol","5637","24","11.11","Cell cycle: percent interphase","77.19",
"Taxol","KYSE-140","24","1.23","Cell cycle: percent G2-M arrested","77.14",
"Taxol","AGS","48","0.02","Cell cycle: percent interphase","77.08",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent interphase","77.06",
"Taxol","5637","72","11.11","Cell cycle: percent non-arrested","77.02",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent interphase","77",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent non-arrested","77",
"Taxol","Ca9-22","48","3.7","Cell cycle: percent non-arrested","76.99",
"Taxol","Ishikawa","48","3.7","Cell cycle: percent interphase","76.94",
"Taxol","NCI-H1648","48","3.7","Cell cycle: percent G2-M arrested","76.92",
"Taxol","KYSE-180","48","0.02","Cell cycle: percent G2-M arrested","76.92",
"Taxol","HEC-1","48","3.7","Cell cycle: percent interphase","76.92",
"Taxol","KMRC-20","24","11.11","Cell cycle: percent interphase","76.91",
"Taxol","HLF","48","0.05","Cell cycle: percent interphase","76.89",
"Taxol","KYSE-140","72","3.7","Cell cycle: percent interphase","76.86",
"Taxol","5637","72","0.41","Cell cycle: percent non-arrested","76.83",
"Taxol","KYSE-180","24","0.14","Cell cycle: percent interphase","76.79",
"Taxol","PC-9","24","0.02","Cell cycle: percent non-arrested","76.78",
"Taxol","Ca Ski","48","11.11","Cell cycle: percent non-arrested","76.76",
"Taxol","KYSE-150","48","1.23","Cell cycle: percent interphase","76.74",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent interphase","76.68",
"Taxol","KATO III","24","0.41","Cell cycle: percent interphase","76.64",
"Taxol","SK-LMS-1","24","3.7","Cell cycle: percent G2-M arrested","76.6",
"Taxol","SK-LMS-1","24","3.7","Cell cycle: percent G2-M arrested","76.6",
"Taxol","Ca9-22","48","0.14","Cell cycle: percent non-arrested","76.57",
"Taxol","JHH-6","48","0.02","Cell cycle: percent interphase","76.54",
"Taxol","NCI-H810","48","0.41","Cell cycle: percent G2-M arrested","76.53",
"Taxol","KMRC-20","24","0.14","Cell cycle: percent interphase","76.49",
"Taxol","HEC-1","48","0.14","Cell cycle: percent interphase","76.46",
"Taxol","Calu-1","24","0.02","Cell cycle: percent interphase","76.45",
"Taxol","647-V","72","0.01","Cell cycle: percent interphase","76.45",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent non-arrested","76.44",
"Taxol","AGS","72","0.01","Cell cycle: percent interphase","76.44",
"Taxol","5637","72","1.23","Cell cycle: percent non-arrested","76.41",
"Taxol","COLO-800","24","0.02","Cell cycle: percent non-arrested","76.36",
"Taxol","5637","24","0.02","Cell cycle: percent interphase","76.36",
"Taxol","5637","24","33.33","Cell cycle: percent non-arrested","76.36",
"Taxol","KYSE-150","72","0.02","Cell cycle: percent interphase","76.34",
"Taxol","HLF","24","11.11","Cell cycle: percent interphase","76.34",
"Taxol","Calu-1","24","3.7","Cell cycle: percent interphase","76.34",
"Taxol","CAL-51","24","0.05","Cell cycle: percent interphase","76.29",
"Taxol","KYSE-180","24","0.05","Cell cycle: percent non-arrested","76.27",
"Taxol","5637","24","0.01","Cell cycle: percent non-arrested","76.25",
"Taxol","COLO-800","24","0.02","Cell cycle: percent interphase","76.24",
"Taxol","NCI-H1648","24","11.11","Cell cycle: percent G2-M arrested","76.19",
"Taxol","Ishikawa","72","0.41","Cell cycle: percent interphase","76.19",
"Taxol","KATO III","24","11.11","Cell cycle: percent G2-M arrested","76.12",
"Taxol","A375.S2","48","0.41","Cell cycle: percent interphase","76.11",
"Taxol","PC-9","24","0.02","Cell cycle: percent interphase","76.01",
"Taxol","CAL-51","48","0.02","Cell cycle: percent interphase","76",
"Taxol","KYSE-180","24","33.33","Cell cycle: percent non-arrested","75.98",
"Taxol","KYSE-180","24","0.41","Cell cycle: percent interphase","75.97",
"Taxol","KYSE-150","24","0.02","Cell cycle: percent interphase","75.92",
"Taxol","Ca9-22","72","0.41","Cell cycle: percent interphase","75.91",
"Taxol","AGS","48","0.02","Cell cycle: percent interphase","75.91",
"Taxol","Ishikawa","48","11.11","Cell cycle: percent interphase","75.89",
"Taxol","KYSE-140","48","0.02","Cell cycle: percent interphase","75.85",
"Taxol","Ishikawa","72","3.7","Cell cycle: percent interphase","75.81",
"Taxol","KYSE-150","24","11.11","Cell cycle: percent interphase","75.8",
"Taxol","KYSE-180","24","3.7","Cell cycle: percent non-arrested","75.79",
"Taxol","HEC-1","48","0.05","Cell cycle: percent interphase","75.76",
"Taxol","NCI-H810","24","33.33","Cell cycle: percent interphase","75.74",
"Taxol","KATO III","24","1.23","Cell cycle: percent non-arrested","75.72",
"Taxol","KYSE-150","48","11.11","Cell cycle: percent interphase","75.72",
"Taxol","JHH-6","48","0.41","Cell cycle: percent interphase","75.71",
"Taxol","Ishikawa","72","11.11","Cell cycle: percent interphase","75.7",
"Taxol","KYSE-140","72","3.7","Cell cycle: percent interphase","75.67",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent non-arrested","75.64",
"Taxol","KYSE-180","24","33.33","Cell cycle: percent non-arrested","75.64",
"Taxol","IST-MEL1","24","0.14","Cell cycle: percent non-arrested","75.64",
"Taxol","KATO III","24","0.05","Cell cycle: percent G2-M arrested","75.56",
"Taxol","IST-MEL1","24","0.14","Cell cycle: percent interphase","75.46",
"Taxol","KYSE-150","48","0.14","Cell cycle: percent interphase","75.45",
"Taxol","KATO III","24","0.41","Cell cycle: percent non-arrested","75.42",
"Taxol","HEC-1","24","0.14","Cell cycle: percent interphase","75.41",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent interphase","75.39",
"Taxol","HLF","48","0.05","Cell cycle: percent interphase","75.38",
"Taxol","HLF","24","11.11","Cell cycle: percent interphase","75.37",
"Taxol","JHH-6","48","0.41","Cell cycle: percent interphase","75.35",
"Taxol","5637","24","0.01","Cell cycle: percent interphase","75.33",
"Taxol","Ca9-22","72","0.02","Cell cycle: percent interphase","75.33",
"Taxol","KYSE-150","24","0.05","Cell cycle: percent interphase","75.31",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent interphase","75.26",
"Taxol","HEC-1","72","11.11","Cell cycle: percent interphase","75.26",
"Taxol","NCI-H1703","24","1.23","Cell cycle: percent non-arrested","75.24",
"Taxol","NCI-H1703","24","1.23","Cell cycle: percent interphase","75.24",
"Taxol","Calu-1","24","11.11","Cell cycle: percent interphase","75.24",
"Taxol","5637","72","3.7","Cell cycle: percent non-arrested","75.24",
"Taxol","NCI-H1703","24","0.14","Cell cycle: percent non-arrested","75.19",
"Taxol","KYSE-150","24","0.14","Cell cycle: percent interphase","75.19",
"Taxol","HEC-1","48","0.02","Cell cycle: percent interphase","75.13",
"Taxol","KMRC-20","72","0.05","Cell cycle: percent interphase","75.12",
"Taxol","KYSE-450","24","0.01","Cell cycle: percent interphase","75.1",
"Taxol","PC-9","24","0.02","Cell cycle: percent interphase","75.1",
"Taxol","KYSE-180","24","0.05","Cell cycle: percent non-arrested","75.08",
"Taxol","SJCRH30","24","0.41","Cell cycle: percent G2-M arrested","75",
"Taxol","SJCRH30","24","1.23","Cell cycle: percent G2-M arrested","75",
"Taxol","SJCRH30","24","3.7","Cell cycle: percent G2-M arrested","75",
"Taxol","NCI-H1703","48","0.14","Cell cycle: percent G2-M arrested","75",
"Taxol","NCI-H1648","48","33.33","Cell cycle: percent G2-M arrested","75",
"Taxol","KYSE-180","48","3.7","Cell cycle: percent G2-M arrested","75",
"Taxol","KYSE-140","48","0.01","Cell cycle: percent G2-M arrested","75",
"Taxol","KYSE-140","48","0.02","Cell cycle: percent G2-M arrested","75",
"Taxol","KYSE-140","72","33.33","Cell cycle: percent G2-M arrested","75",
"Taxol","IST-MEL1","72","1.23","Cell cycle: percent G2-M arrested","75",
"Taxol","IST-MEL1","72","0.05","Cell cycle: percent G2-M arrested","75",
"Taxol","IST-MEL1","72","0.05","Cell cycle: percent G2-M arrested","75",
"Taxol","IST-MEL1","48","33.33","Cell cycle: percent G2-M arrested","75",
"Taxol","COLO-800","24","1.23","Cell cycle: percent G2-M arrested","75",
"Taxol","Ca9-22","48","11.11","Cell cycle: percent non-arrested","75",
"Taxol","PC-9","48","3.7","Cell cycle: percent G2-M arrested","75",
"Taxol","CAL-51","24","11.11","Cell cycle: percent interphase","74.97",
"Taxol","HEC-1","48","1.23","Cell cycle: percent interphase","74.95",
"Taxol","Ca Ski","48","3.7","Cell cycle: percent non-arrested","74.95",
"Taxol","KMRC-20","72","0.41","Cell cycle: percent interphase","74.94",
"Taxol","Ca Ski","48","0.41","Cell cycle: percent non-arrested","74.91",
"Taxol","647-V","72","0.01","Cell cycle: percent interphase","74.9",
"Taxol","KMRC-20","24","11.11","Cell cycle: percent interphase","74.79",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","3.7","Cell cycle: percent interphase","74.77",
"Taxol","Ca Ski","48","1.23","Cell cycle: percent non-arrested","74.74",
"Taxol","KYSE-140","48","0.05","Cell cycle: percent interphase","74.73",
"Taxol","HEC-1","48","1.23","Cell cycle: percent interphase","74.72",
"Taxol","KYSE-180","24","0.41","Cell cycle: percent non-arrested","74.69",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","3.7","Cell cycle: percent interphase","74.68",
"Taxol","Calu-1","24","0.14","Cell cycle: percent interphase","74.59",
"Taxol","Ishikawa","48","11.11","Cell cycle: percent interphase","74.57",
"Taxol","HLF","48","0.14","Cell cycle: percent interphase","74.56",
"Taxol","5637","24","33.33","Cell cycle: percent interphase","74.51",
"Taxol","NCI-H1703","24","0.14","Cell cycle: percent interphase","74.5",
"Taxol","JHH-6","72","1.23","Cell cycle: percent interphase","74.49",
"Taxol","Ishikawa","72","0.41","Cell cycle: percent interphase","74.48",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","1.23","Cell cycle: percent interphase","74.45",
"Taxol","KATO III","24","0.41","Cell cycle: percent G2-M arrested","74.42",
"Taxol","JHH-6","48","1.23","Cell cycle: percent interphase","74.36",
"Taxol","HEC-1","48","3.7","Cell cycle: percent interphase","74.36",
"Taxol","Calu-1","24","0.02","Cell cycle: percent interphase","74.32",
"Taxol","CAL-51","24","0.14","Cell cycle: percent interphase","74.22",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent non-arrested","74.21",
"Taxol","Ca9-22","72","0.41","Cell cycle: percent interphase","74.2",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent interphase","74.17",
"Taxol","KYSE-150","48","0.41","Cell cycle: percent interphase","74.16",
"Taxol","HLF","24","0.41","Cell cycle: percent interphase","74.14",
"Taxol","647-V","24","11.11","Cell cycle: percent interphase","74.11",
"Taxol","KATO III","24","1.23","Cell cycle: percent interphase","74.1",
"Taxol","KYSE-150","24","1.23","Cell cycle: percent interphase","74.01",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent interphase","73.91",
"Taxol","647-V","24","11.11","Cell cycle: percent interphase","73.9",
"Taxol","KYSE-150","24","0.14","Cell cycle: percent interphase","73.89",
"Taxol","5637","72","0.02","Cell cycle: percent non-arrested","73.83",
"Taxol","KYSE-140","24","0.14","Cell cycle: percent G2-M arrested","73.81",
"Taxol","KYSE-140","48","0.02","Cell cycle: percent interphase","73.73",
"Taxol","SNB75","24","1.23","Cell cycle: percent non-arrested","73.68",
"Taxol","KYSE-140","48","0.05","Cell cycle: percent interphase","73.63",
"Taxol","SNB75","24","1.23","Cell cycle: percent interphase","73.61",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent interphase","73.58",
"Taxol","HEC-1","24","0.41","Cell cycle: percent interphase","73.54",
"Taxol","KYSE-180","24","3.7","Cell cycle: percent interphase","73.5",
"Taxol","HEC-1","24","11.11","Cell cycle: percent interphase","73.49",
"Taxol","KYSE-180","24","1.23","Cell cycle: percent interphase","73.47",
"Taxol","KYSE-150","24","0.41","Cell cycle: percent interphase","73.44",
"Taxol","JHH-6","72","0.14","Cell cycle: percent interphase","73.44",
"Taxol","SNB75","24","0.14","Cell cycle: percent non-arrested","73.43",
"Taxol","KATO III","24","0.02","Cell cycle: percent non-arrested","73.39",
"Taxol","KYSE-180","24","33.33","Cell cycle: percent interphase","73.38",
"Taxol","HEC-1","24","0.05","Cell cycle: percent interphase","73.36",
"Taxol","KYSE-180","24","33.33","Cell cycle: percent interphase","73.33",
"Taxol","KATO III","24","0.14","Cell cycle: percent non-arrested","73.33",
"Taxol","JHH-6","48","0.02","Cell cycle: percent interphase","73.3",
"Taxol","IST-MEL1","24","0.01","Cell cycle: percent non-arrested","73.25",
"Taxol","Ishikawa","24","0.01","Cell cycle: percent interphase","73.24",
"Taxol","Ca9-22","72","1.23","Cell cycle: percent interphase","73.23",
"Taxol","Calu-1","24","1.23","Cell cycle: percent interphase","73.22",
"Taxol","SNB75","24","0.14","Cell cycle: percent interphase","73.16",
"Taxol","LNZTA3WT4","72","0.05","Cell cycle: percent interphase","73.12",
"Taxol","IST-MEL1","24","0.01","Cell cycle: percent interphase","73.03",
"Taxol","KATO III","24","11.11","Cell cycle: percent G2-M arrested","73.02",
"Taxol","IA-LM","24","11.11","Cell cycle: percent G2-M arrested","72.95",
"Taxol","KATO III","24","0.02","Cell cycle: percent non-arrested","72.93",
"Taxol","IST-MEL1","24","0.41","Cell cycle: percent non-arrested","72.92",
