"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Tivantinib","MCF7","24","2","up regulation","8.292","PPARG"
"Tivantinib","Hs 578T","6","10","up regulation","8.105","SLC25A14"
"Tivantinib","SK-BR-3","6","10","up regulation","7.745","CASP2"
"Tivantinib","Hs 578T","24","10","up regulation","6.926","KIF5C"
"Tivantinib","Hs 578T","24","0.4","up regulation","6.788","KIF5C"
"Tivantinib","MDA-MB-231","24","0.08","up regulation","6.768","DHDDS"
"Tivantinib","MCF7","24","2","up regulation","6.559","MICALL1"
"Tivantinib","SK-BR-3","6","10","up regulation","6.216","TLR4"
"Tivantinib","Hs 578T","24","0.08","up regulation","6.154","SSBP2"
"Tivantinib","Hs 578T","24","10","up regulation","6.107","LYN"
"Tivantinib","Hs 578T","24","10","up regulation","5.685","GPER"
"Tivantinib","Hs 578T","6","10","up regulation","5.615","TSPAN6"
"Tivantinib","MDA-MB-231","6","2","up regulation","5.608","CASP2"
"Tivantinib","MDA-MB-231","24","0.08","up regulation","5.106","ST3GAL5"
"Tivantinib","MDA-MB-231","6","2","up regulation","5.059","E2F2"
"Tivantinib","Hs 578T","24","0.08","up regulation","4.93","KIF5C"
"Tivantinib","Hs 578T","24","0.08","up regulation","4.922","PRKCH"
"Tivantinib","Hs 578T","24","0.4","up regulation","4.911","CASP2"
"Tivantinib","SK-BR-3","24","2","up regulation","4.897","PTGS2"
"Tivantinib","SK-BR-3","24","2","up regulation","4.894","RRS1"
"Tivantinib","MDA-MB-231","6","2","up regulation","4.84","ADO"
"Tivantinib","MCF7","24","2","up regulation","4.742","DHDDS"
"Tivantinib","MCF7","24","2","up regulation","4.686","CDC20"
"Tivantinib","MDA-MB-231","6","2","up regulation","4.633","HOXA10"
"Tivantinib","MCF7","24","2","up regulation","4.606","BACE2"
"Tivantinib","Hs 578T","6","10","up regulation","4.59","ADAM10"
"Tivantinib","Hs 578T","6","10","up regulation","4.488","TIMM22"
"Tivantinib","MDA-MB-231","24","0.08","up regulation","4.384","LOXL1"
"Tivantinib","SK-BR-3","24","2","up regulation","4.357","EAPP"
"Tivantinib","Hs 578T","24","0.08","up regulation","4.187","PIK3R3"
