"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"GDC-0941","Hs 578T","6","0.08","up regulation","15.102","ADCK3"
"GDC-0941","MCF7","24","2","up regulation","13.94","MYLK"
"GDC-0941","MCF7","24","0.08","up regulation","13.906","KLHL21"
"GDC-0941","MCF7","24","2","up regulation","13.884","ADO"
"GDC-0941","MCF7","24","2","up regulation","13.005","ACLY"
"GDC-0941","MCF7","24","2","up regulation","12.659","KIF5C"
"GDC-0941","MCF7","24","2","up regulation","12.585","ADCK3"
"GDC-0941","MCF7","24","2","up regulation","12.551","GNAI1"
"GDC-0941","MCF7","24","2","up regulation","12.212","NR3C1"
"GDC-0941","MCF7","24","2","up regulation","11.171","MAP7"
"GDC-0941","MCF7","24","2","up regulation","11.038","ADRB2"
"GDC-0941","A549","6","10","up regulation","10.914","E2F2"
"GDC-0941","MCF7","24","2","up regulation","10.72","DDX10"
"GDC-0941","MCF7","24","2","up regulation","10.592","ADAM10"
"GDC-0941","MCF7","24","2","up regulation","10.356","SNAP25"
"GDC-0941","MCF7","24","2","up regulation","9.837","CXCL2"
"GDC-0941","MCF7","24","0.08","up regulation","9.408","SUV39H1"
"GDC-0941","SK-BR-3","6","0.08","up regulation","9.326","CASP2"
"GDC-0941","MCF7","24","2","up regulation","9.319","LYN"
"GDC-0941","Hs 578T","24","0.4","up regulation","9.313","CHP"
"GDC-0941","MCF7","24","2","up regulation","9.229","RGS2"
"GDC-0941","BT-20","24","10","up regulation","8.976","NOS3"
"GDC-0941","Hs 578T","6","10","up regulation","8.933","CXCL2"
"GDC-0941","BT-20","24","10","up regulation","8.75","FOXO4"
"GDC-0941","MCF7","24","0.08","up regulation","8.717","EPHA3"
"GDC-0941","MCF7","24","2","up regulation","8.511","PKIG"
"GDC-0941","Hs 578T","6","10","up regulation","8.463","USP6NL"
"GDC-0941","MCF7","24","2","up regulation","8.323","CD97"
"GDC-0941","SK-BR-3","6","0.08","up regulation","8.191","ADRB2"
"GDC-0941","MCF7","24","10","up regulation","8.139","ADCK3"
"GDC-0941","MCF7","24","2","up regulation","8.11","SUV39H1"
"GDC-0941","MCF7","24","2","up regulation","8.088","CHMP6"
"GDC-0941","MCF7","24","10","up regulation","8.036","TGFBR2"
"GDC-0941","MCF7","24","2","up regulation","7.964","PEX11A"
"GDC-0941","BT-20","6","10","up regulation","7.961","PEX11A"
"GDC-0941","HT-29","6","10","up regulation","7.957","SORBS3"
"GDC-0941","MCF7","24","2","up regulation","7.933","FAS"
"GDC-0941","BT-20","24","10","up regulation","7.802","ERBB3"
"GDC-0941","MCF7","24","2","up regulation","7.748","BAD"
"GDC-0941","BT-20","6","10","up regulation","7.707","ERBB3"
"GDC-0941","BT-20","6","10","up regulation","7.66","KIF5C"
"GDC-0941","A549","6","10","up regulation","7.658","MYLK"
"GDC-0941","MCF7","24","10","up regulation","7.625","BCL2"
"GDC-0941","Hs 578T","6","10","up regulation","7.42","CDK6"
"GDC-0941","MCF7","24","2","up regulation","7.346","IKZF1"
"GDC-0941","MDA-MB-231","24","2","up regulation","7.342","PRKCH"
"GDC-0941","MCF7","24","2","up regulation","7.27","SSBP2"
"GDC-0941","MCF7","24","2","up regulation","7.18","SLC1A4"
"GDC-0941","MCF7","24","2","up regulation","7.041","TGFBR2"
"GDC-0941","MCF7","24","2","up regulation","7.013","CFLAR"
"GDC-0941","MCF7","24","2","up regulation","6.947","AGL"
"GDC-0941","MCF7","24","10","up regulation","6.935","EPHB2"
"GDC-0941","SK-BR-3","24","10","up regulation","6.848","WDR7"
"GDC-0941","SK-BR-3","24","10","up regulation","6.75","HOXA5"
"GDC-0941","BT-20","24","2","up regulation","6.73","KIF5C"
"GDC-0941","BT-20","24","2","up regulation","6.63","NOS3"
"GDC-0941","MCF7","6","10","up regulation","6.606","ADCK3"
"GDC-0941","MCF7","24","10","up regulation","6.605","PAK1"
"GDC-0941","A549","6","10","up regulation","6.596","GPER"
"GDC-0941","MCF7","24","2","up regulation","6.575","SGCB"
"GDC-0941","BT-20","24","2","up regulation","6.562","FOXO4"
"GDC-0941","BT-20","6","2","up regulation","6.533","TLR4"
"GDC-0941","PC-3","6","10","up regulation","6.474","IKZF1"
"GDC-0941","HT-29","6","10","up regulation","6.416","TIAM1"
"GDC-0941","BT-20","24","10","up regulation","6.342","SATB1"
"GDC-0941","BT-20","24","0.4","up regulation","6.341","PTGS2"
"GDC-0941","BT-20","24","10","up regulation","6.283","CYTH1"
"GDC-0941","MCF7","24","2","up regulation","6.235","FOXO4"
"GDC-0941","BT-20","6","10","up regulation","6.234","FOXO4"
"GDC-0941","MCF7","24","2","up regulation","6.219","MSRA"
"GDC-0941","SK-BR-3","24","0.4","up regulation","6.174","IKZF1"
"GDC-0941","HT-29","6","10","up regulation","6.127","ERBB3"
"GDC-0941","PC-3","6","10","up regulation","6.126","RAC2"
"GDC-0941","SK-BR-3","24","0.4","up regulation","6.115","ADO"
"GDC-0941","BT-20","24","2","up regulation","6.1","ERBB3"
"GDC-0941","Hs 578T","24","10","up regulation","6.099","LYN"
"GDC-0941","MDA-MB-231","24","2","up regulation","6.018","PEX11A"
"GDC-0941","BT-20","24","2","up regulation","6.017","CYTH1"
"GDC-0941","PC-3","24","10","up regulation","5.928","CLIC4"
"GDC-0941","SK-BR-3","6","0.08","up regulation","5.924","PAK1"
"GDC-0941","PC-3","24","10","up regulation","5.918","NOS3"
"GDC-0941","PC-3","24","10","up regulation","5.913","TLR4"
"GDC-0941","BT-20","6","2","up regulation","5.903","ERBB3"
"GDC-0941","MCF7","24","2","up regulation","5.876","SYNGR3"
"GDC-0941","SK-BR-3","24","0.4","up regulation","5.864","SIRT3"
"GDC-0941","MCF7","24","2","up regulation","5.854","EDEM1"
"GDC-0941","SK-BR-3","6","2","up regulation","5.841","IDE"
"GDC-0941","MCF7","24","2","up regulation","5.811","MAP2K5"
"GDC-0941","SK-BR-3","6","2","up regulation","5.788","CNOT4"
"GDC-0941","BT-20","6","10","up regulation","5.782","KLHDC2"
"GDC-0941","MCF7","24","2","up regulation","5.749","PNKP"
"GDC-0941","Hs 578T","24","10","up regulation","5.733","IDE"
"GDC-0941","MDA-MB-231","24","10","up regulation","5.712","USP6NL"
"GDC-0941","MCF7","24","0.08","up regulation","5.71","TGFBR2"
"GDC-0941","PC-3","24","10","up regulation","5.706","STX1A"
"GDC-0941","MCF7","24","2","up regulation","5.69","KDM5A"
"GDC-0941","PC-3","6","10","up regulation","5.685","HDGFRP3"
"GDC-0941","BT-20","24","10","up regulation","5.648","ARID5B"
"GDC-0941","PC-3","6","10","up regulation","5.648","FAM63A"
"GDC-0941","Hs 578T","24","0.4","up regulation","5.616","ZNF586"
"GDC-0941","VCaP","24","10","up regulation","5.614","RAC2"
"GDC-0941","HT-29","6","10","up regulation","5.612","ST3GAL5"
"GDC-0941","A-375","6","10","up regulation","5.566","C2CD2"
"GDC-0941","MCF7","6","2","up regulation","5.563","ADCK3"
"GDC-0941","MCF7","24","2","up regulation","5.538","STK10"
"GDC-0941","PC-3","6","10","up regulation","5.536","ERBB3"
"GDC-0941","PC-3","6","10","up regulation","5.514","KLHDC2"
"GDC-0941","HT-29","6","10","up regulation","5.48","ERBB3"
"GDC-0941","BT-20","24","10","up regulation","5.475","CCL2"
"GDC-0941","MCF7","24","2","up regulation","5.436","CNOT4"
"GDC-0941","SK-BR-3","6","0.08","up regulation","5.436","GPATCH8"
"GDC-0941","MCF7","24","2","up regulation","5.431","PTGS2"
"GDC-0941","MCF7","24","2","up regulation","5.421","C2CD2"
"GDC-0941","MCF7","24","0.08","up regulation","5.415","CLPX"
"GDC-0941","BT-20","24","10","up regulation","5.399","GDPD5"
"GDC-0941","BT-20","6","2","up regulation","5.371","FOXO4"
"GDC-0941","MCF7","6","10","up regulation","5.348","MCOLN1"
"GDC-0941","MCF7","24","10","up regulation","5.321","KIF5C"
"GDC-0941","SK-BR-3","6","10","up regulation","5.314","NFATC3"
"GDC-0941","SK-BR-3","24","10","up regulation","5.308","GATA3"
"GDC-0941","BT-20","6","10","up regulation","5.285","BTK"
"GDC-0941","MDA-MB-231","24","2","up regulation","5.233","CASP2"
"GDC-0941","SK-BR-3","6","2","up regulation","5.227","SRC"
"GDC-0941","SK-BR-3","24","10","up regulation","5.22","KIF5C"
"GDC-0941","Hs 578T","24","0.4","up regulation","5.195","CCP110"
"GDC-0941","PC-3","6","10","up regulation","5.193","KLHDC2"
"GDC-0941","MCF7","24","10","up regulation","5.176","FOXO4"
"GDC-0941","SK-BR-3","24","2","up regulation","5.142","ADRB2"
"GDC-0941","MCF7","6","10","up regulation","5.129","ADCK3"
"GDC-0941","MCF7","24","2","up regulation","5.116","ST3GAL5"
"GDC-0941","MDA-MB-231","24","10","up regulation","5.106","VAV3"
"GDC-0941","HT-29","6","10","up regulation","5.105","FOXO4"
"GDC-0941","PC-3","6","10","up regulation","5.08","FBXO11"
"GDC-0941","MCF7","24","10","up regulation","5.067","KLHL21"
"GDC-0941","BT-20","6","2","up regulation","5.06","KLHDC2"
"GDC-0941","MCF7","24","2","up regulation","5.054","DAXX"
"GDC-0941","A549","24","10","up regulation","5.051","IGF2BP2"
"GDC-0941","MDA-MB-231","24","10","up regulation","5.049","ME2"
"GDC-0941","BT-20","6","2","up regulation","5.034","SPAG4"
"GDC-0941","BT-20","24","10","up regulation","5.018","KLHL21"
"GDC-0941","A549","6","10","up regulation","5.015","SLC37A4"
"GDC-0941","MDA-MB-231","24","10","up regulation","4.999","CNOT4"
"GDC-0941","MCF7","6","2","up regulation","4.979","ADAM10"
"GDC-0941","BT-20","6","2","up regulation","4.968","MCOLN1"
"GDC-0941","MCF7","24","10","up regulation","4.965","MCOLN1"
"GDC-0941","MCF7","24","2","up regulation","4.953","WDR7"
"GDC-0941","BT-20","6","10","up regulation","4.95","MBNL2"
"GDC-0941","MDA-MB-231","24","10","up regulation","4.925","PRKCH"
"GDC-0941","PC-3","24","10","up regulation","4.917","PRSS23"
"GDC-0941","BT-20","6","2","up regulation","4.903","BTK"
"GDC-0941","MCF7","24","2","up regulation","4.897","KCTD5"
"GDC-0941","VCaP","24","10","up regulation","4.84","ADCK3"
"GDC-0941","BT-20","24","10","up regulation","4.823","WDTC1"
"GDC-0941","PC-3","6","10","up regulation","4.79","ERBB3"
"GDC-0941","HT-29","6","10","up regulation","4.763","GNB5"
"GDC-0941","BT-20","6","2","up regulation","4.747","PIP4K2B"
"GDC-0941","BT-20","24","2","up regulation","4.743","WDTC1"
"GDC-0941","MCF7","24","2","up regulation","4.733","CXCR4"
"GDC-0941","SK-BR-3","6","2","up regulation","4.733","MSRA"
"GDC-0941","BT-20","6","2","up regulation","4.723","VAV3"
"GDC-0941","BT-20","24","10","up regulation","4.718","ARL4C"
"GDC-0941","MCF7","6","2","up regulation","4.718","TGFBR2"
"GDC-0941","Hs 578T","6","2","up regulation","4.693","FOXO4"
"GDC-0941","BT-20","24","10","up regulation","4.689","AKAP8L"
"GDC-0941","BT-20","6","10","up regulation","4.671","CEBPD"
"GDC-0941","PC-3","6","10","up regulation","4.645","AMDHD2"
"GDC-0941","MCF7","24","10","up regulation","4.639","FOXO4"
"GDC-0941","MCF7","24","10","up regulation","4.635","CHP"
"GDC-0941","A549","24","10","up regulation","4.618","SLC1A4"
"GDC-0941","MCF7","24","10","up regulation","4.616","CNOT4"
"GDC-0941","PC-3","6","10","up regulation","4.61","IGF1R"
"GDC-0941","HT-29","6","10","up regulation","4.599","MCOLN1"
"GDC-0941","BT-20","24","10","up regulation","4.591","GAA"
"GDC-0941","SK-BR-3","24","0.4","up regulation","4.578","KIAA1033"
"GDC-0941","MCF7","24","2","up regulation","4.559","POLD4"
"GDC-0941","MCF7","24","2","up regulation","4.543","VAV3"
"GDC-0941","BT-20","24","10","up regulation","4.539","KLHDC2"
"GDC-0941","PC-3","6","10","up regulation","4.533","MVP"
"GDC-0941","PC-3","24","10","up regulation","4.509","PTGS2"
"GDC-0941","PC-3","6","10","up regulation","4.498","SNAP25"
"GDC-0941","MCF7","24","2","up regulation","4.479","SOCS2"
"GDC-0941","Hs 578T","24","10","up regulation","4.476","FOXO4"
"GDC-0941","MDA-MB-231","6","2","up regulation","4.473","SATB1"
"GDC-0941","BT-20","24","10","up regulation","4.472","HSD17B11"
"GDC-0941","MCF7","6","0.08","up regulation","4.455","HSD17B11"
"GDC-0941","BT-20","6","10","up regulation","4.45","CHP"
"GDC-0941","MCF7","6","2","up regulation","4.44","KIF5C"
"GDC-0941","A549","24","10","up regulation","4.421","DENND2D"
"GDC-0941","BT-20","24","10","up regulation","4.42","SOX4"
"GDC-0941","MCF7","6","10","up regulation","4.413","TGFBR2"
"GDC-0941","MCF7","24","2","up regulation","4.406","SHC1"
"GDC-0941","HT-29","6","10","up regulation","4.401","GNB5"
"GDC-0941","MCF7","6","10","up regulation","4.386","FBXO11"
"GDC-0941","VCaP","6","10","up regulation","4.372","ME2"
"GDC-0941","MDA-MB-231","6","0.08","up regulation","4.367","AGL"
"GDC-0941","HT-29","6","10","up regulation","4.363","FOXO4"
"GDC-0941","HT-29","6","10","up regulation","4.359","ADAM10"
"GDC-0941","BT-20","6","2","up regulation","4.354","SYNE2"
"GDC-0941","BT-20","6","10","up regulation","4.342","WDTC1"
"GDC-0941","HT-29","6","10","up regulation","4.329","SLC1A4"
"GDC-0941","BT-20","24","2","up regulation","4.323","SATB1"
"GDC-0941","BT-20","24","10","up regulation","4.307","LRP10"
"GDC-0941","BT-20","6","2","up regulation","4.299","MBNL2"
"GDC-0941","Hs 578T","24","0.4","up regulation","4.297","ME2"
"GDC-0941","MCF7","24","0.08","up regulation","4.281","NOTCH1"
"GDC-0941","VCaP","6","10","up regulation","4.264","PAK6"
"GDC-0941","MCF7","24","10","up regulation","4.255","VPS28"
"GDC-0941","MDA-MB-231","6","0.08","up regulation","4.239","SESN1"
"GDC-0941","SK-BR-3","24","2","up regulation","4.235","FSD1"
"GDC-0941","BT-20","24","10","up regulation","4.232","ADCK3"
"GDC-0941","PC-3","6","10","up regulation","4.211","MSRA"
"GDC-0941","BT-20","6","10","up regulation","4.207","MELK"
"GDC-0941","MDA-MB-231","24","10","up regulation","4.195","CASP2"
"GDC-0941","Hs 578T","24","10","up regulation","4.19","HDAC6"
"GDC-0941","BT-20","24","10","up regulation","4.183","RALGDS"
"GDC-0941","BT-20","24","2","up regulation","4.178","GDPD5"
"GDC-0941","MCF7","24","10","up regulation","4.177","SORBS3"
"GDC-0941","BT-20","6","2","up regulation","4.166","CRELD2"
"GDC-0941","BT-20","24","0.4","up regulation","4.164","ME2"
"GDC-0941","BT-20","24","10","up regulation","4.158","SYNE2"
"GDC-0941","MDA-MB-231","6","0.08","up regulation","4.147","CASP2"
"GDC-0941","MCF7","24","2","up regulation","4.125","PSMB8"
"GDC-0941","PC-3","24","10","up regulation","4.112","ADAM10"
"GDC-0941","MDA-MB-231","6","0.08","up regulation","4.097","RAB11FIP2"
"GDC-0941","Hep G2","6","10","up regulation","4.072","PAK6"
"GDC-0941","MCF7","24","10","up regulation","4.053","ST6GALNAC2"
"GDC-0941","SK-BR-3","6","2","up regulation","4.034","PRKCQ"
"GDC-0941","VCaP","24","10","up regulation","4.033","PRKCH"
"GDC-0941","BT-20","24","10","up regulation","4.018","CSNK2A2"
"GDC-0941","BT-20","24","10","up regulation","4.004","SPP1"
"GDC-0941","BT-20","24","10","up regulation","4.004","VPS28"
"GDC-0941","SK-BR-3","6","2","up regulation","4.004","TGFBR2"
"GDC-0941","SK-BR-3","24","2","up regulation","4","SRC"
"GDC-0941","HT-29","6","10","up regulation","4","UBQLN2"
"GDC-0941","Hs 578T","6","10","up regulation","3.994","GNB5"
"GDC-0941","MCF7","6","10","up regulation","3.983","HSD17B11"
"GDC-0941","BT-20","6","10","up regulation","3.973","SATB1"
"GDC-0941","MCF7","6","2","up regulation","3.968","HLA-DMA"
"GDC-0941","HT-29","6","10","up regulation","3.965","WDTC1"
"GDC-0941","HT-29","6","10","up regulation","3.963","IGF1R"
"GDC-0941","Hep G2","6","10","up regulation","3.955","STXBP1"
"GDC-0941","SK-BR-3","6","0.4","up regulation","3.948","LPAR2"
"GDC-0941","BT-20","24","10","up regulation","3.945","TRAK2"
"GDC-0941","HT-29","6","10","up regulation","3.917","HSD17B11"
"GDC-0941","PC-3","6","10","up regulation","3.915","CCDC92"
"GDC-0941","A549","24","10","up regulation","3.913","CDK19"
"GDC-0941","PC-3","6","10","up regulation","3.912","DUSP4"
"GDC-0941","VCaP","24","10","up regulation","3.903","KLHL21"
"GDC-0941","VCaP","6","10","up regulation","3.886","PROS1"
"GDC-0941","A-375","6","10","up regulation","3.884","KLHDC2"
"GDC-0941","BT-20","24","2","up regulation","3.882","HSD17B11"
"GDC-0941","MCF7","24","10","up regulation","3.88","HERC6"
"GDC-0941","MDA-MB-231","24","2","up regulation","3.87","ANKRD10"
"GDC-0941","BT-20","24","10","up regulation","3.867","PHF15"
"GDC-0941","HT-29","6","10","up regulation","3.856","NARFL"
"GDC-0941","SK-BR-3","6","0.4","up regulation","3.851","CHEK2"
"GDC-0941","BT-20","6","10","up regulation","3.849","FAM63A"
"GDC-0941","BT-20","24","10","up regulation","3.846","GSTZ1"
"GDC-0941","BT-20","24","10","up regulation","3.843","KDM5B"
"GDC-0941","HT-29","6","10","up regulation","3.843","BNIP3L"
"GDC-0941","PC-3","24","10","up regulation","3.836","ST6GALNAC2"
"GDC-0941","Hs 578T","6","10","up regulation","3.823","FOXO4"
"GDC-0941","BT-20","24","2","up regulation","3.818","KLHDC2"
"GDC-0941","HT-29","6","10","up regulation","3.817","IGF1R"
"GDC-0941","BT-20","24","10","up regulation","3.804","PTGS2"
"GDC-0941","VCaP","24","10","up regulation","3.803","IKZF1"
"GDC-0941","BT-20","24","10","up regulation","3.803","CEP57"
"GDC-0941","MCF7","24","0.08","up regulation","3.803","FOXO4"
"GDC-0941","BT-20","6","10","up regulation","3.8","VAV3"
"GDC-0941","MCF7","6","0.4","up regulation","3.799","PAX8"
"GDC-0941","SK-BR-3","6","0.4","up regulation","3.798","CNOT4"
"GDC-0941","BT-20","24","10","up regulation","3.796","CBLB"
"GDC-0941","HT-29","6","10","up regulation","3.783","GDPD5"
"GDC-0941","HT-29","6","10","up regulation","3.782","ABHD6"
"GDC-0941","BT-20","24","10","up regulation","3.77","CEBPD"
"GDC-0941","A-375","6","10","up regulation","3.769","CD97"
"GDC-0941","PC-3","6","10","up regulation","3.765","CYTH1"
"GDC-0941","VCaP","24","10","up regulation","3.762","RASA1"
"GDC-0941","BT-20","24","10","up regulation","3.759","CAST"
"GDC-0941","HT-29","6","10","up regulation","3.755","CCDC92"
"GDC-0941","A549","24","10","up regulation","3.754","SYNGR3"
"GDC-0941","MDA-MB-231","24","2","up regulation","3.752","FGFR4"
"GDC-0941","BT-20","6","2","up regulation","3.742","SATB1"
"GDC-0941","MCF7","6","10","up regulation","3.739","INSIG1"
"GDC-0941","MCF7","6","10","up regulation","3.736","MAP7"
"GDC-0941","SK-BR-3","6","2","up regulation","3.733","DYRK3"
"GDC-0941","MDA-MB-231","24","10","up regulation","3.732","LOXL1"
"GDC-0941","MDA-MB-231","24","10","up regulation","3.732","SQRDL"
"GDC-0941","VCaP","6","10","up regulation","3.729","MYLK"
"GDC-0941","HT-29","6","10","up regulation","3.716","PAN2"
"GDC-0941","MCF7","6","10","up regulation","3.714","EAPP"
