"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"AZD8055","NCI-H2073","6","10","up regulation","24.958","E2F2"
"AZD8055","SK-BR-3","6","10","up regulation","21.426","SLC25A14"
"AZD8055","WSU-DLCL2","6","10","up regulation","17.213","C2CD2"
"AZD8055","MDST8","6","10","up regulation","15.619","SFN"
"AZD8055","AGS","6","10","up regulation","15.275","ADRB2"
"AZD8055","MCF7","24","0.4","up regulation","15.208","AGL"
"AZD8055","U-937","6","10","up regulation","15.061","FHL2"
"AZD8055","MCF7","24","10","up regulation","14.524","ADO"
"AZD8055","NCI-H2073","6","10","up regulation","13.64","MAMLD1"
"AZD8055","A673","6","10","up regulation","13.527","SPP1"
"AZD8055","NCI-H2073","6","10","up regulation","13.039","DHDDS"
"AZD8055","Hs 578T","6","2","up regulation","11.75","E2F2"
"AZD8055","WSU-DLCL2","6","10","up regulation","11.535","PPARD"
"AZD8055","A673","6","10","up regulation","11.499","FAM63A"
"AZD8055","THP-1","6","10","up regulation","11.38","FKBP14"
"AZD8055","BT-20","6","0.4","up regulation","11.178","MYLK"
"AZD8055","Hep G2","6","10","up regulation","11.112","INPP4B"
"AZD8055","MCF7","24","10","up regulation","10.893","CHMP6"
"AZD8055","NCI-H596","6","10","up regulation","10.859","KLHL21"
"AZD8055","SK-BR-3","6","10","up regulation","10.764","CTNNAL1"
"AZD8055","MDA-MB-231","24","2","up regulation","10.722","MAP7"
"AZD8055","PC-3","24","10","up regulation","10.647","PRSS23"
"AZD8055","SK-BR-3","6","10","up regulation","10.539","ICAM1"
"AZD8055","MCF7","24","0.4","up regulation","10.394","MAP7"
"AZD8055","NCI-H596","6","10","up regulation","10.279","ST3GAL5"
"AZD8055","SK-BR-3","6","10","up regulation","10.264","KIF5C"
"AZD8055","BT-20","6","10","up regulation","10.118","MAMLD1"
"AZD8055","HCC-15","6","10","up regulation","9.827","INPP4B"
"AZD8055","HT-29","24","10","up regulation","9.782","E2F2"
"AZD8055","MCF7","24","0.08","up regulation","9.77","CFLAR"
"AZD8055","A-375","24","10","up regulation","9.734","LAMA3"
"AZD8055","EFO-27","6","10","up regulation","9.671","HLA-DMA"
"AZD8055","MCF7","24","10","up regulation","9.622","PAK1"
"AZD8055","TYK-nu","6","10","up regulation","9.487","CD97"
"AZD8055","SK-BR-3","6","10","up regulation","9.393","PRKCH"
"AZD8055","Hep G2","6","10","up regulation","9.331","CDH3"
"AZD8055","SK-BR-3","6","10","up regulation","9.278","INPP4B"
"AZD8055","A673","6","10","up regulation","9.237","TCTA"
"AZD8055","NCI-H596","6","10","up regulation","9.225","C2CD2"
"AZD8055","SK-BR-3","6","10","up regulation","9.202","GATA3"
"AZD8055","Hs 578T","24","2","up regulation","9.19","MEF2C"
"AZD8055","Hs 578T","24","10","up regulation","9.167","NFKBIB"
"AZD8055","SK-BR-3","6","10","up regulation","9.167","SPP1"
"AZD8055","A549","6","10","up regulation","9.151","MAMLD1"
"AZD8055","MCF7","24","0.4","up regulation","9.142","PAK1"
"AZD8055","SW620","6","10","up regulation","9.015","KIF5C"
"AZD8055","MCF7","24","10","up regulation","8.806","PEX11A"
"AZD8055","MCF7","24","10","up regulation","8.772","KLHL21"
"AZD8055","THP-1","6","10","up regulation","8.759","ADRB2"
"AZD8055","SK-BR-3","6","10","up regulation","8.733","IDE"
"AZD8055","SW-948","6","10","up regulation","8.731","MCOLN1"
"AZD8055","AGS","6","10","up regulation","8.725","IKBKE"
"AZD8055","NCI-H2073","6","10","up regulation","8.647","MCOLN1"
"AZD8055","NCI-H596","6","10","up regulation","8.632","GPATCH8"
"AZD8055","A673","6","10","up regulation","8.625","CDH3"
"AZD8055","SK-BR-3","6","10","up regulation","8.575","SESN1"
"AZD8055","SK-BR-3","6","10","up regulation","8.572","PAK1"
"AZD8055","Hs 578T","24","10","up regulation","8.546","CLPX"
"AZD8055","A549","24","10","up regulation","8.53","TIAM1"
"AZD8055","MCF7","24","0.4","up regulation","8.459","PEX11A"
"AZD8055","AGS","6","10","up regulation","8.357","FBXO11"
"AZD8055","A673","6","10","up regulation","8.345","FBXO11"
"AZD8055","AGS","6","10","up regulation","8.269","GPATCH8"
"AZD8055","THP-1","6","10","up regulation","8.192","ST3GAL5"
"AZD8055","BT-20","24","10","up regulation","8.186","NOS3"
"AZD8055","SK-BR-3","6","10","up regulation","8.143","CERK"
"AZD8055","MDA-MB-231","6","2","up regulation","7.847","GNAI1"
"AZD8055","SK-BR-3","6","10","up regulation","7.786","MEF2C"
"AZD8055","BT-20","6","10","up regulation","7.751","MLLT11"
"AZD8055","COR-L23","6","10","up regulation","7.71","PNKP"
"AZD8055","MCF7","24","10","up regulation","7.662","NFATC3"
"AZD8055","BT-20","6","0.08","up regulation","7.652","ST3GAL5"
