"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Olaparib","A-375","6","44.4","up regulation","19.573","C2CD2"
"Olaparib","AGS","6","44.4","up regulation","18.7","SPP1"
"Olaparib","SK-MEL-1","6","44.4","up regulation","15.356","CDK6"
"Olaparib","AGS","6","44.4","up regulation","15.297","IKZF1"
"Olaparib","SK-MEL-1","6","44.4","up regulation","14.972","MAMLD1"
"Olaparib","A-375","24","44.4","up regulation","14.776","PAK1"
"Olaparib","MCF7","24","0.4","up regulation","14.695","MYLK"
"Olaparib","NCI-H2073","6","44.4","up regulation","12.86","MAMLD1"
"Olaparib","LoVo","6","44.4","up regulation","12.716","ST3GAL5"
"Olaparib","AGS","6","44.4","up regulation","11.581","VAV3"
"Olaparib","SW-948","6","44.4","up regulation","11.506","MAMLD1"
"Olaparib","SW-948","6","44.4","up regulation","11.195","NR3C1"
"Olaparib","U-937","6","44.4","up regulation","10.963","PAK1"
"Olaparib","MCF7","24","0.4","up regulation","10.643","ADO"
"Olaparib","A673","6","44.4","up regulation","10.616","DNAJC15"
"Olaparib","SW-948","6","44.4","up regulation","9.726","ADAM10"
"Olaparib","NCI-H2073","6","44.4","up regulation","9.68","FBXO11"
"Olaparib","NCI-H2073","6","44.4","up regulation","9.224","ADAM10"
"Olaparib","NCI-H596","6","44.4","up regulation","9.13","GATA3"
"Olaparib","MCF7","6","10","up regulation","9.109","KLHL21"
"Olaparib","HT-29","24","44.4","up regulation","9.071","IKZF1"
"Olaparib","AGS","6","44.4","up regulation","8.808","CHEK2"
"Olaparib","A673","6","44.4","up regulation","8.756","VAV3"
"Olaparib","SK-MEL-1","6","44.4","up regulation","8.681","KDM5B"
"Olaparib","NCI-H2073","6","44.4","up regulation","8.651","RPP38"
"Olaparib","LoVo","6","44.4","up regulation","8.617","ME2"
"Olaparib","HT-29","24","44.4","up regulation","8.373","PAK6"
"Olaparib","NCI-H596","6","44.4","up regulation","8.341","LYN"
"Olaparib","A673","6","44.4","up regulation","8.285","METRN"
"Olaparib","A673","6","44.4","up regulation","8.281","GPR56"
"Olaparib","SNG-M","6","44.4","up regulation","8.081","CHP"
"Olaparib","LoVo","6","44.4","up regulation","8.027","UBQLN2"
"Olaparib","MDA-MB-231","6","0.08","up regulation","8.027","SPP1"
"Olaparib","BT-20","6","10","up regulation","7.994","ADO"
"Olaparib","NCI-H596","6","44.4","up regulation","7.902","CDK6"
"Olaparib","HT-29","24","44.4","up regulation","7.89","PEX11A"
"Olaparib","Hep G2","6","44.4","up regulation","7.804","KIF5C"
"Olaparib","AGS","6","44.4","up regulation","7.792","CASP2"
"Olaparib","MCF7","24","44.4","up regulation","7.624","C2CD2"
"Olaparib","NCI-H596","6","44.4","up regulation","7.528","EGF"
"Olaparib","SK-BR-3","6","10","up regulation","7.498","FBXO11"
"Olaparib","A-375","6","44.4","up regulation","7.423","SESN1"
"Olaparib","A-375","24","44.4","up regulation","7.344","SESN1"
"Olaparib","MCF7","24","0.4","up regulation","7.321","GRB10"
"Olaparib","MDA-MB-231","6","10","up regulation","7.303","VAV3"
"Olaparib","AGS","6","44.4","up regulation","7.259","CXCL2"
"Olaparib","SK-MEL-1","6","44.4","up regulation","7.225","LAGE3"
"Olaparib","A673","6","44.4","up regulation","7.208","SYNGR3"
"Olaparib","Hs 578T","6","2","up regulation","7.172","CASP2"
"Olaparib","SW620","6","44.4","up regulation","7.052","MCOLN1"
"Olaparib","SK-BR-3","6","10","up regulation","7.033","EPHB2"
"Olaparib","SW-948","6","44.4","up regulation","6.98","HDGFRP3"
"Olaparib","U-937","6","44.4","up regulation","6.937","CDK6"
"Olaparib","THP-1","6","44.4","up regulation","6.735","FSD1"
"Olaparib","NCI-H596","6","44.4","up regulation","6.662","FAM63A"
"Olaparib","VCaP","24","10","up regulation","6.628","TLR4"
"Olaparib","NCI-H2073","6","44.4","up regulation","6.536","SESN1"
"Olaparib","NCI-H596","6","44.4","up regulation","6.487","HES1"
"Olaparib","A673","6","44.4","up regulation","6.468","GSTZ1"
"Olaparib","MCF7","6","10","up regulation","6.408","CASP2"
"Olaparib","NCI-H2073","6","44.4","up regulation","6.406","MCOLN1"
"Olaparib","U-937","6","44.4","up regulation","6.393","TLE1"
"Olaparib","NCI-H2073","6","44.4","up regulation","6.325","TLR4"
"Olaparib","SW-948","6","44.4","up regulation","6.282","MAP7"
"Olaparib","VCaP","6","0.4","up regulation","6.237","SPTAN1"
"Olaparib","HT-29","24","44.4","up regulation","6.164","ADRB2"
"Olaparib","NCI-H596","6","44.4","up regulation","6.047","RBKS"
"Olaparib","NCI-H596","6","44.4","up regulation","6.013","DENND2D"
"Olaparib","NCI-H596","6","44.4","up regulation","6.009","VGLL4"
"Olaparib","AGS","6","44.4","up regulation","5.991","RRS1"
"Olaparib","MDA-MB-231","6","10","up regulation","5.987","CYTH1"
"Olaparib","LoVo","6","44.4","up regulation","5.961","BHLHE40"
"Olaparib","A549","6","44.4","up regulation","5.932","E2F2"
"Olaparib","A-375","24","44.4","up regulation","5.814","RRP8"
"Olaparib","AGS","6","44.4","up regulation","5.786","ADO"
"Olaparib","NCI-H596","6","44.4","up regulation","5.745","IKBKB"
"Olaparib","MCF7","6","10","up regulation","5.736","SORBS3"
"Olaparib","SNG-M","6","44.4","up regulation","5.61","CNOT4"
"Olaparib","PC-3","24","44.4","up regulation","5.597","SESN1"
"Olaparib","A-375","6","44.4","up regulation","5.567","EAPP"
"Olaparib","NCI-H2073","6","44.4","up regulation","5.523","PLCB3"
"Olaparib","NCI-H596","6","44.4","up regulation","5.483","ME2"
"Olaparib","BT-20","6","10","up regulation","5.461","LYN"
