"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Enzalutamide","A673","6","0.25","up regulation","17.659","CDK6"
"Enzalutamide","A673","6","0.25","up regulation","15.263","ADRB2"
"Enzalutamide","HT-29","24","0.25","up regulation","14.094","SPP1"
"Enzalutamide","HT-29","24","0.25","up regulation","11.106","SLC25A14"
"Enzalutamide","NCI-H596","6","0.25","up regulation","10.865","C2CD2"
"Enzalutamide","NCI-H596","6","0.25","up regulation","9.755","CTTN"
"Enzalutamide","SW-948","6","0.25","up regulation","9.018","TSPAN6"
"Enzalutamide","A673","6","0.25","up regulation","8.711","SRC"
"Enzalutamide","A-375","24","0.25","up regulation","8.412","MAMLD1"
"Enzalutamide","HCT 116","6","0.25","up regulation","7.964","SIRT3"
"Enzalutamide","VCaP","24","0.4","up regulation","7.238","PROS1"
"Enzalutamide","VCaP","6","0.4","up regulation","7.136","PKIG"
"Enzalutamide","A673","6","0.25","up regulation","7.033","HLA-DMA"
"Enzalutamide","A-375","24","0.25","up regulation","7.017","PAK1"
"Enzalutamide","HCT 116","6","0.25","up regulation","6.997","CASP2"
"Enzalutamide","NCI-H596","6","0.25","up regulation","6.924","KLHL21"
"Enzalutamide","NCI-H596","6","0.25","up regulation","6.72","INTS3"
"Enzalutamide","A-375","24","0.25","up regulation","6.607","LOXL1"
"Enzalutamide","VCaP","24","0.4","up regulation","6.573","SPTLC2"
"Enzalutamide","MCF7","24","0.25","up regulation","6.55","IKZF1"
"Enzalutamide","SW620","6","0.25","up regulation","6.535","DHDDS"
"Enzalutamide","A673","6","0.25","up regulation","6.357","CBLB"
"Enzalutamide","PC-3","6","0.25","up regulation","6.317","USP6NL"
"Enzalutamide","PC-3","6","0.25","up regulation","6.266","FBXO11"
"Enzalutamide","MCF7","24","0.25","up regulation","6.073","MAMLD1"
"Enzalutamide","NCI-H596","6","0.25","up regulation","5.957","ABHD6"
"Enzalutamide","NCI-H596","6","0.25","up regulation","5.942","IDE"
"Enzalutamide","PC-3","6","0.25","up regulation","5.726","ABL1"
"Enzalutamide","VCaP","6","0.4","up regulation","5.485","PRKCQ"
"Enzalutamide","SW620","6","0.25","up regulation","5.423","CBR3"
"Enzalutamide","SW620","6","0.25","up regulation","5.416","TSPAN6"
"Enzalutamide","VCaP","24","2","up regulation","5.391","TSC22D3"
"Enzalutamide","HCT 116","6","0.25","up regulation","5.198","ADRB2"
"Enzalutamide","VCaP","6","0.4","up regulation","5.172","SPTLC2"
"Enzalutamide","A673","6","0.25","up regulation","5.122","PLEKHJ1"
"Enzalutamide","SW620","6","0.25","up regulation","4.907","HERC6"
"Enzalutamide","PC-3","6","0.25","up regulation","4.888","MAPK13"
"Enzalutamide","VCaP","24","10","up regulation","4.856","RAB27A"
"Enzalutamide","MCF7","24","0.25","up regulation","4.559","SNAP25"
"Enzalutamide","MCF7","24","0.25","up regulation","4.536","MEF2C"
"Enzalutamide","SW620","6","0.25","up regulation","4.524","SESN1"
"Enzalutamide","NCI-H596","6","0.25","up regulation","4.523","SGCB"
"Enzalutamide","VCaP","24","2","up regulation","4.489","HLA-DMA"
"Enzalutamide","NCI-H596","6","0.25","up regulation","4.387","TBXA2R"
"Enzalutamide","VCaP","24","10","up regulation","4.355","NFATC3"
"Enzalutamide","HCT 116","6","0.25","up regulation","4.352","KIT"
"Enzalutamide","MCF7","24","0.25","up regulation","4.348","NARFL"
"Enzalutamide","VCaP","24","10","up regulation","4.32","TSC22D3"
"Enzalutamide","MCF7","24","0.25","up regulation","4.262","ADCK3"
"Enzalutamide","VCaP","24","10","up regulation","4.211","RGS2"
"Enzalutamide","A-375","24","0.25","up regulation","4.21","SLC25A14"
"Enzalutamide","VCaP","24","10","up regulation","4.127","BAMBI"
"Enzalutamide","VCaP","24","10","up regulation","4.107","TIMM22"
"Enzalutamide","VCaP","24","10","up regulation","4.075","SATB1"
"Enzalutamide","NCI-H596","6","0.25","up regulation","4.07","ME2"
"Enzalutamide","VCaP","6","0.4","up regulation","4.035","PROS1"
"Enzalutamide","A673","6","0.25","up regulation","3.95","MICALL1"
"Enzalutamide","VCaP","24","2","up regulation","3.924","FZD7"
"Enzalutamide","VCaP","24","2","up regulation","3.903","PIP4K2B"
"Enzalutamide","VCaP","24","2","up regulation","3.902","KIT"
"Enzalutamide","A673","6","0.25","up regulation","3.87","SYNGR3"
"Enzalutamide","PC-3","6","0.25","up regulation","3.855","IL4R"
"Enzalutamide","SW-948","6","0.25","up regulation","3.833","MAMLD1"
"Enzalutamide","VCaP","6","0.4","up regulation","3.795","TICAM1"
"Enzalutamide","HCT 116","6","0.25","up regulation","3.784","ZNF589"
"Enzalutamide","HCT 116","6","0.25","up regulation","3.768","PHKG2"
"Enzalutamide","SW620","6","0.25","up regulation","3.742","CXCL2"
"Enzalutamide","MCF7","24","0.25","up regulation","3.729","TLR4"
"Enzalutamide","VCaP","24","2","up regulation","3.718","IGF2BP2"
"Enzalutamide","PC-3","6","0.25","up regulation","3.672","PLS1"
"Enzalutamide","SW620","6","0.25","up regulation","3.661","CGRRF1"
"Enzalutamide","VCaP","24","10","up regulation","3.622","ALDOC"
"Enzalutamide","VCaP","24","2","up regulation","3.617","EGF"
"Enzalutamide","PC-3","6","0.25","up regulation","3.603","FSD1"
"Enzalutamide","MCF7","24","0.25","up regulation","3.596","FBXO11"
"Enzalutamide","HT-29","24","0.25","up regulation","3.582","GPATCH8"
"Enzalutamide","HT-29","24","0.25","up regulation","3.573","METRN"
"Enzalutamide","VCaP","24","2","up regulation","3.57","CHEK1"
"Enzalutamide","VCaP","24","2","up regulation","3.556","RPL39L"
"Enzalutamide","HT-29","24","0.25","up regulation","3.514","KIAA0753"
"Enzalutamide","VCaP","6","0.4","up regulation","3.508","EPHB2"
"Enzalutamide","A673","6","0.25","up regulation","3.493","DHRS7"
"Enzalutamide","A673","6","0.25","up regulation","3.49","DYRK3"
"Enzalutamide","PC-3","6","0.25","up regulation","3.481","UBQLN2"
"Enzalutamide","HT-29","24","0.25","up regulation","3.474","SORBS3"
"Enzalutamide","SW-948","6","0.25","up regulation","3.472","MAST2"
"Enzalutamide","SW620","6","0.25","up regulation","3.46","SCP2"
"Enzalutamide","A673","6","0.25","up regulation","3.431","TBXA2R"
"Enzalutamide","SW620","6","0.25","up regulation","3.418","MAP7"
"Enzalutamide","SW620","6","0.25","up regulation","3.415","GATA2"
"Enzalutamide","NCI-H596","6","0.25","up regulation","3.407","SLC1A4"
"Enzalutamide","A673","6","0.25","up regulation","3.335","RRP8"
"Enzalutamide","A-375","24","0.25","up regulation","3.327","RRP8"
"Enzalutamide","SW620","6","0.25","up regulation","3.314","NFKBIB"
"Enzalutamide","NCI-H596","6","0.25","up regulation","3.283","SESN1"
"Enzalutamide","VCaP","24","10","up regulation","3.281","RELB"
"Enzalutamide","HCT 116","6","0.25","up regulation","3.278","FEZ2"
"Enzalutamide","NCI-H596","6","0.25","up regulation","3.236","CXCL2"
"Enzalutamide","A-375","24","0.25","up regulation","3.175","PRR15L"
"Enzalutamide","A-375","24","0.25","up regulation","3.158","SNAP25"
"Enzalutamide","VCaP","24","10","up regulation","3.157","CBLB"
"Enzalutamide","VCaP","24","10","up regulation","3.155","TBX2"
"Enzalutamide","SW-948","6","0.25","up regulation","3.154","RPA2"
"Enzalutamide","MCF7","24","0.25","up regulation","3.142","HOXA10"
"Enzalutamide","SW-948","6","0.25","up regulation","3.138","MAP7"
"Enzalutamide","SW-948","6","0.25","up regulation","3.135","MOK"
"Enzalutamide","HCT 116","6","0.25","up regulation","3.128","NMT1"
"Enzalutamide","A673","6","0.25","up regulation","3.094","HIF1A"
"Enzalutamide","MCF7","24","0.25","up regulation","3.091","CNPY3"
"Enzalutamide","A673","6","0.25","up regulation","3.073","MAN2B1"
"Enzalutamide","A-375","24","0.25","up regulation","3.04","FBXO11"
"Enzalutamide","A673","6","0.25","up regulation","3.02","TPM1"
"Enzalutamide","SW-948","6","0.25","up regulation","3.004","METRN"
"Enzalutamide","A673","6","0.25","up regulation","3.001","PDIA5"
"Enzalutamide","MCF7","24","0.25","up regulation","2.952","ABHD6"
"Enzalutamide","MCF7","24","0.25","up regulation","2.925","PRKCH"
"Enzalutamide","VCaP","24","10","up regulation","2.914","SOX4"
"Enzalutamide","SW-948","6","0.25","up regulation","2.894","PTGS2"
"Enzalutamide","NCI-H596","6","0.25","up regulation","2.885","TJP1"
"Enzalutamide","VCaP","24","10","up regulation","2.88","MCOLN1"
"Enzalutamide","SW-948","6","0.25","up regulation","2.88","RPL39L"
"Enzalutamide","VCaP","24","0.4","up regulation","2.867","NOS3"
"Enzalutamide","VCaP","24","10","up regulation","2.865","BAG3"
"Enzalutamide","SW-948","6","0.25","up regulation","2.861","STX1A"
"Enzalutamide","A673","6","0.25","up regulation","2.838","CD58"
"Enzalutamide","VCaP","24","10","up regulation","2.836","ABHD6"
"Enzalutamide","HT-29","24","0.25","up regulation","2.814","CHP"
"Enzalutamide","VCaP","24","10","up regulation","2.807","SMAD3"
"Enzalutamide","PC-3","6","0.25","up regulation","2.792","FAIM"
"Enzalutamide","VCaP","24","2","up regulation","2.774","HMGA2"
"Enzalutamide","VCaP","24","0.4","up regulation","2.771","CLPX"
"Enzalutamide","VCaP","24","0.4","up regulation","2.765","PRPF4"
"Enzalutamide","VCaP","24","10","up regulation","2.756","CTSL1"
"Enzalutamide","SW-948","6","0.25","up regulation","2.749","LOXL1"
"Enzalutamide","VCaP","24","10","up regulation","2.747","CDK6"
"Enzalutamide","SW-948","6","0.25","up regulation","2.74","GADD45B"
"Enzalutamide","VCaP","24","10","up regulation","2.727","LGALS8"
"Enzalutamide","VCaP","24","0.4","up regulation","2.711","YKT6"
"Enzalutamide","HCT 116","6","0.25","up regulation","2.697","PIK3CA"
"Enzalutamide","VCaP","24","10","up regulation","2.693","COL1A1"
