"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Enzastaurin","Hs 578T","24","0.08","up regulation","16.208","MAP7"
"Enzastaurin","VCaP","24","10","up regulation","13.707","RGS2"
"Enzastaurin","MCF7","24","2","up regulation","12.962","PAK1"
"Enzastaurin","BT-20","24","0.4","up regulation","11.617","MAMLD1"
"Enzastaurin","MCF7","24","2","up regulation","11.406","AGL"
"Enzastaurin","BT-20","6","0.4","up regulation","11.12","CXCL2"
"Enzastaurin","SK-BR-3","6","2","up regulation","10.736","TGFBR2"
"Enzastaurin","A549","6","10","up regulation","10.357","NR3C1"
"Enzastaurin","A549","6","10","up regulation","9.962","CHEK2"
"Enzastaurin","BT-20","6","2","up regulation","9.95","SGCB"
"Enzastaurin","MCF7","24","2","up regulation","9.943","PIP4K2B"
"Enzastaurin","BT-20","6","10","up regulation","9.914","PAK1"
"Enzastaurin","SK-BR-3","6","2","up regulation","9.791","SLC25A14"
"Enzastaurin","Hs 578T","6","10","up regulation","9.553","STAT5B"
"Enzastaurin","SK-BR-3","24","0.08","up regulation","9.499","STK10"
"Enzastaurin","HT-29","6","10","up regulation","9.315","MCOLN1"
"Enzastaurin","Hep G2","6","10","up regulation","8.947","PAK6"
"Enzastaurin","BT-20","24","0.08","up regulation","8.633","NR3C1"
"Enzastaurin","BT-20","6","10","up regulation","8.333","CXCL2"
"Enzastaurin","HT-29","6","10","up regulation","8.119","GRB10"
"Enzastaurin","MDA-MB-231","24","10","up regulation","8.063","PAK1"
"Enzastaurin","BT-20","24","10","up regulation","7.924","SNAP25"
"Enzastaurin","VCaP","24","10","up regulation","7.85","PRSS23"
"Enzastaurin","PC-3","6","10","up regulation","7.843","MAMLD1"
"Enzastaurin","Hs 578T","6","10","up regulation","7.842","PLS1"
"Enzastaurin","A-375","6","10","up regulation","7.732","PEX11A"
"Enzastaurin","HT-29","6","10","up regulation","7.393","MCOLN1"
"Enzastaurin","BT-20","24","10","up regulation","7.32","MLLT11"
"Enzastaurin","MDA-MB-231","6","10","up regulation","7.231","BTK"
"Enzastaurin","Hs 578T","24","0.08","up regulation","7.221","ADO"
"Enzastaurin","BT-20","24","10","up regulation","7.167","PAK1"
"Enzastaurin","HT-29","6","10","up regulation","7.155","CDCA4"
"Enzastaurin","BT-20","24","10","up regulation","7.028","IKBKE"
"Enzastaurin","HT-29","6","10","up regulation","7.017","GNAI1"
"Enzastaurin","Hs 578T","6","10","up regulation","6.987","PAK1"
"Enzastaurin","SK-BR-3","24","0.4","up regulation","6.935","FBXO11"
"Enzastaurin","HT-29","6","10","up regulation","6.729","ADAM10"
"Enzastaurin","VCaP","24","10","up regulation","6.688","SLC1A4"
"Enzastaurin","Hs 578T","24","10","up regulation","6.683","ADO"
