"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"paclitaxel","MCF7","6","0.0046","up regulation","14.912","CDK6"
"paclitaxel","MCF7","6","0.0046","up regulation","9.414","KLHL21"
"paclitaxel","A549","6","3.3333","up regulation","8.303","CHP"
"paclitaxel","HT-29","6","10","up regulation","8.144","E2F2"
"paclitaxel","HT-29","6","10","up regulation","7.155","EAPP"
"paclitaxel","A549","6","0.1235","up regulation","6.183","EPHB2"
"paclitaxel","HT-29","6","10","up regulation","5.99","TIAM1"
"paclitaxel","PC-3","24","10","up regulation","5.92","CXCL2"
"paclitaxel","MCF7","6","0.0046","up regulation","5.841","SORBS3"
"paclitaxel","A549","6","0.0137","up regulation","5.488","GPATCH8"
"paclitaxel","MCF7","24","10","up regulation","5.238","TUBB6"
"paclitaxel","PC-3","24","10","up regulation","5.235","USP7"
"paclitaxel","HT-29","6","10","up regulation","4.981","C2CD2"
"paclitaxel","PC-3","24","10","up regulation","4.947","HIST1H2BK"
"paclitaxel","A549","6","0.0137","up regulation","4.921","KLHL21"
"paclitaxel","HT-29","6","10","up regulation","4.902","IDE"
"paclitaxel","MCF7","24","10","up regulation","4.834","C2CD2"
"paclitaxel","A549","6","3.3333","up regulation","4.728","FAS"
"paclitaxel","MCF7","24","10","up regulation","4.676","AKAP8L"
"paclitaxel","HT-29","6","10","up regulation","4.66","CHMP6"
"paclitaxel","A549","6","10","up regulation","4.554","E2F2"
"paclitaxel","HT-29","6","10","up regulation","4.552","RAB31"
"paclitaxel","MCF7","24","10","up regulation","4.502","HSD17B11"
"paclitaxel","MCF7","24","10","up regulation","4.38","KIT"
"paclitaxel","MCF7","24","10","up regulation","4.372","HIST2H2BE"
"paclitaxel","A549","6","0.1235","up regulation","4.364","USP6NL"
"paclitaxel","A549","6","3.3333","up regulation","4.329","MCOLN1"
"paclitaxel","A549","6","3.3333","up regulation","4.305","KLHL21"
"paclitaxel","A549","6","0.1235","up regulation","4.291","CYTH1"
"paclitaxel","A549","6","0.0137","up regulation","4.195","CDK6"
"paclitaxel","A549","6","0.1235","up regulation","4.161","FZD7"
"paclitaxel","A549","6","10","up regulation","4.152","EPHB2"
"paclitaxel","HT-29","6","10","up regulation","4.099","ABHD4"
"paclitaxel","A549","24","10","up regulation","4.084","NFATC3"
"paclitaxel","A549","24","10","up regulation","4.023","RELB"
"paclitaxel","PC-3","24","10","up regulation","4.004","NUCB2"
"paclitaxel","MCF7","24","10","up regulation","3.967","KIF20A"
