"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"MK2206","COR-L23","6","10","up regulation","22.343","SLC1A4"
"MK2206","A673","6","10","up regulation","20.568","MYLK"
"MK2206","LoVo","6","10","up regulation","18.629","NR3C1"
"MK2206","AGS","6","10","up regulation","18.501","SPP1"
"MK2206","AGS","6","10","up regulation","17.436","ADRB2"
"MK2206","NCI-H596","6","10","up regulation","17.175","MAPK13"
"MK2206","A-375","6","10","up regulation","16.249","GATA3"
"MK2206","Hs 578T","6","10","up regulation","15.9","ADCK3"
"MK2206","AGS","6","10","up regulation","15.764","KIF5C"
"MK2206","U-937","6","10","up regulation","15.26","GATA2"
"MK2206","WSU-DLCL2","6","10","up regulation","15.153","LOXL1"
"MK2206","U-937","6","10","up regulation","14.714","HES1"
"MK2206","NCI-H596","6","10","up regulation","13.493","HDGFRP3"
"MK2206","THP-1","6","10","up regulation","13.192","TGFBR2"
"MK2206","LoVo","6","10","up regulation","13.105","ST3GAL5"
"MK2206","EFO-27","6","10","up regulation","12.802","SLC25A14"
"MK2206","EFO-27","6","10","up regulation","12.763","ST3GAL5"
"MK2206","SK-BR-3","24","0.4","up regulation","12.194","MYLK"
"MK2206","MCF7","24","10","up regulation","12.052","MYLK"
"MK2206","THP-1","6","10","up regulation","11.976","PPARG"
"MK2206","EFO-27","6","10","up regulation","11.841","MYLK"
"MK2206","AGS","6","10","up regulation","11.691","FBXO11"
"MK2206","A-375","24","10","up regulation","11.683","INSIG1"
"MK2206","THP-1","6","10","up regulation","11.631","SLC25A14"
"MK2206","VCaP","6","10","up regulation","11.471","INPP4B"
"MK2206","BT-20","6","10","up regulation","11.411","SUV39H1"
"MK2206","A673","6","10","up regulation","11.16","CDK6"
"MK2206","A673","6","10","up regulation","10.868","SRC"
"MK2206","WSU-DLCL2","6","10","up regulation","10.715","TCTN1"
"MK2206","A673","6","10","up regulation","10.67","CNOT4"
"MK2206","A-375","24","10","up regulation","10.401","HMGCS1"
"MK2206","NCI-H596","6","10","up regulation","10.4","INPP4B"
"MK2206","WSU-DLCL2","6","10","up regulation","10.33","SPP1"
"MK2206","BT-20","6","10","up regulation","10.111","EPHB2"
"MK2206","SK-BR-3","24","2","up regulation","9.935","CASP2"
"MK2206","BT-20","6","2","up regulation","9.794","E2F2"
"MK2206","EFO-27","6","10","up regulation","9.741","STK10"
"MK2206","Hs 578T","24","10","up regulation","9.707","IKZF1"
"MK2206","SK-BR-3","6","10","up regulation","9.467","MYLK"
"MK2206","MCF7","24","10","up regulation","9.448","KLHL21"
"MK2206","BT-20","24","10","up regulation","9.424","NOS3"
"MK2206","WSU-DLCL2","6","10","up regulation","9.407","EPHB2"
"MK2206","THP-1","6","10","up regulation","9.28","SYNE2"
"MK2206","DV-90","6","10","up regulation","8.961","SLC25A14"
"MK2206","MDST8","6","10","up regulation","8.862","SQRDL"
"MK2206","HT-29","6","10","up regulation","8.833","TIAM1"
"MK2206","HCC-15","6","10","up regulation","8.721","MAMLD1"
"MK2206","WSU-DLCL2","6","10","up regulation","8.575","MYO10"
"MK2206","THP-1","6","10","up regulation","8.475","ST6GALNAC2"
"MK2206","MDST8","6","10","up regulation","8.433","ABCC5"
"MK2206","EFO-27","6","10","up regulation","8.395","ME2"
"MK2206","SK-BR-3","24","2","up regulation","8.324","STK10"
"MK2206","AGS","6","10","up regulation","8.165","C2CD2"
"MK2206","DV-90","6","10","up regulation","8.11","VAV3"
"MK2206","BT-20","24","2","up regulation","8.096","CD320"
"MK2206","NCI-H596","6","10","up regulation","7.989","CHEK2"
"MK2206","BT-20","6","2","up regulation","7.967","USP7"
"MK2206","NCI-H1836","6","10","up regulation","7.95","EDEM1"
"MK2206","AGS","6","10","up regulation","7.868","EGR1"
"MK2206","NCI-H1836","6","10","up regulation","7.741","MAP7"
"MK2206","HT-29","24","10","up regulation","7.69","GNB5"
"MK2206","AGS","6","10","up regulation","7.678","MLLT11"
"MK2206","MCF7","24","10","up regulation","7.665","SPP1"
"MK2206","BT-20","6","10","up regulation","7.662","ADCK3"
"MK2206","MCF7","6","10","up regulation","7.661","ADCK3"
"MK2206","A673","6","10","up regulation","7.639","CBLB"
"MK2206","AGS","6","10","up regulation","7.625","SYNGR3"
"MK2206","AGS","6","10","up regulation","7.547","EVL"
"MK2206","WSU-DLCL2","6","10","up regulation","7.423","CXCR4"
"MK2206","A-375","6","10","up regulation","7.358","SPP1"
"MK2206","A673","6","10","up regulation","7.316","GFOD1"
"MK2206","WSU-DLCL2","6","10","up regulation","7.267","PEX11A"
"MK2206","MCF7","24","10","up regulation","7.256","CD97"
"MK2206","AGS","6","10","up regulation","7.256","NFATC3"
"MK2206","A673","6","10","up regulation","7.253","INSIG1"
"MK2206","BT-20","6","10","up regulation","7.209","SATB1"
"MK2206","SK-BR-3","6","10","up regulation","7.195","PAK1"
"MK2206","MCF7","24","10","up regulation","7.171","ADAM10"
"MK2206","PC-3","6","10","up regulation","7.135","PRKCQ"
"MK2206","AGS","6","10","up regulation","7.131","FAM63A"
"MK2206","Hep G2","6","10","up regulation","7.128","ST7"
"MK2206","DV-90","6","10","up regulation","7.114","TMEM110"
"MK2206","BT-20","6","10","up regulation","7.104","ERBB3"
"MK2206","A-375","24","10","up regulation","7.049","HMGCR"
"MK2206","WSU-DLCL2","6","10","up regulation","7.042","BHLHE40"
"MK2206","THP-1","6","10","up regulation","7.042","HES1"
"MK2206","AGS","6","10","up regulation","7.033","RAB27A"
"MK2206","MCF7","24","10","up regulation","7.026","HOXA10"
"MK2206","MCF7","24","10","up regulation","7.021","UBQLN2"
"MK2206","BT-20","24","10","up regulation","7.006","ERBB3"
"MK2206","A673","6","10","up regulation","7.006","HMGCR"
"MK2206","BT-20","24","2","up regulation","6.948","PHKG2"
"MK2206","MCF7","24","10","up regulation","6.944","CCNA1"
"MK2206","A673","6","10","up regulation","6.937","P4HA2"
"MK2206","MDST8","6","10","up regulation","6.936","TGFBR2"
"MK2206","WSU-DLCL2","6","10","up regulation","6.807","GNAI1"
"MK2206","AGS","6","10","up regulation","6.784","INSIG1"
"MK2206","WSU-DLCL2","6","10","up regulation","6.673","PACSIN3"
"MK2206","BT-20","6","10","up regulation","6.648","RFX5"
"MK2206","BT-20","6","10","up regulation","6.632","NR3C1"
"MK2206","U-937","6","10","up regulation","6.587","OXCT1"
"MK2206","BT-20","24","10","up regulation","6.546","FOXO4"
"MK2206","WSU-DLCL2","6","10","up regulation","6.535","CYB561"
"MK2206","NCI-H596","6","10","up regulation","6.521","FBXO11"
"MK2206","MCF7","24","10","up regulation","6.487","ADCK3"
"MK2206","SNG-M","6","10","up regulation","6.464","KLHL21"
"MK2206","DV-90","6","10","up regulation","6.457","ICAM3"
"MK2206","NCI-H596","6","10","up regulation","6.441","SNX11"
"MK2206","BT-20","6","2","up regulation","6.441","RRS1"
"MK2206","A-375","6","10","up regulation","6.381","INSIG1"
"MK2206","MCF7","6","10","up regulation","6.348","CD320"
"MK2206","MDA-MB-231","24","10","up regulation","6.323","FKBP14"
"MK2206","MDA-MB-231","24","10","up regulation","6.319","SNAP25"
"MK2206","SK-BR-3","6","10","up regulation","6.313","STAT5B"
"MK2206","LoVo","6","10","up regulation","6.281","LAGE3"
"MK2206","WSU-DLCL2","6","10","up regulation","6.255","PRKCQ"
"MK2206","A-375","24","10","up regulation","6.136","FDFT1"
"MK2206","A549","6","10","up regulation","6.136","INSIG1"
"MK2206","A-375","6","10","up regulation","6.102","PEX11A"
"MK2206","Hs 578T","24","10","up regulation","6.083","KDM5A"
"MK2206","WSU-DLCL2","6","10","up regulation","6.058","NCOA3"
"MK2206","WSU-DLCL2","6","10","up regulation","6.043","C2CD2"
"MK2206","AGS","6","10","up regulation","6.043","RAB11FIP2"
"MK2206","MCF7","6","10","up regulation","6.021","MCOLN1"
"MK2206","WSU-DLCL2","6","10","up regulation","6.018","ALDH7A1"
"MK2206","SW-948","6","10","up regulation","6.011","ERBB3"
