"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"doxorubicin","A-375","6","10","up regulation","17.59","VAV3"
"doxorubicin","A549","24","10","up regulation","16.956","FOXO4"
"doxorubicin","A-375","6","10","up regulation","16.679","SLC25A14"
"doxorubicin","MCF7","6","10","up regulation","15.295","PIP4K2B"
"doxorubicin","A-375","6","10","up regulation","13.826","CCL2"
"doxorubicin","A549","6","1.11","up regulation","13.821","SESN1"
"doxorubicin","A-375","6","10","up regulation","13.707","SESN1"
"doxorubicin","A-375","6","10","up regulation","13.677","ICAM1"
"doxorubicin","A-375","6","10","up regulation","13.431","NFKB2"
"doxorubicin","A549","24","10","up regulation","13.115","CXCR4"
"doxorubicin","PC-3","24","10","up regulation","13.001","PIK3R3"
"doxorubicin","PC-3","24","10","up regulation","12.875","TMEM2"
"doxorubicin","PC-3","24","10","up regulation","12.871","CXCR4"
"doxorubicin","PC-3","6","10","up regulation","12.313","PLSCR1"
"doxorubicin","A549","24","10","up regulation","12.068","CDK5R1"
"doxorubicin","PC-3","24","10","up regulation","11.873","PROS1"
"doxorubicin","PC-3","24","10","up regulation","11.74","FZD7"
"doxorubicin","PC-3","24","10","up regulation","11.593","APOE"
"doxorubicin","A549","6","0.3704","up regulation","11.226","NOTCH1"
"doxorubicin","A-375","6","10","up regulation","11.21","PLCB3"
"doxorubicin","PC-3","24","10","up regulation","10.998","DMTF1"
"doxorubicin","A-375","6","10","up regulation","10.994","KDM5B"
"doxorubicin","A549","6","0.3704","up regulation","10.879","SESN1"
"doxorubicin","PC-3","24","10","up regulation","10.715","DENND2D"
"doxorubicin","A-375","6","10","up regulation","10.676","ID2"
"doxorubicin","A549","6","10","up regulation","10.631","APPBP2"
"doxorubicin","PC-3","24","10","up regulation","10.608","FOXO4"
"doxorubicin","A549","6","3.33","up regulation","10.224","IKZF1"
"doxorubicin","A549","6","1.11","up regulation","10.196","CDKN1A"
"doxorubicin","A-375","6","10","up regulation","10.017","RELB"
"doxorubicin","A549","6","10","up regulation","9.965","IKZF1"
"doxorubicin","A-375","6","10","up regulation","9.883","SATB1"
"doxorubicin","PC-3","24","10","up regulation","9.818","ACLY"
"doxorubicin","PC-3","24","10","up regulation","9.801","UBE3B"
"doxorubicin","PC-3","24","10","up regulation","9.799","NRAS"
"doxorubicin","A549","6","3.33","up regulation","9.743","SESN1"
"doxorubicin","A-375","6","10","up regulation","9.734","MMP1"
"doxorubicin","PC-3","24","10","up regulation","9.69","C5"
"doxorubicin","A549","6","0.3704","up regulation","9.639","GATA3"
"doxorubicin","PC-3","24","10","up regulation","9.598","ANKRD10"
"doxorubicin","PC-3","24","10","up regulation","9.594","HS2ST1"
"doxorubicin","PC-3","24","10","up regulation","9.586","KDM5B"
"doxorubicin","PC-3","24","10","up regulation","9.572","ID2"
"doxorubicin","PC-3","24","10","up regulation","9.545","RSU1"
"doxorubicin","PC-3","24","10","up regulation","9.502","TCTN1"
"doxorubicin","PC-3","24","10","up regulation","9.456","CXCR4"
"doxorubicin","PC-3","24","10","up regulation","9.413","OXCT1"
"doxorubicin","PC-3","24","10","up regulation","9.346","PRKCQ"
"doxorubicin","A549","6","3.33","up regulation","9.287","CDKN1A"
"doxorubicin","A549","6","10","up regulation","9.279","AGL"
"doxorubicin","PC-3","24","10","up regulation","9.206","RSU1"
"doxorubicin","A549","24","10","up regulation","9.184","FZD7"
"doxorubicin","A549","24","10","up regulation","9.153","ABCC5"
"doxorubicin","HT-29","6","10","up regulation","9.082","GADD45B"
"doxorubicin","A-375","6","10","up regulation","9.062","LSR"
"doxorubicin","A-375","6","10","up regulation","9.041","TBX2"
"doxorubicin","A-375","6","10","up regulation","9.005","GATA2"
"doxorubicin","A549","6","0.1234","up regulation","8.978","SESN1"
"doxorubicin","MCF7","24","10","up regulation","8.957","NCK1"
"doxorubicin","MCF7","6","10","up regulation","8.916","ST3GAL5"
"doxorubicin","PC-3","24","10","up regulation","8.905","PRAF2"
"doxorubicin","HT-29","6","10","up regulation","8.837","SQRDL"
"doxorubicin","A549","6","0.1234","up regulation","8.649","NR3C1"
"doxorubicin","A549","24","10","up regulation","8.619","MCOLN1"
"doxorubicin","Hep G2","6","10","up regulation","8.608","PIGB"
"doxorubicin","A549","6","10","up regulation","8.599","TLR4"
"doxorubicin","PC-3","24","10","up regulation","8.573","TCTN1"
"doxorubicin","A549","24","10","up regulation","8.566","TLR4"
"doxorubicin","A549","6","1.11","up regulation","8.556","CCDC92"
"doxorubicin","A549","6","3.33","up regulation","8.554","ADRB2"
"doxorubicin","PC-3","6","10","up regulation","8.541","WRB"
"doxorubicin","PC-3","24","10","up regulation","8.539","FAM20B"
"doxorubicin","A549","6","0.1234","up regulation","8.532","CDKN1A"
"doxorubicin","PC-3","24","10","up regulation","8.494","OXCT1"
"doxorubicin","A549","6","0.3704","up regulation","8.48","CDKN1A"
"doxorubicin","A-375","6","10","up regulation","8.44","BHLHE40"
"doxorubicin","PC-3","24","10","up regulation","8.415","RAB27A"
"doxorubicin","A549","24","10","up regulation","8.412","HOOK2"
"doxorubicin","PC-3","24","10","up regulation","8.377","CXCR4"
"doxorubicin","A549","6","10","up regulation","8.362","SLC25A14"
"doxorubicin","MCF7","6","10","up regulation","8.319","MALT1"
"doxorubicin","A-375","6","10","up regulation","8.315","FAM63A"
"doxorubicin","A-375","6","10","up regulation","8.277","STXBP2"
"doxorubicin","A549","6","10","up regulation","8.257","CAPN1"
"doxorubicin","PC-3","24","10","up regulation","8.203","KIT"
"doxorubicin","PC-3","24","10","up regulation","8.182","SYK"
"doxorubicin","A549","24","10","up regulation","8.167","GATA3"
"doxorubicin","MCF7","6","10","up regulation","8.148","LYN"
"doxorubicin","PC-3","24","10","up regulation","8.107","KIAA0907"
"doxorubicin","PC-3","24","10","up regulation","8.074","SSBP2"
"doxorubicin","A549","6","1.11","up regulation","8.037","FAS"
"doxorubicin","MCF7","6","10","up regulation","8.032","WDR7"
"doxorubicin","A549","24","10","up regulation","8.003","GATA2"
"doxorubicin","A549","6","0.3704","up regulation","7.976","FBXO11"
"doxorubicin","PC-3","24","10","up regulation","7.975","SNCA"
"doxorubicin","PC-3","6","10","up regulation","7.967","EGR1"
"doxorubicin","MCF7","6","10","up regulation","7.966","SATB1"
"doxorubicin","A-375","6","10","up regulation","7.938","PRKCQ"
"doxorubicin","A549","6","3.33","up regulation","7.915","CEBPA"
"doxorubicin","MCF7","24","10","up regulation","7.899","TLR4"
"doxorubicin","PC-3","24","10","up regulation","7.894","NFATC4"
"doxorubicin","PC-3","24","10","up regulation","7.877","APOE"
"doxorubicin","PC-3","24","10","up regulation","7.835","RAB31"
"doxorubicin","A-375","6","10","up regulation","7.825","ABHD6"
"doxorubicin","PC-3","24","10","up regulation","7.794","ATP6V0B"
"doxorubicin","A549","24","10","up regulation","7.777","KIF5C"
"doxorubicin","PC-3","24","10","up regulation","7.767","PLA2G15"
"doxorubicin","MCF7","24","10","up regulation","7.753","MCOLN1"
"doxorubicin","A-375","6","10","up regulation","7.746","FAS"
"doxorubicin","PC-3","24","10","up regulation","7.73","TERT"
"doxorubicin","MCF7","6","10","up regulation","7.727","SATB1"
"doxorubicin","MCF7","24","10","up regulation","7.727","IKBKB"
"doxorubicin","PC-3","24","10","up regulation","7.704","HADH"
"doxorubicin","PC-3","24","10","up regulation","7.703","FOS"
"doxorubicin","A-375","6","10","up regulation","7.643","GNAI1"
"doxorubicin","A-375","6","10","up regulation","7.632","PIK3R3"
"doxorubicin","PC-3","24","10","up regulation","7.629","VAV3"
"doxorubicin","A549","24","10","up regulation","7.601","APPBP2"
"doxorubicin","PC-3","24","10","up regulation","7.583","MEF2C"
"doxorubicin","PC-3","24","10","up regulation","7.541","DHX29"
"doxorubicin","PC-3","24","10","up regulation","7.52","ASAH1"
"doxorubicin","A-375","6","10","up regulation","7.41","TGFB3"
"doxorubicin","PC-3","24","10","up regulation","7.407","CRELD2"
"doxorubicin","PC-3","24","10","up regulation","7.399","CDK5R1"
"doxorubicin","PC-3","24","10","up regulation","7.387","BAMBI"
"doxorubicin","PC-3","24","10","up regulation","7.385","HIST2H2BE"
"doxorubicin","PC-3","24","10","up regulation","7.378","PRKCQ"
"doxorubicin","PC-3","24","10","up regulation","7.378","ARHGAP1"
"doxorubicin","A549","6","0.3704","up regulation","7.354","PRKX"
"doxorubicin","A549","6","1.11","up regulation","7.331","CEBPA"
"doxorubicin","PC-3","24","10","up regulation","7.316","HS2ST1"
"doxorubicin","A549","6","10","up regulation","7.298","SNAP25"
"doxorubicin","PC-3","24","10","up regulation","7.289","CHN1"
"doxorubicin","A549","6","1.11","up regulation","7.274","IDE"
"doxorubicin","PC-3","24","10","up regulation","7.254","PTPRC"
"doxorubicin","Hep G2","6","10","up regulation","7.238","PLS1"
"doxorubicin","PC-3","24","10","up regulation","7.236","PTK2B"
"doxorubicin","PC-3","24","10","up regulation","7.17","ADAT1"
"doxorubicin","PC-3","24","10","up regulation","7.155","TRAP1"
"doxorubicin","PC-3","24","10","up regulation","7.149","MBTPS1"
"doxorubicin","PC-3","24","10","up regulation","7.142","MCOLN1"
"doxorubicin","PC-3","24","10","up regulation","7.133","GPER"
"doxorubicin","VCaP","6","10","up regulation","7.122","ICAM1"
"doxorubicin","A-375","6","10","up regulation","7.103","MAPK13"
"doxorubicin","PC-3","24","10","up regulation","7.102","GLI2"
"doxorubicin","A549","6","1.11","up regulation","7.091","APPBP2"
"doxorubicin","A549","6","10","up regulation","7.08","PFKL"
"doxorubicin","PC-3","24","10","up regulation","7.077","SOX2"
"doxorubicin","PC-3","24","10","up regulation","7.074","PROS1"
"doxorubicin","A549","24","10","up regulation","7.049","LSR"
"doxorubicin","PC-3","24","10","up regulation","7.038","CCL2"
"doxorubicin","A-375","6","10","up regulation","7.028","BMP4"
"doxorubicin","MCF7","6","10","up regulation","7.026","KIF5C"
"doxorubicin","PC-3","24","10","up regulation","7.025","EGF"
"doxorubicin","A549","6","10","up regulation","6.989","CASP2"
"doxorubicin","A549","24","10","up regulation","6.972","ADO"
"doxorubicin","A549","24","10","up regulation","6.969","CEBPA"
"doxorubicin","PC-3","24","10","up regulation","6.947","ENOSF1"
"doxorubicin","MCF7","6","10","up regulation","6.941","FOXO4"
"doxorubicin","PC-3","24","10","up regulation","6.939","PTPRC"
"doxorubicin","PC-3","24","10","up regulation","6.935","APPBP2"
"doxorubicin","PC-3","6","10","up regulation","6.883","STXBP1"
"doxorubicin","PC-3","24","10","up regulation","6.84","HTRA1"
"doxorubicin","PC-3","24","10","up regulation","6.835","SOX2"
"doxorubicin","MCF7","6","10","up regulation","6.834","PTGS2"
"doxorubicin","PC-3","24","10","up regulation","6.827","CASP10"
"doxorubicin","A549","24","10","up regulation","6.819","KDM5B"
"doxorubicin","PC-3","24","10","up regulation","6.799","ARL4C"
"doxorubicin","PC-3","24","10","up regulation","6.785","NFKB2"
"doxorubicin","PC-3","24","10","up regulation","6.768","KIAA0355"
"doxorubicin","A549","6","3.33","up regulation","6.766","DNAJC15"
"doxorubicin","PC-3","24","10","up regulation","6.766","SCYL3"
"doxorubicin","PC-3","24","10","up regulation","6.763","ATP2C1"
"doxorubicin","A549","6","10","up regulation","6.755","MCOLN1"
"doxorubicin","PC-3","24","10","up regulation","6.752","ATP6V1D"
"doxorubicin","PC-3","24","10","up regulation","6.746","PRKCH"
"doxorubicin","PC-3","24","10","up regulation","6.741","LGMN"
"doxorubicin","A549","6","0.3704","up regulation","6.726","ETV1"
"doxorubicin","PC-3","24","10","up regulation","6.706","MYL9"
"doxorubicin","A549","6","3.33","up regulation","6.673","PMAIP1"
"doxorubicin","PC-3","24","10","up regulation","6.663","ST3GAL5"
"doxorubicin","A-375","6","10","up regulation","6.658","ACLY"
"doxorubicin","A549","6","1.11","up regulation","6.656","AKAP8L"
"doxorubicin","A-375","6","10","up regulation","6.649","IKBKE"
"doxorubicin","PC-3","24","10","up regulation","6.61","CERK"
"doxorubicin","HT-29","6","10","up regulation","6.608","CCP110"
"doxorubicin","PC-3","24","10","up regulation","6.59","TGFB3"
"doxorubicin","A-375","6","10","up regulation","6.573","APOE"
"doxorubicin","PC-3","24","10","up regulation","6.569","HIST2H2BE"
"doxorubicin","PC-3","24","10","up regulation","6.54","ITGAE"
"doxorubicin","PC-3","24","10","up regulation","6.536","MCOLN1"
"doxorubicin","A549","6","3.33","up regulation","6.532","PNKP"
"doxorubicin","A549","6","1.11","up regulation","6.494","ACAA1"
"doxorubicin","PC-3","24","10","up regulation","6.479","PPP2R3C"
"doxorubicin","PC-3","6","10","up regulation","6.475","ID2"
"doxorubicin","PC-3","24","10","up regulation","6.458","MSRA"
"doxorubicin","A549","6","1.11","up regulation","6.456","SPAG4"
"doxorubicin","PC-3","24","10","up regulation","6.452","GPC1"
"doxorubicin","PC-3","24","10","up regulation","6.452","RB1"
"doxorubicin","A549","6","1.11","up regulation","6.434","PRKX"
"doxorubicin","PC-3","24","10","up regulation","6.43","PRCP"
"doxorubicin","PC-3","24","10","up regulation","6.42","ENOSF1"
"doxorubicin","A549","6","3.33","up regulation","6.383","MEF2C"
"doxorubicin","A-375","6","10","up regulation","6.375","RAP1GAP"
"doxorubicin","PC-3","24","10","up regulation","6.359","SYK"
"doxorubicin","MCF7","6","10","up regulation","6.357","MEF2C"
"doxorubicin","A549","6","0.3704","up regulation","6.306","ICAM1"
"doxorubicin","PC-3","24","10","up regulation","6.303","PTPN1"
"doxorubicin","A-375","6","10","up regulation","6.277","GADD45B"
"doxorubicin","A-375","6","10","up regulation","6.269","CCDC92"
"doxorubicin","PC-3","24","10","up regulation","6.268","CDKN1A"
"doxorubicin","A549","24","10","up regulation","6.246","APOE"
"doxorubicin","A-375","6","10","up regulation","6.241","UBE3B"
"doxorubicin","PC-3","24","10","up regulation","6.233","CEBPA"
"doxorubicin","A-375","6","10","up regulation","6.23","NFKBIE"
"doxorubicin","A549","6","0.3704","up regulation","6.226","ADAT1"
"doxorubicin","PC-3","24","10","up regulation","6.224","SNCA"
"doxorubicin","PC-3","6","10","up regulation","6.21","ID2"
"doxorubicin","A549","6","0.1234","up regulation","6.178","MAPK13"
"doxorubicin","PC-3","24","10","up regulation","6.169","HLA-DRA"
"doxorubicin","PC-3","24","10","up regulation","6.161","SESN1"
"doxorubicin","PC-3","6","10","up regulation","6.159","E2F2"
"doxorubicin","A-375","6","10","up regulation","6.154","ALDOC"
"doxorubicin","PC-3","6","10","up regulation","6.153","APPBP2"
"doxorubicin","PC-3","24","10","up regulation","6.145","MYL9"
"doxorubicin","PC-3","24","10","up regulation","6.134","SSBP2"
"doxorubicin","PC-3","24","10","up regulation","6.133","GSTM2"
"doxorubicin","PC-3","24","10","up regulation","6.119","NENF"
"doxorubicin","A549","6","10","up regulation","6.114","CASK"
"doxorubicin","A549","6","3.33","up regulation","6.113","E2F2"
"doxorubicin","PC-3","6","10","up regulation","6.104","EPHA3"
"doxorubicin","MCF7","24","10","up regulation","6.102","EGF"
"doxorubicin","A549","6","10","up regulation","6.088","PPIC"
"doxorubicin","A-375","6","10","up regulation","6.072","GSTZ1"
"doxorubicin","PC-3","24","10","up regulation","6.068","ATG3"
"doxorubicin","PC-3","24","10","up regulation","6.062","ITFG1"
"doxorubicin","PC-3","6","10","up regulation","6.046","FAM63A"
"doxorubicin","A549","6","1.11","up regulation","6.028","FAM63A"
"doxorubicin","A-375","6","10","up regulation","6.017","ABHD4"
"doxorubicin","A-375","6","10","up regulation","6.013","IQGAP1"
"doxorubicin","A549","6","10","up regulation","6.005","P4HA2"
"doxorubicin","A549","6","10","up regulation","6","FOXO4"
"doxorubicin","A549","6","10","up regulation","5.996","NOTCH1"
"doxorubicin","A549","6","10","up regulation","5.994","HERC6"
"doxorubicin","A549","6","0.1234","up regulation","5.991","ADO"
"doxorubicin","VCaP","6","10","up regulation","5.965","SLC1A4"
"doxorubicin","MCF7","24","10","up regulation","5.956","GLI2"
"doxorubicin","MCF7","6","10","up regulation","5.937","EGF"
"doxorubicin","PC-3","24","10","up regulation","5.935","SATB1"
"doxorubicin","MCF7","24","10","up regulation","5.928","APOE"
"doxorubicin","A549","6","1.11","up regulation","5.928","GATA2"
"doxorubicin","PC-3","24","10","up regulation","5.924","ELOVL6"
"doxorubicin","A549","6","1.11","up regulation","5.921","EGF"
"doxorubicin","MCF7","6","10","up regulation","5.915","CDK6"
"doxorubicin","PC-3","24","10","up regulation","5.888","MMP1"
"doxorubicin","MCF7","24","10","up regulation","5.864","SYK"
"doxorubicin","PC-3","24","10","up regulation","5.849","PCK2"
"doxorubicin","A549","24","10","up regulation","5.849","GPER"
"doxorubicin","PC-3","24","10","up regulation","5.828","MBTPS1"
"doxorubicin","PC-3","24","10","up regulation","5.819","ME2"
"doxorubicin","A549","24","10","up regulation","5.818","C2CD2L"
"doxorubicin","VCaP","6","10","up regulation","5.808","CCL2"
"doxorubicin","A549","24","10","up regulation","5.808","PLA2G15"
"doxorubicin","PC-3","24","10","up regulation","5.808","MEF2C"
"doxorubicin","PC-3","24","10","up regulation","5.801","TP53"
"doxorubicin","MCF7","24","10","up regulation","5.799","MOK"
"doxorubicin","MCF7","24","10","up regulation","5.793","RSU1"
"doxorubicin","HT-29","6","10","up regulation","5.774","IKZF1"
"doxorubicin","PC-3","24","10","up regulation","5.766","PXMP2"
"doxorubicin","A549","6","0.3704","up regulation","5.761","ALDOC"
"doxorubicin","MCF7","24","10","up regulation","5.745","PRKCQ"
"doxorubicin","A-375","6","10","up regulation","5.731","TRAPPC6A"
"doxorubicin","PC-3","24","10","up regulation","5.725","GLI2"
"doxorubicin","HT-29","6","10","up regulation","5.713","APPBP2"
"doxorubicin","A-375","6","10","up regulation","5.711","E2F2"
"doxorubicin","MCF7","24","10","up regulation","5.703","CERK"
"doxorubicin","A549","6","0.3704","up regulation","5.697","GPATCH8"
"doxorubicin","A549","6","0.1234","up regulation","5.69","PRKCQ"
"doxorubicin","PC-3","24","10","up regulation","5.687","ITGAE"
"doxorubicin","A549","24","10","up regulation","5.672","PLOD3"
"doxorubicin","A549","6","0.3704","up regulation","5.667","PRKCQ"
"doxorubicin","PC-3","24","10","up regulation","5.653","NRAS"
"doxorubicin","A-375","6","10","up regulation","5.641","DDR1"
"doxorubicin","PC-3","24","10","up regulation","5.637","GNAI1"
"doxorubicin","A549","24","10","up regulation","5.618","DUSP6"
"doxorubicin","HT-29","6","10","up regulation","5.613","CTSL1"
"doxorubicin","PC-3","24","10","up regulation","5.613","FRS2"
"doxorubicin","A-375","6","10","up regulation","5.613","TNIP1"
"doxorubicin","A549","6","10","up regulation","5.61","CXCR4"
"doxorubicin","PC-3","24","10","up regulation","5.594","CDKN2A"
"doxorubicin","A-375","6","10","up regulation","5.585","PSMD10"
"doxorubicin","A549","6","0.3704","up regulation","5.563","MSRA"
"doxorubicin","PC-3","24","10","up regulation","5.558","CDK5R1"
"doxorubicin","PC-3","24","10","up regulation","5.552","ADAT1"
"doxorubicin","MCF7","24","10","up regulation","5.55","LGMN"
"doxorubicin","A-375","6","10","up regulation","5.543","SLC2A6"
"doxorubicin","A549","6","3.33","up regulation","5.54","FAS"
"doxorubicin","A549","6","1.11","up regulation","5.54","NOTCH1"
"doxorubicin","A-375","6","10","up regulation","5.508","DHX29"
"doxorubicin","A549","6","10","up regulation","5.505","SPAG4"
"doxorubicin","PC-3","24","10","up regulation","5.465","RAB31"
"doxorubicin","Hep G2","6","10","up regulation","5.445","IKBKB"
"doxorubicin","PC-3","24","10","up regulation","5.438","FAM63A"
"doxorubicin","A-375","6","10","up regulation","5.417","APPBP2"
"doxorubicin","PC-3","24","10","up regulation","5.402","YME1L1"
