"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"SN-38","COR-L23","6","0.35","up regulation","24.755","CCDC92"
"SN-38","COR-L23","6","0.35","up regulation","22.062","MCOLN1"
"SN-38","NOMO-1","6","0.35","up regulation","17.577","FKBP14"
"SN-38","NCI-H596","6","0.35","up regulation","16.15","EGR1"
"SN-38","AGS","6","0.35","up regulation","14.992","ME2"
"SN-38","A673","6","0.35","up regulation","14.724","RELB"
"SN-38","LoVo","6","0.35","up regulation","14.361","KIF5C"
"SN-38","AGS","6","0.35","up regulation","14.002","RPL39L"
"SN-38","U-937","6","0.35","up regulation","13.336","USP6NL"
"SN-38","A549","6","11.1","up regulation","12.748","SESN1"
"SN-38","A-375","6","0.35","up regulation","12.669","ICAM1"
"SN-38","NCI-H2073","6","0.35","up regulation","12.614","FZD7"
"SN-38","A-375","24","0.35","up regulation","12.32","SESN1"
"SN-38","SK-MEL-1","6","0.35","up regulation","12.259","LAMA3"
"SN-38","NCI-H596","6","0.35","up regulation","12.138","GADD45A"
"SN-38","MCF7","24","0.35","up regulation","12.073","SERPINE1"
"SN-38","A673","6","0.35","up regulation","12.057","EGR1"
"SN-38","PC-3","6","0.35","up regulation","11.928","FBXO11"
"SN-38","A-375","24","0.35","up regulation","11.502","NFATC3"
"SN-38","A549","6","1.2333","up regulation","11.072","SESN1"
"SN-38","NCI-H2073","6","0.35","up regulation","10.871","ST6GALNAC2"
"SN-38","A-375","6","0.35","up regulation","10.85","SESN1"
"SN-38","A-375","6","0.35","up regulation","10.612","PTGS2"
"SN-38","A549","6","3.7","up regulation","10.512","SESN1"
"SN-38","LoVo","6","0.35","up regulation","10.402","SESN1"
"SN-38","A549","6","0.35","up regulation","10.063","SESN1"
"SN-38","NCI-H2073","6","0.35","up regulation","10.055","SESN1"
"SN-38","MCF7","24","0.35","up regulation","10.004","INPP1"
"SN-38","VCaP","6","0.35","up regulation","9.975","ALDOC"
"SN-38","AGS","6","0.35","up regulation","9.972","ST3GAL5"
"SN-38","MCF7","6","0.35","up regulation","9.877","ADO"
"SN-38","HCT 116","6","0.35","up regulation","9.852","SESN1"
"SN-38","NCI-H596","6","0.35","up regulation","9.826","IER3"
"SN-38","COR-L23","6","0.35","up regulation","9.782","CDK6"
"SN-38","SK-LU-1","6","0.35","up regulation","9.734","CEBPA"
"SN-38","NCI-H1836","6","0.35","up regulation","9.696","ALDOC"
"SN-38","A673","6","0.35","up regulation","9.685","TP53"
"SN-38","MCF7","6","0.35","up regulation","9.665","INPP1"
