"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"R406","THP-1","6","10","up regulation","17.599","HDGFRP3"
"R406","EFO-27","6","10","up regulation","14.993","SPP1"
"R406","NCI-H2073","6","10","up regulation","14.048","C2CD2"
"R406","NCI-H1836","6","10","up regulation","12.423","LAMA3"
"R406","NCI-H1836","6","10","up regulation","11.84","CDK6"
"R406","RMG-I","6","10","up regulation","11.037","NR3C1"
"R406","THP-1","6","10","up regulation","10.939","PAX8"
"R406","MCF7","6","2","up regulation","10.913","MYLK"
"R406","Hs 578T","6","0.08","up regulation","10.801","FBXO11"
"R406","SW-948","6","10","up regulation","10.681","MCOLN1"
"R406","BT-20","6","2","up regulation","10.58","SNAP25"
"R406","SW-948","6","10","up regulation","10.51","NR3C1"
"R406","WSU-DLCL2","6","10","up regulation","10.279","GATA3"
"R406","BT-20","6","0.4","up regulation","9.855","E2F2"
"R406","Hs 578T","24","10","up regulation","9.52","DENND2D"
"R406","BT-20","24","10","up regulation","9.33","ADRB2"
"R406","Hs 578T","24","0.08","up regulation","9.286","ADCK3"
"R406","NCI-H1836","6","10","up regulation","9.277","KLHL21"
"R406","NCI-H1836","6","10","up regulation","9.259","ERBB2"
"R406","U-937","6","10","up regulation","9.139","TGFBR2"
"R406","DV-90","6","10","up regulation","9.129","KDM5B"
"R406","AGS","6","10","up regulation","8.753","ERBB3"
"R406","BT-20","6","2","up regulation","8.743","ADRB2"
"R406","U-937","6","10","up regulation","8.728","PEX11A"
"R406","RMG-I","6","10","up regulation","8.545","MAMLD1"
"R406","A549","6","10","up regulation","8.524","PLCB3"
"R406","U-937","6","10","up regulation","8.403","ANO10"
"R406","Hep G2","6","10","up regulation","8.363","GNAS"
"R406","U-937","6","10","up regulation","8.312","ERBB2"
"R406","Hs 578T","6","10","up regulation","8.293","EXOSC4"
"R406","LoVo","6","10","up regulation","8.223","CHMP6"
"R406","HCC-15","6","10","up regulation","8.222","MAMLD1"
"R406","MCF7","24","0.08","up regulation","8.197","SLC1A4"
"R406","LoVo","6","10","up regulation","8.095","EDEM1"
"R406","SK-BR-3","6","0.4","up regulation","8.04","STK10"
"R406","SK-BR-3","24","10","up regulation","7.985","CDK6"
"R406","BT-20","6","10","up regulation","7.799","SPP1"
"R406","Hs 578T","6","10","up regulation","7.762","PPARG"
"R406","MDA-MB-231","24","10","up regulation","7.68","ST3GAL5"
"R406","VCaP","6","10","up regulation","7.565","ST3GAL5"
"R406","MDA-MB-231","6","2","up regulation","7.473","PEX11A"
"R406","WSU-DLCL2","6","10","up regulation","7.406","BACE2"
"R406","NCI-H2073","6","10","up regulation","7.313","UBQLN2"
"R406","DV-90","6","10","up regulation","7.313","TGFBR2"
"R406","BT-20","6","2","up regulation","7.301","SGCB"
"R406","EFO-27","6","10","up regulation","7.277","GATA3"
"R406","Hs 578T","6","0.08","up regulation","7.229","CDK6"
"R406","WSU-DLCL2","6","10","up regulation","7.208","ADRB2"
"R406","NCI-H2073","6","10","up regulation","7.185","RRS1"
"R406","U-937","6","10","up regulation","7.151","MUC1"
"R406","SK-BR-3","6","10","up regulation","7.133","MAMLD1"
"R406","BT-20","6","0.4","up regulation","7.054","ADCK3"
"R406","HCC-15","6","10","up regulation","7.047","STAP2"
"R406","SK-BR-3","6","10","up regulation","7.041","E2F2"
"R406","HCT 116","6","10","up regulation","7.031","ABCC5"
