"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"navitoclax","HCC-15","6","10","up regulation","10.975","SLC25A14"
"navitoclax","SW620","6","10","up regulation","10.764","FBXO11"
"navitoclax","Hep G2","6","10","up regulation","8.258","DENND2D"
"navitoclax","LoVo","6","10","up regulation","8.155","CTNNAL1"
"navitoclax","U-937","6","10","up regulation","8.006","CDK6"
"navitoclax","Hep G2","6","10","up regulation","7.931","NARFL"
"navitoclax","SW620","6","10","up regulation","7.918","MYLK"
"navitoclax","HCC-15","6","10","up regulation","7.55","INPP4B"
"navitoclax","SW620","6","10","up regulation","7.224","FZD7"
"navitoclax","A-375","6","10","up regulation","7.173","SQRDL"
"navitoclax","SW620","6","10","up regulation","6.973","PRKCH"
"navitoclax","Hep G2","6","10","up regulation","6.824","KIF14"
"navitoclax","U-937","6","10","up regulation","6.758","MEF2C"
"navitoclax","SW620","6","10","up regulation","6.547","GNAI1"
"navitoclax","SW620","6","10","up regulation","6.359","ABCC5"
"navitoclax","SW620","6","10","up regulation","6.331","RAB31"
"navitoclax","HCC-15","6","10","up regulation","6.239","GLI2"
"navitoclax","HCC-15","6","10","up regulation","5.397","BTK"
"navitoclax","MCF7","24","10","up regulation","5.255","IKZF1"
"navitoclax","SW620","6","10","up regulation","5.067","TJP1"
"navitoclax","Hep G2","6","10","up regulation","4.981","KCNK1"
"navitoclax","A-375","6","10","up regulation","4.763","PRKCH"
"navitoclax","A-375","6","10","up regulation","4.638","TGFBR2"
"navitoclax","HCC-15","6","10","up regulation","4.528","MNAT1"
"navitoclax","A-375","6","10","up regulation","4.478","SPP1"
"navitoclax","A-375","6","10","up regulation","4.473","GNAI1"
"navitoclax","HCC-15","6","10","up regulation","4.393","SUV39H1"
"navitoclax","A-375","6","10","up regulation","4.387","GPER"
"navitoclax","SW620","6","10","up regulation","4.326","PHKB"
"navitoclax","LoVo","6","10","up regulation","4.066","ABL1"
"navitoclax","U-937","6","10","up regulation","4.029","MBNL2"
"navitoclax","MCF7","24","10","up regulation","4.024","MCOLN1"
"navitoclax","MCF7","24","10","up regulation","3.654","ADAM10"
"navitoclax","HCC-15","6","10","up regulation","3.652","PXMP2"
"navitoclax","LoVo","6","10","up regulation","3.563","PECR"
"navitoclax","Hep G2","6","10","up regulation","3.459","MELK"
"navitoclax","A-375","6","10","up regulation","3.445","LPAR2"
"navitoclax","U-937","6","10","up regulation","3.437","MAP7"
"navitoclax","SW620","6","10","up regulation","3.433","EDEM1"
"navitoclax","Hep G2","6","10","up regulation","3.337","MAPK1IP1L"
"navitoclax","A-375","6","10","up regulation","3.328","SATB1"
"navitoclax","U-937","6","10","up regulation","3.28","VAV3"
"navitoclax","Hep G2","6","10","up regulation","3.275","IGHMBP2"
"navitoclax","SW620","6","10","up regulation","3.243","PPARD"
"navitoclax","MCF7","24","10","up regulation","3.226","GPATCH8"
"navitoclax","LoVo","6","10","up regulation","3.221","SMAD3"
"navitoclax","SW620","6","10","up regulation","2.99","SNAP25"
"navitoclax","A-375","6","10","up regulation","2.987","RAB27A"
"navitoclax","MCF7","24","10","up regulation","2.96","UBQLN2"
"navitoclax","A-375","6","10","up regulation","2.872","PPARG"
"navitoclax","SW620","6","10","up regulation","2.869","USP6NL"
"navitoclax","SW620","6","10","up regulation","2.831","NR1H2"
"navitoclax","SW620","6","10","up regulation","2.83","ZNF586"
"navitoclax","MCF7","24","10","up regulation","2.822","ST3GAL5"
"navitoclax","MCF7","24","10","up regulation","2.789","RRP8"
"navitoclax","LoVo","6","10","up regulation","2.783","YTHDF1"
"navitoclax","SW620","6","10","up regulation","2.78","CRKL"
"navitoclax","A-375","6","10","up regulation","2.769","MEF2C"
"navitoclax","SW620","6","10","up regulation","2.719","IKBKE"
"navitoclax","LoVo","6","10","up regulation","2.683","CDK6"
"navitoclax","U-937","6","10","up regulation","2.63","FAS"
"navitoclax","MCF7","24","10","up regulation","2.627","ME2"
"navitoclax","MCF7","24","10","up regulation","2.588","TMEM110"
"navitoclax","MCF7","24","10","up regulation","2.585","CNPY3"
"navitoclax","HCC-15","6","10","up regulation","2.543","IKBKAP"
"navitoclax","U-937","6","10","up regulation","2.531","IGF1R"
"navitoclax","MCF7","24","10","up regulation","2.528","NFATC3"
"navitoclax","SW620","6","10","up regulation","2.525","SGCB"
"navitoclax","U-937","6","10","up regulation","2.502","UBQLN2"
"navitoclax","LoVo","6","10","up regulation","2.491","GNAI2"
"navitoclax","LoVo","6","10","up regulation","2.448","PPP2R3C"
"navitoclax","U-937","6","10","up regulation","2.445","KCTD5"
"navitoclax","MCF7","24","10","up regulation","2.408","SSBP2"
"navitoclax","Hep G2","6","10","up regulation","2.362","PAICS"
"navitoclax","SW620","6","10","up regulation","2.36","TLE1"
"navitoclax","SW620","6","10","up regulation","2.36","HIST1H2BK"
"navitoclax","Hep G2","6","10","up regulation","2.35","SNX13"
"navitoclax","LoVo","6","10","up regulation","2.323","REEP5"
"navitoclax","Hep G2","6","10","up regulation","2.278","ADH5"
"navitoclax","Hep G2","6","10","up regulation","2.255","ZDHHC6"
"navitoclax","SW620","6","10","up regulation","2.248","SUV39H1"
"navitoclax","SW620","6","10","up regulation","2.224","RBM15B"
"navitoclax","LoVo","6","10","up regulation","2.219","CDCA4"
"navitoclax","Hep G2","6","10","up regulation","2.211","CAPN1"
"navitoclax","LoVo","6","10","up regulation","2.204","CCNA1"
"navitoclax","U-937","6","10","up regulation","2.184","PACSIN3"
"navitoclax","MCF7","24","10","up regulation","2.151","GNA15"
"navitoclax","SW620","6","10","up regulation","2.139","CNPY3"
"navitoclax","HCC-15","6","10","up regulation","2.083","UBE3B"
"navitoclax","HCC-15","6","10","up regulation","2.065","LAMA3"
"navitoclax","A-375","6","10","up regulation","2.034","PLCB3"
"navitoclax","SW620","6","10","up regulation","2.033","RAC2"
"navitoclax","LoVo","6","10","up regulation","2.023","CCND1"
"navitoclax","Hep G2","6","10","up regulation","2.018","FAIM"
"navitoclax","HCC-15","6","10","up regulation","2.013","DCTD"
"navitoclax","A-375","6","10","up regulation","1.996","FAIM"
"navitoclax","HCC-15","6","10","up regulation","1.971","TP53BP1"
"navitoclax","A-375","6","10","up regulation","1.96","DDR1"
"navitoclax","A-375","6","10","up regulation","1.935","DENND2D"
"navitoclax","A-375","6","10","up regulation","1.925","DDX10"
"navitoclax","U-937","6","10","up regulation","1.923","CD97"
"navitoclax","A-375","6","10","up regulation","1.917","HDGFRP3"
"navitoclax","A-375","6","10","up regulation","1.908","CCP110"
"navitoclax","LoVo","6","10","up regulation","1.907","SLC35A3"
"navitoclax","HCC-15","6","10","up regulation","1.901","PACSIN3"
"navitoclax","Hep G2","6","10","up regulation","1.898","MBNL2"
"navitoclax","A-375","6","10","up regulation","1.891","ADRB2"
"navitoclax","U-937","6","10","up regulation","1.872","KIAA0100"
"navitoclax","SW620","6","10","up regulation","1.848","ATP2C1"
"navitoclax","SW620","6","10","up regulation","1.846","CEP57"
"navitoclax","Hep G2","6","10","up regulation","1.845","PIK3C2B"
"navitoclax","HCC-15","6","10","up regulation","1.843","RPA2"
"navitoclax","SW620","6","10","up regulation","1.838","SOCS2"
"navitoclax","LoVo","6","10","up regulation","1.833","DAXX"
"navitoclax","LoVo","6","10","up regulation","1.829","USP6NL"
"navitoclax","SW620","6","10","up regulation","1.799","HIST2H2BE"
"navitoclax","SW620","6","10","up regulation","1.777","PIK3CA"
"navitoclax","HCC-15","6","10","up regulation","1.767","CXCR4"
"navitoclax","A-375","6","10","up regulation","1.765","RRS1"
"navitoclax","SW620","6","10","up regulation","1.765","RRAGA"
"navitoclax","LoVo","6","10","up regulation","1.75","TBC1D9B"
"navitoclax","LoVo","6","10","up regulation","1.749","KIAA0100"
"navitoclax","A-375","6","10","up regulation","1.747","RRP8"
"navitoclax","A-375","6","10","up regulation","1.739","PCK2"
"navitoclax","SW620","6","10","up regulation","1.732","H2AFV"
"navitoclax","A-375","6","10","up regulation","1.73","AKT1"
"navitoclax","LoVo","6","10","up regulation","1.729","CCDC90A"
"navitoclax","SW620","6","10","up regulation","1.71","TMEM110"
"navitoclax","HCC-15","6","10","up regulation","1.709","HIST2H2BE"
"navitoclax","MCF7","24","10","up regulation","1.707","INTS3"
"navitoclax","SW620","6","10","up regulation","1.706","EGF"
"navitoclax","MCF7","24","10","up regulation","1.698","RPS6KA1"
"navitoclax","SW620","6","10","up regulation","1.695","KDM5B"
"navitoclax","SW620","6","10","up regulation","1.684","GPC1"
"navitoclax","SW620","6","10","up regulation","1.681","NOS3"
"navitoclax","HCC-15","6","10","up regulation","1.681","STXBP1"
"navitoclax","LoVo","6","10","up regulation","1.677","TCFL5"
"navitoclax","HCC-15","6","10","up regulation","1.673","EPN2"
"navitoclax","SW620","6","10","up regulation","1.67","GATA2"
"navitoclax","Hep G2","6","10","up regulation","1.658","EPN2"
"navitoclax","Hep G2","6","10","up regulation","1.658","NUDT9"
"navitoclax","Hep G2","6","10","up regulation","1.639","MBOAT7"
"navitoclax","LoVo","6","10","up regulation","1.636","G3BP1"
"navitoclax","HCC-15","6","10","up regulation","1.628","SMARCC1"
"navitoclax","LoVo","6","10","up regulation","1.624","UBE3B"
"navitoclax","SW620","6","10","up regulation","1.623","ADAM10"
"navitoclax","A-375","6","10","up regulation","1.622","DFFB"
"navitoclax","A-375","6","10","up regulation","1.613","CD40"
"navitoclax","MCF7","24","10","up regulation","1.601","STK10"
"navitoclax","LoVo","6","10","up regulation","1.596","CD97"
"navitoclax","LoVo","6","10","up regulation","1.596","SLC25A13"
"navitoclax","U-937","6","10","up regulation","1.589","IKBKAP"
"navitoclax","MCF7","24","10","up regulation","1.581","HERC6"
"navitoclax","A-375","6","10","up regulation","1.579","HES1"
"navitoclax","SW620","6","10","up regulation","1.571","BMP4"
"navitoclax","LoVo","6","10","up regulation","1.568","KIF20A"
"navitoclax","LoVo","6","10","up regulation","1.568","BLMH"
"navitoclax","A-375","6","10","up regulation","1.566","FOXJ3"
"navitoclax","HCC-15","6","10","up regulation","1.556","RB1"
"navitoclax","LoVo","6","10","up regulation","1.532","DCK"
"navitoclax","SW620","6","10","up regulation","1.518","CAST"
"navitoclax","U-937","6","10","up regulation","1.517","SYK"
"navitoclax","LoVo","6","10","up regulation","1.514","EIF4G1"
"navitoclax","Hep G2","6","10","up regulation","1.504","TBC1D9B"
"navitoclax","MCF7","24","10","up regulation","1.502","ACLY"
"navitoclax","LoVo","6","10","up regulation","1.5","CASK"
"navitoclax","LoVo","6","10","up regulation","1.498","WDR61"
"navitoclax","HCC-15","6","10","up regulation","1.491","MAPKAPK2"
"navitoclax","SW620","6","10","up regulation","1.479","KIT"
"navitoclax","LoVo","6","10","up regulation","1.475","DENND2D"
"navitoclax","SW620","6","10","up regulation","1.459","KIAA0753"
"navitoclax","LoVo","6","10","up regulation","1.455","PACSIN3"
"navitoclax","HCC-15","6","10","up regulation","1.455","RNPS1"
"navitoclax","SW620","6","10","up regulation","1.449","WDR7"
"navitoclax","SW620","6","10","up regulation","1.443","ADAT1"
"navitoclax","LoVo","6","10","up regulation","1.441","SLC27A3"
