"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"AZD7762","MDA-MB-231","24","2","up regulation","20.504","E2F2"
"AZD7762","MCF7","24","2","up regulation","13.282","ME2"
"AZD7762","MDA-MB-231","24","10","up regulation","12.204","IKZF1"
"AZD7762","MCF7","24","2","up regulation","12.167","NFATC3"
"AZD7762","MCF7","24","0.08","up regulation","11.631","SNAP25"
"AZD7762","Hep G2","6","10","up regulation","11.189","INPP4B"
"AZD7762","Hep G2","6","10","up regulation","10.933","TIAM1"
"AZD7762","MCF7","24","2","up regulation","10.851","RELB"
"AZD7762","MCF7","24","2","up regulation","10.687","IKZF1"
"AZD7762","Hs 578T","6","10","up regulation","10.37","FBXO11"
"AZD7762","SK-BR-3","24","0.4","up regulation","9.607","TGFBR2"
"AZD7762","MDA-MB-231","24","10","up regulation","9.184","FOXO4"
"AZD7762","BT-20","24","10","up regulation","9.107","RELB"
"AZD7762","MCF7","24","2","up regulation","9.017","SLC1A4"
"AZD7762","HT-29","6","10","up regulation","8.927","RELB"
"AZD7762","A549","24","10","up regulation","8.7","MYLK"
"AZD7762","MDA-MB-231","24","10","up regulation","8.695","TBX2"
"AZD7762","SK-BR-3","24","2","up regulation","8.676","TGFBR2"
"AZD7762","SK-BR-3","24","10","up regulation","8.619","PAK1"
"AZD7762","A549","24","10","up regulation","8.36","FOXO4"
"AZD7762","SK-BR-3","6","2","up regulation","8.283","TGFBR2"
"AZD7762","SK-BR-3","24","10","up regulation","8.144","DUSP22"
"AZD7762","A-375","6","10","up regulation","8.137","EGR1"
"AZD7762","SK-BR-3","6","10","up regulation","8.111","GATA3"
"AZD7762","HT-29","6","10","up regulation","7.954","TNIP1"
"AZD7762","MCF7","24","2","up regulation","7.816","CASP2"
"AZD7762","A549","6","10","up regulation","7.802","TJP1"
"AZD7762","MDA-MB-231","24","10","up regulation","7.785","SSBP2"
"AZD7762","MDA-MB-231","24","10","up regulation","7.758","ST3GAL5"
"AZD7762","A-375","6","10","up regulation","7.689","GATA3"
"AZD7762","MDA-MB-231","24","10","up regulation","7.675","DFFB"
"AZD7762","A-375","6","10","up regulation","7.661","RBKS"
"AZD7762","BT-20","6","10","up regulation","7.635","MYLK"
"AZD7762","MCF7","24","0.08","up regulation","7.599","ADAM10"
"AZD7762","MDA-MB-231","24","10","up regulation","7.595","TSC22D3"
"AZD7762","MDA-MB-231","24","10","up regulation","7.555","SOCS2"
"AZD7762","BT-20","24","0.4","up regulation","7.517","MYLK"
"AZD7762","BT-20","24","2","up regulation","7.494","PECR"
"AZD7762","SK-BR-3","24","0.4","up regulation","7.484","NFATC3"
"AZD7762","MDA-MB-231","24","2","up regulation","7.455","MAP7"
"AZD7762","Hs 578T","6","10","up regulation","7.434","BRCA1"
"AZD7762","MDA-MB-231","24","10","up regulation","7.425","KCNK1"
"AZD7762","Hs 578T","24","2","up regulation","7.421","GPER"
"AZD7762","MDA-MB-231","24","10","up regulation","7.396","ADAT1"
"AZD7762","MDA-MB-231","24","10","up regulation","7.361","KIAA0753"
"AZD7762","MDA-MB-231","24","2","up regulation","7.358","PRKCH"
"AZD7762","SK-BR-3","24","0.4","up regulation","7.351","CASP2"
"AZD7762","SK-BR-3","24","0.08","up regulation","7.333","MCOLN1"
"AZD7762","SK-BR-3","6","2","up regulation","7.313","SLC2A6"
"AZD7762","MCF7","24","2","up regulation","7.293","MICALL1"
"AZD7762","SK-BR-3","6","10","up regulation","7.279","ST6GALNAC2"
"AZD7762","MDA-MB-231","24","10","up regulation","7.264","ID2"
"AZD7762","MDA-MB-231","24","10","up regulation","7.26","SATB1"
"AZD7762","A-375","6","10","up regulation","7.167","AURKA"
"AZD7762","HT-29","6","10","up regulation","7.105","ERBB3"
"AZD7762","A-375","6","10","up regulation","7.085","HIST1H2BK"
"AZD7762","MCF7","24","2","up regulation","7.026","BMP4"
"AZD7762","MDA-MB-231","24","10","up regulation","6.913","NARFL"
"AZD7762","MCF7","24","2","up regulation","6.864","SATB1"
"AZD7762","MDA-MB-231","24","10","up regulation","6.808","ERBB3"
"AZD7762","SK-BR-3","24","0.4","up regulation","6.806","CDK6"
"AZD7762","SK-BR-3","6","10","up regulation","6.731","AURKA"
"AZD7762","SK-BR-3","24","10","up regulation","6.708","RELB"
"AZD7762","MDA-MB-231","24","10","up regulation","6.704","PRKCQ"
"AZD7762","A-375","6","10","up regulation","6.652","PTGS2"
"AZD7762","HT-29","6","10","up regulation","6.608","KIF2C"
"AZD7762","Hs 578T","6","2","up regulation","6.589","HOOK2"
"AZD7762","MCF7","24","0.08","up regulation","6.572","TGFBR2"
"AZD7762","Hs 578T","24","2","up regulation","6.482","IDE"
"AZD7762","SK-BR-3","6","0.4","up regulation","6.446","E2F2"
"AZD7762","Hep G2","6","10","up regulation","6.432","RPL39L"
"AZD7762","MDA-MB-231","24","2","up regulation","6.427","TSC22D3"
"AZD7762","SK-BR-3","6","2","up regulation","6.426","ICAM1"
"AZD7762","MDA-MB-231","24","0.4","up regulation","6.409","IKZF1"
"AZD7762","MDA-MB-231","24","10","up regulation","6.365","CAT"
"AZD7762","SK-BR-3","6","0.4","up regulation","6.311","PAK1"
"AZD7762","SK-BR-3","6","0.4","up regulation","6.282","PHF15"
"AZD7762","SK-BR-3","6","10","up regulation","6.279","PPARD"
"AZD7762","MDA-MB-231","24","10","up regulation","6.207","PCK2"
"AZD7762","BT-20","6","10","up regulation","6.204","MMP1"
"AZD7762","MCF7","24","2","up regulation","6.112","C2CD2"
"AZD7762","MDA-MB-231","6","10","up regulation","6.101","TSC22D3"
"AZD7762","HT-29","6","10","up regulation","6.091","KIF20A"
"AZD7762","BT-20","6","2","up regulation","6.035","EAPP"
"AZD7762","A549","6","10","up regulation","6.021","FBXO11"
"AZD7762","A-375","6","10","up regulation","6.012","NFATC3"
"AZD7762","Hep G2","6","10","up regulation","6","P4HTM"
"AZD7762","MDA-MB-231","24","10","up regulation","5.986","SOX2"
"AZD7762","SK-BR-3","6","10","up regulation","5.985","SUV39H1"
"AZD7762","PC-3","6","10","up regulation","5.979","EGF"
"AZD7762","Hs 578T","6","10","up regulation","5.965","HERC6"
"AZD7762","SK-BR-3","24","2","up regulation","5.941","ICAM1"
"AZD7762","SK-BR-3","6","2","up regulation","5.926","AURKA"
"AZD7762","BT-20","6","10","up regulation","5.923","AURKA"
"AZD7762","BT-20","24","0.08","up regulation","5.914","DFFB"
"AZD7762","Hep G2","6","10","up regulation","5.894","RAB31"
"AZD7762","SK-BR-3","6","10","up regulation","5.887","RELB"
"AZD7762","BT-20","6","10","up regulation","5.857","SPAG4"
"AZD7762","SK-BR-3","24","2","up regulation","5.855","PLS1"
"AZD7762","A-375","6","10","up regulation","5.842","JUN"
"AZD7762","Hep G2","6","10","up regulation","5.836","KIAA0753"
"AZD7762","BT-20","6","0.08","up regulation","5.821","ZNF589"
"AZD7762","A-375","6","10","up regulation","5.813","SESN1"
"AZD7762","SK-BR-3","24","10","up regulation","5.797","RGS2"
"AZD7762","VCaP","24","10","up regulation","5.774","STXBP1"
