"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"docetaxel","PC-3","24","10","up regulation","17.755","E2F2"
"docetaxel","PC-3","24","10","up regulation","9.196","ADAM10"
"docetaxel","PC-3","24","10","up regulation","8.475","CDK6"
"docetaxel","PC-3","24","10","up regulation","8.227","CHP"
"docetaxel","PC-3","24","10","up regulation","7.642","RAB11FIP2"
"docetaxel","PC-3","24","10","up regulation","6.285","APBB2"
"docetaxel","PC-3","24","10","up regulation","6.234","RAB31"
"docetaxel","PC-3","24","10","up regulation","6.107","CXCL2"
"docetaxel","A549","24","10","up regulation","5.682","SESN1"
"docetaxel","A549","24","10","up regulation","5.442","TLR4"
"docetaxel","A549","24","10","up regulation","5.381","SLC1A4"
"docetaxel","A549","24","10","up regulation","5.126","TMEM110"
"docetaxel","PC-3","24","10","up regulation","5.125","GPER"
"docetaxel","PC-3","24","10","up regulation","5.118","PRKCQ"
"docetaxel","VCaP","24","10","up regulation","5.117","CDC25B"
"docetaxel","VCaP","24","10","up regulation","5.034","KIF20A"
"docetaxel","PC-3","24","10","up regulation","4.919","KLHL21"
"docetaxel","A-375","6","10","up regulation","4.912","PAX8"
"docetaxel","A549","24","10","up regulation","4.8","DHX29"
"docetaxel","PC-3","24","10","up regulation","4.741","FKBP14"
"docetaxel","PC-3","24","10","up regulation","4.726","MYC"
"docetaxel","PC-3","24","10","up regulation","4.707","RELB"
"docetaxel","VCaP","24","10","up regulation","4.687","KIF2C"
"docetaxel","VCaP","24","10","up regulation","4.648","CCNA2"
"docetaxel","PC-3","24","10","up regulation","4.52","ABHD6"
"docetaxel","PC-3","24","10","up regulation","4.356","AURKA"
"docetaxel","PC-3","24","10","up regulation","4.355","TBX2"
"docetaxel","VCaP","6","10","up regulation","4.339","CDK6"
"docetaxel","VCaP","24","10","up regulation","4.315","CENPE"
"docetaxel","PC-3","24","10","up regulation","4.275","ABL1"
"docetaxel","PC-3","24","10","up regulation","4.168","TBXA2R"
"docetaxel","VCaP","24","10","up regulation","4.02","KIF14"
"docetaxel","PC-3","24","10","up regulation","4.001","KIF20A"
"docetaxel","VCaP","24","10","up regulation","3.987","GFOD1"
"docetaxel","PC-3","24","10","up regulation","3.973","SNAP25"
"docetaxel","PC-3","24","10","up regulation","3.95","EPHB2"
"docetaxel","PC-3","24","10","up regulation","3.933","GPATCH8"
"docetaxel","A549","24","10","up regulation","3.752","AKAP8L"
"docetaxel","A549","6","10","up regulation","3.705","HOOK2"
"docetaxel","A549","24","10","up regulation","3.635","FOSL1"
"docetaxel","VCaP","24","10","up regulation","3.633","AURKA"
"docetaxel","PC-3","24","10","up regulation","3.631","PTGS2"
"docetaxel","VCaP","6","10","up regulation","3.617","USP6NL"
"docetaxel","PC-3","24","10","up regulation","3.602","HIST2H2BE"
"docetaxel","PC-3","24","10","up regulation","3.576","PHF15"
"docetaxel","VCaP","24","10","up regulation","3.576","BAG3"
"docetaxel","PC-3","24","10","up regulation","3.541","NFKBIA"
"docetaxel","A549","24","10","up regulation","3.491","NFATC3"
"docetaxel","A549","24","10","up regulation","3.473","CDKN1A"
"docetaxel","A-375","6","10","up regulation","3.444","CDH3"
"docetaxel","PC-3","24","10","up regulation","3.375","KIAA0753"
"docetaxel","VCaP","6","10","up regulation","3.36","DUSP22"
"docetaxel","PC-3","24","10","up regulation","3.346","NUDT9"
"docetaxel","A549","24","10","up regulation","3.34","HIST1H2BK"
"docetaxel","PC-3","24","10","up regulation","3.335","CSNK1E"
"docetaxel","A549","24","10","up regulation","3.297","IKBKE"
"docetaxel","PC-3","24","10","up regulation","3.295","DDX42"
"docetaxel","PC-3","24","10","up regulation","3.285","TICAM1"
"docetaxel","PC-3","24","10","up regulation","3.277","NFKBIB"
"docetaxel","VCaP","24","10","up regulation","3.238","RALB"
"docetaxel","PC-3","24","10","up regulation","3.231","IER3"
"docetaxel","VCaP","24","10","up regulation","3.228","BIRC5"
"docetaxel","A549","6","10","up regulation","3.185","TCTA"
"docetaxel","A549","24","10","up regulation","3.184","PRKX"
"docetaxel","PC-3","24","10","up regulation","3.131","IGHMBP2"
"docetaxel","PC-3","24","10","up regulation","3.109","FSD1"
"docetaxel","VCaP","24","10","up regulation","3.097","PSRC1"
"docetaxel","A549","24","10","up regulation","3.075","TOPBP1"
"docetaxel","PC-3","24","10","up regulation","3.027","CCDC86"
"docetaxel","A549","24","10","up regulation","2.999","STK10"
"docetaxel","PC-3","24","10","up regulation","2.981","JUN"
"docetaxel","VCaP","24","10","up regulation","2.969","CCNF"
"docetaxel","PC-3","24","10","up regulation","2.906","ZFP36"
"docetaxel","PC-3","24","10","up regulation","2.87","NOTCH1"
"docetaxel","PC-3","24","10","up regulation","2.864","IL1B"
"docetaxel","A549","24","10","up regulation","2.856","NPC1"
"docetaxel","A549","24","10","up regulation","2.841","PLEKHJ1"
"docetaxel","A549","24","10","up regulation","2.841","ALAS1"
"docetaxel","PC-3","24","10","up regulation","2.827","FOXO3"
"docetaxel","A549","6","10","up regulation","2.825","LAMA3"
"docetaxel","A549","24","10","up regulation","2.815","CAB39"
"docetaxel","A549","24","10","up regulation","2.766","NOTCH1"
"docetaxel","A549","24","10","up regulation","2.757","LGALS8"
"docetaxel","A549","24","10","up regulation","2.748","GNA15"
"docetaxel","PC-3","24","10","up regulation","2.746","PAX8"
"docetaxel","A549","24","10","up regulation","2.725","MTF2"
"docetaxel","A549","24","10","up regulation","2.713","SATB1"
"docetaxel","PC-3","24","10","up regulation","2.71","HMGCR"
"docetaxel","PC-3","24","10","up regulation","2.687","CNOT4"
"docetaxel","A549","24","10","up regulation","2.672","TCFL5"
"docetaxel","VCaP","24","10","up regulation","2.668","CDC20"
"docetaxel","PC-3","24","10","up regulation","2.638","MAP7"
"docetaxel","VCaP","24","10","up regulation","2.617","PLK1"
"docetaxel","A549","24","10","up regulation","2.587","SLC2A6"
"docetaxel","A549","24","10","up regulation","2.583","SLC35F2"
"docetaxel","A549","24","10","up regulation","2.578","CASP10"
"docetaxel","VCaP","24","10","up regulation","2.568","ZNF586"
"docetaxel","A549","24","10","up regulation","2.555","KIAA0196"
"docetaxel","VCaP","6","10","up regulation","2.541","KLHL21"
"docetaxel","PC-3","24","10","up regulation","2.529","EDN1"
"docetaxel","PC-3","24","10","up regulation","2.509","DDIT4"
"docetaxel","VCaP","24","10","up regulation","2.507","CBR3"
"docetaxel","PC-3","24","10","up regulation","2.499","CDKN1A"
"docetaxel","A549","24","10","up regulation","2.497","BAX"
"docetaxel","A549","24","10","up regulation","2.484","RALA"
"docetaxel","VCaP","6","10","up regulation","2.48","MAPK13"
"docetaxel","A549","24","10","up regulation","2.464","DUSP11"
"docetaxel","A549","6","10","up regulation","2.424","CAB39"
"docetaxel","VCaP","24","10","up regulation","2.393","HMG20B"
"docetaxel","A549","24","10","up regulation","2.381","RELB"
"docetaxel","A549","24","10","up regulation","2.375","LOXL1"
"docetaxel","VCaP","24","10","up regulation","2.366","SMC4"
"docetaxel","A549","24","10","up regulation","2.35","CHERP"
"docetaxel","A549","24","10","up regulation","2.345","C2CD2"
"docetaxel","A549","24","10","up regulation","2.336","FRS2"
"docetaxel","A549","24","10","up regulation","2.323","ZMYM2"
"docetaxel","A549","24","10","up regulation","2.299","PMAIP1"
"docetaxel","A549","24","10","up regulation","2.293","JMJD6"
"docetaxel","VCaP","24","10","up regulation","2.269","CDH3"
"docetaxel","A549","24","10","up regulation","2.262","NFKB2"
"docetaxel","A-375","6","10","up regulation","2.254","PLK1"
"docetaxel","A549","24","10","up regulation","2.251","DDR1"
"docetaxel","A549","24","10","up regulation","2.236","TGFB3"
"docetaxel","VCaP","6","10","up regulation","2.22","APOE"
"docetaxel","A549","6","10","up regulation","2.208","TIMM17B"
"docetaxel","A549","24","10","up regulation","2.188","ACD"
"docetaxel","VCaP","24","10","up regulation","2.173","CCNB1"
"docetaxel","A549","24","10","up regulation","2.163","IL1B"
"docetaxel","A549","24","10","up regulation","2.143","DRAP1"
"docetaxel","A-375","6","10","up regulation","2.142","SSBP2"
"docetaxel","A549","24","10","up regulation","2.125","MOK"
"docetaxel","A549","24","10","up regulation","2.108","PAF1"
"docetaxel","A-375","6","10","up regulation","2.106","AURKA"
"docetaxel","VCaP","24","10","up regulation","2.093","NUSAP1"
"docetaxel","A549","6","10","up regulation","2.068","RELB"
"docetaxel","A549","24","10","up regulation","2.056","FASTKD5"
"docetaxel","VCaP","24","10","up regulation","2.051","LBR"
"docetaxel","A549","24","10","up regulation","2.037","DFFA"
"docetaxel","A549","6","10","up regulation","2.026","TRIM2"
"docetaxel","VCaP","24","10","up regulation","2.026","MELK"
"docetaxel","A549","24","10","up regulation","2.019","JUN"
"docetaxel","A-375","6","10","up regulation","2.012","AKAP8L"
"docetaxel","VCaP","6","10","up regulation","1.997","FAM20B"
"docetaxel","A-375","6","10","up regulation","1.988","FOS"
"docetaxel","VCaP","24","10","up regulation","1.964","RSU1"
"docetaxel","A549","6","10","up regulation","1.959","ZNF131"
"docetaxel","A-375","6","10","up regulation","1.954","EBNA1BP2"
"docetaxel","VCaP","24","10","up regulation","1.949","PAK4"
"docetaxel","VCaP","24","10","up regulation","1.946","CCND1"
"docetaxel","VCaP","6","10","up regulation","1.939","CYTH1"
"docetaxel","VCaP","24","10","up regulation","1.91","HYOU1"
"docetaxel","VCaP","6","10","up regulation","1.887","VAV3"
"docetaxel","A549","6","10","up regulation","1.885","GNAI1"
"docetaxel","VCaP","24","10","up regulation","1.876","JMJD6"
"docetaxel","VCaP","24","10","up regulation","1.852","CCNB2"
"docetaxel","A549","6","10","up regulation","1.846","VAPB"
"docetaxel","A549","6","10","up regulation","1.838","XBP1"
"docetaxel","A549","6","10","up regulation","1.824","CREG1"
"docetaxel","A-375","6","10","up regulation","1.808","KIF14"
"docetaxel","A-375","6","10","up regulation","1.788","SMC4"
"docetaxel","VCaP","24","10","up regulation","1.758","STMN1"
"docetaxel","VCaP","6","10","up regulation","1.748","PRR15L"
"docetaxel","VCaP","6","10","up regulation","1.738","WDR7"
"docetaxel","A549","6","10","up regulation","1.737","PPP2R3C"
"docetaxel","VCaP","24","10","up regulation","1.707","ELAVL1"
"docetaxel","VCaP","6","10","up regulation","1.706","ACAA1"
"docetaxel","VCaP","24","10","up regulation","1.705","CYTH1"
"docetaxel","VCaP","24","10","up regulation","1.692","CDKN1A"
"docetaxel","A-375","6","10","up regulation","1.683","CENPE"
"docetaxel","A-375","6","10","up regulation","1.672","CTTN"
"docetaxel","A549","6","10","up regulation","1.666","MTHFD2"
"docetaxel","A-375","6","10","up regulation","1.655","GRWD1"
"docetaxel","VCaP","24","10","up regulation","1.644","PRKCH"
"docetaxel","A549","6","10","up regulation","1.641","CLIC4"
"docetaxel","VCaP","6","10","up regulation","1.638","CDH3"
"docetaxel","VCaP","6","10","up regulation","1.619","BHLHE40"
"docetaxel","VCaP","24","10","up regulation","1.616","ETS1"
"docetaxel","A-375","6","10","up regulation","1.613","KIF2C"
"docetaxel","VCaP","24","10","up regulation","1.61","CFLAR"
"docetaxel","A549","6","10","up regulation","1.601","EPHA3"
"docetaxel","VCaP","24","10","up regulation","1.601","PPP2R5E"
"docetaxel","VCaP","24","10","up regulation","1.594","GLRX"
"docetaxel","A549","6","10","up regulation","1.589","GRB10"
"docetaxel","VCaP","24","10","up regulation","1.586","DNAJB1"
