"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Saracatinib","A549","6","10","up regulation","12.193","KIF5C"
"Saracatinib","A549","6","10","up regulation","11.916","MAPK13"
"Saracatinib","MDA-MB-231","6","10","up regulation","10.808","SNAP25"
"Saracatinib","MCF7","24","0.4","up regulation","10.785","RELB"
"Saracatinib","HT-29","6","10","up regulation","10.602","SPP1"
"Saracatinib","A-375","6","10","up regulation","10.384","SIRT3"
"Saracatinib","MCF7","24","2","up regulation","9.957","RAC2"
"Saracatinib","BT-20","6","2","up regulation","9.86","MAMLD1"
"Saracatinib","A549","6","10","up regulation","9.829","ABCC5"
"Saracatinib","PC-3","24","10","up regulation","9.827","TLR4"
"Saracatinib","PC-3","24","10","up regulation","9.636","CDK6"
"Saracatinib","MCF7","24","2","up regulation","9.623","PAK1"
"Saracatinib","MCF7","24","2","up regulation","8.888","GPATCH8"
"Saracatinib","MCF7","24","10","up regulation","8.679","CDK6"
"Saracatinib","MDA-MB-231","24","10","up regulation","8.658","HMGCR"
"Saracatinib","MDA-MB-231","6","10","up regulation","8.506","GNAI1"
"Saracatinib","A-375","6","10","up regulation","8.466","CTNNAL1"
"Saracatinib","HT-29","6","10","up regulation","8.342","E2F2"
"Saracatinib","MDA-MB-231","24","10","up regulation","8.268","INSIG1"
"Saracatinib","MDA-MB-231","24","10","up regulation","8.16","HMGCS1"
"Saracatinib","MCF7","24","2","up regulation","7.726","FKBP14"
"Saracatinib","BT-20","24","10","up regulation","7.707","PTGS2"
"Saracatinib","MDA-MB-231","24","10","up regulation","7.638","ALDOC"
"Saracatinib","Hs 578T","6","2","up regulation","7.549","HDGFRP3"
"Saracatinib","MDA-MB-231","6","10","up regulation","7.515","PEX11A"
"Saracatinib","Hs 578T","24","10","up regulation","7.477","SUV39H1"
"Saracatinib","BT-20","6","10","up regulation","7.46","CXCL2"
"Saracatinib","SK-BR-3","24","10","up regulation","7.407","TSEN2"
"Saracatinib","MDA-MB-231","6","2","up regulation","7.318","BTK"
"Saracatinib","MDA-MB-231","24","10","up regulation","7.262","FDFT1"
"Saracatinib","SK-BR-3","6","10","up regulation","7.231","TGFBR2"
"Saracatinib","MCF7","24","0.4","up regulation","7.217","C2CD2"
"Saracatinib","Hs 578T","6","0.4","up regulation","7.214","CDK6"
"Saracatinib","SK-BR-3","24","2","up regulation","7.087","CDK6"
"Saracatinib","Hs 578T","6","0.08","up regulation","7.049","ST7"
"Saracatinib","MCF7","6","0.08","up regulation","6.756","GRB10"
"Saracatinib","MCF7","24","2","up regulation","6.65","STK10"
"Saracatinib","MDA-MB-231","6","2","up regulation","6.642","PEX11A"
"Saracatinib","Hs 578T","24","2","up regulation","6.428","SATB1"
"Saracatinib","HT-29","6","10","up regulation","6.369","SGCB"
"Saracatinib","SK-BR-3","6","0.08","up regulation","6.354","ADRB2"
"Saracatinib","A-375","6","10","up regulation","6.348","CISD1"
"Saracatinib","A-375","6","10","up regulation","6.337","AGL"
"Saracatinib","MCF7","24","0.4","up regulation","6.328","BAD"
"Saracatinib","BT-20","6","10","up regulation","6.318","CD320"
"Saracatinib","HT-29","6","10","up regulation","6.245","STK10"
