"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"MK 1775","EFO-27","6","10","up regulation","29.934","SPP1"
"MK 1775","SK-LU-1","6","10","up regulation","18.286","MAPK13"
"MK 1775","HCC-15","6","10","up regulation","16.265","ABCC5"
"MK 1775","SW-948","6","10","up regulation","15.602","HDGFRP3"
"MK 1775","MDST8","6","10","up regulation","14.56","CHEK2"
"MK 1775","MDST8","6","10","up regulation","14.494","C2CD2"
"MK 1775","AGS","6","10","up regulation","14.318","KIF5C"
"MK 1775","SK-MEL-1","6","10","up regulation","14.057","CDK6"
"MK 1775","HCC-15","6","10","up regulation","13.697","PPARG"
"MK 1775","AGS","6","10","up regulation","13.15","ADRB2"
"MK 1775","TYK-nu","6","10","up regulation","13.101","SPP1"
"MK 1775","SK-LU-1","6","10","up regulation","12.51","PPARG"
"MK 1775","BT-20","24","10","up regulation","11.439","ID2"
"MK 1775","U-937","6","10","up regulation","11.307","MAMLD1"
"MK 1775","MDA-MB-231","24","0.4","up regulation","11.12","SLC1A4"
"MK 1775","MDST8","6","10","up regulation","11.104","E2F2"
"MK 1775","U-937","6","10","up regulation","10.835","DDX42"
"MK 1775","VCaP","6","10","up regulation","10.282","SATB1"
"MK 1775","BT-20","24","10","up regulation","10.051","IKZF1"
"MK 1775","THP-1","6","10","up regulation","10.022","HES1"
"MK 1775","HT-29","24","10","up regulation","9.967","SPP1"
"MK 1775","SK-BR-3","6","0.08","up regulation","9.798","SIRT3"
"MK 1775","BT-20","24","10","up regulation","9.739","RELB"
"MK 1775","SW-948","6","10","up regulation","9.551","ADAM10"
"MK 1775","U-937","6","10","up regulation","9.532","SPAG4"
"MK 1775","PC-3","6","10","up regulation","9.082","NR3C1"
"MK 1775","VCaP","24","10","up regulation","9.067","BTK"
"MK 1775","A-375","6","10","up regulation","8.978","FBXO11"
"MK 1775","BT-20","24","0.08","up regulation","8.919","SLC1A4"
"MK 1775","BT-20","24","10","up regulation","8.911","SUV39H1"
"MK 1775","HT-29","6","10","up regulation","8.819","BTK"
"MK 1775","BT-20","24","0.08","up regulation","8.545","RFX5"
"MK 1775","AGS","6","10","up regulation","8.516","FBXO11"
"MK 1775","MDST8","6","10","up regulation","8.507","VAV3"
"MK 1775","THP-1","6","10","up regulation","8.363","IL1B"
"MK 1775","HCC-15","6","10","up regulation","8.267","MEF2C"
"MK 1775","THP-1","6","10","up regulation","8.192","KIF5C"
"MK 1775","BT-20","24","0.08","up regulation","8.182","IDE"
"MK 1775","THP-1","6","10","up regulation","8.091","SIRT3"
"MK 1775","BT-20","24","0.08","up regulation","8.047","ST3GAL5"
"MK 1775","BT-20","24","0.08","up regulation","7.999","CTTN"
"MK 1775","BT-20","24","10","up regulation","7.988","CD320"
"MK 1775","HT115","6","10","up regulation","7.965","ST3GAL5"
"MK 1775","MDA-MB-231","6","10","up regulation","7.938","IKZF1"
"MK 1775","BT-20","24","10","up regulation","7.777","PAX8"
