"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Gemcitabine","MCF7","6","0.3704","up regulation","17.003","TLR4"
"Gemcitabine","A-375","24","0.08","up regulation","16.823","EGR1"
"Gemcitabine","HT-29","24","0.08","up regulation","15.701","COL1A1"
"Gemcitabine","MCF7","6","0.0046","up regulation","13.916","CDK6"
"Gemcitabine","SK-LU-1","6","0.08","up regulation","13.759","SESN1"
"Gemcitabine","MCF7","6","0.0015","up regulation","13.646","EPHB2"
"Gemcitabine","MCF7","6","10","up regulation","13.191","IKZF1"
"Gemcitabine","MCF7","6","0.0015","up regulation","13.064","CDK6"
"Gemcitabine","HT-29","24","0.08","up regulation","12.713","HLA-DMA"
"Gemcitabine","LoVo","6","0.08","up regulation","12.281","SPP1"
"Gemcitabine","THP-1","6","0.08","up regulation","12.032","HES1"
"Gemcitabine","HT-29","24","0.08","up regulation","11.815","KIT"
"Gemcitabine","SW-948","6","0.08","up regulation","11.521","MAMLD1"
"Gemcitabine","DV-90","6","0.08","up regulation","11.243","RAC2"
"Gemcitabine","THP-1","6","0.08","up regulation","11.064","PPARG"
"Gemcitabine","MCF7","6","10","up regulation","10.958","TLR4"
"Gemcitabine","A-375","24","0.08","up regulation","10.916","JUN"
"Gemcitabine","Hep G2","6","0.08","up regulation","10.841","GATA3"
"Gemcitabine","DV-90","6","0.08","up regulation","10.632","KLHL21"
"Gemcitabine","PC-3","6","10","up regulation","10.473","MAMLD1"
"Gemcitabine","THP-1","6","0.08","up regulation","10.381","GNAI1"
"Gemcitabine","Hep G2","6","0.08","up regulation","10.297","KIT"
"Gemcitabine","A549","6","0.1235","up regulation","10.157","CDK6"
"Gemcitabine","MCF7","6","0.3704","up regulation","9.893","KLHL21"
"Gemcitabine","LoVo","6","0.08","up regulation","9.848","ADRB2"
"Gemcitabine","HT-29","24","0.08","up regulation","9.802","IKZF1"
"Gemcitabine","HT-29","24","0.08","up regulation","9.784","MLLT11"
"Gemcitabine","SK-LU-1","6","0.08","up regulation","9.665","TLR4"
"Gemcitabine","A-375","24","0.08","up regulation","9.514","SESN1"
