"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"tamoxifen","HCT 116","6","28.39","up regulation","20.846","NR3C1"
"tamoxifen","HCT 116","6","28.39","up regulation","19.544","SPP1"
"tamoxifen","HCT 116","6","28.39","up regulation","17.557","PAK1"
"tamoxifen","HCT 116","6","28.39","up regulation","17.083","PRKCH"
"tamoxifen","HCT 116","6","28.39","up regulation","14.819","FBXO11"
"tamoxifen","HCT 116","6","28.39","up regulation","13.989","HDGFRP3"
"tamoxifen","MCF7","24","10","up regulation","13.307","PAK6"
"tamoxifen","HCT 116","6","28.39","up regulation","11.438","FAM63A"
"tamoxifen","A-375","6","10","up regulation","11.32","DHDDS"
"tamoxifen","HCT 116","6","28.39","up regulation","11.202","FAS"
"tamoxifen","HCT 116","6","28.39","up regulation","11.012","CNOT4"
"tamoxifen","HCT 116","6","28.39","up regulation","10.762","PIGB"
"tamoxifen","Hep G2","6","10","up regulation","10.534","CNOT4"
"tamoxifen","HCT 116","6","28.39","up regulation","10.471","TCTA"
"tamoxifen","HCT 116","6","28.39","up regulation","10.413","ST3GAL5"
"tamoxifen","Hep G2","6","10","up regulation","10.291","CHP"
"tamoxifen","HCT 116","6","28.39","up regulation","10.287","SIRT3"
"tamoxifen","HCT 116","6","28.39","up regulation","10.012","ADRB2"
"tamoxifen","Hep G2","6","28.39","up regulation","9.9","ADRB2"
"tamoxifen","MCF7","24","10","up regulation","9.686","CDK6"
"tamoxifen","HCT 116","6","28.39","up regulation","9.622","CASP2"
"tamoxifen","MCF7","24","10","up regulation","9.596","ME2"
"tamoxifen","HCT 116","6","28.39","up regulation","9.486","EPHB2"
"tamoxifen","HCC-15","6","28.39","up regulation","9.37","CEBPA"
"tamoxifen","HCT 116","6","28.39","up regulation","9.041","RPL39L"
"tamoxifen","HCT 116","6","28.39","up regulation","8.726","ZNF586"
"tamoxifen","A-375","24","28.39","up regulation","8.383","INSIG1"
"tamoxifen","HCT 116","6","28.39","up regulation","8.237","IDE"
"tamoxifen","A549","24","28.39","up regulation","7.997","PAK1"
"tamoxifen","A549","24","10","up regulation","7.991","ALDOC"
"tamoxifen","HCT 116","6","28.39","up regulation","7.922","MCOLN1"
"tamoxifen","HCT 116","6","28.39","up regulation","7.675","SSBP2"
"tamoxifen","A-375","24","28.39","up regulation","7.644","HMGCS1"
"tamoxifen","Hep G2","6","10","up regulation","7.589","MCOLN1"
"tamoxifen","HCT 116","6","28.39","up regulation","7.481","C2CD2"
"tamoxifen","Hep G2","6","28.39","up regulation","7.414","IGFBP3"
"tamoxifen","SW-948","6","28.39","up regulation","7.099","MEF2C"
"tamoxifen","HCT 116","6","28.39","up regulation","6.856","RELB"
"tamoxifen","VCaP","6","28.39","up regulation","6.837","CDK6"
"tamoxifen","MCF7","24","10","up regulation","6.614","SQRDL"
"tamoxifen","HCT 116","6","28.39","up regulation","6.6","DDX42"
"tamoxifen","HCT 116","6","28.39","up regulation","6.586","RRS1"
"tamoxifen","MCF7","24","10","up regulation","6.537","YME1L1"
"tamoxifen","HT-29","24","28.39","up regulation","6.474","ABCC5"
"tamoxifen","HCT 116","6","28.39","up regulation","6.41","WDR61"
"tamoxifen","HCT 116","6","28.39","up regulation","6.299","ABCC5"
"tamoxifen","VCaP","6","28.39","up regulation","6.259","ACLY"
"tamoxifen","Hep G2","6","28.39","up regulation","6.15","TSC22D3"
"tamoxifen","HCT 116","6","28.39","up regulation","6.12","EGF"
"tamoxifen","A-375","6","10","up regulation","6.084","STK10"
"tamoxifen","HCT 116","6","28.39","up regulation","6.044","FZD7"
"tamoxifen","SW620","6","28.39","up regulation","5.95","INPP4B"
"tamoxifen","VCaP","6","28.39","up regulation","5.906","RRP8"
"tamoxifen","HCT 116","6","28.39","up regulation","5.903","TJP1"
"tamoxifen","HCT 116","6","28.39","up regulation","5.896","RAB11FIP2"
"tamoxifen","HT-29","6","10","up regulation","5.856","TLR4"
"tamoxifen","HCT 116","6","28.39","up regulation","5.852","ATP5S"
"tamoxifen","HCT 116","6","28.39","up regulation","5.835","USP6NL"
"tamoxifen","Hep G2","6","28.39","up regulation","5.817","RNF167"
"tamoxifen","PC-3","24","10","up regulation","5.793","SYNGR3"
"tamoxifen","HCT 116","6","28.39","up regulation","5.783","SUV39H1"
"tamoxifen","HT-29","6","10","up regulation","5.668","SNX11"
"tamoxifen","A-375","24","28.39","up regulation","5.663","HMGCR"
"tamoxifen","Hep G2","6","28.39","up regulation","5.553","RRP8"
"tamoxifen","HCT 116","6","28.39","up regulation","5.524","WASF3"
"tamoxifen","A-375","6","10","up regulation","5.508","ABCC5"
"tamoxifen","MCF7","24","10","up regulation","5.479","BNIP3L"
"tamoxifen","MCF7","24","28.39","up regulation","5.465","TLR4"
"tamoxifen","Hep G2","6","28.39","up regulation","5.358","SIRT3"
"tamoxifen","HT-29","6","10","up regulation","5.308","SLC25A14"
"tamoxifen","PC-3","24","10","up regulation","5.281","KLHL21"
"tamoxifen","HCT 116","6","28.39","up regulation","5.276","MOK"
"tamoxifen","A549","24","28.39","up regulation","5.262","ALDOC"
"tamoxifen","PC-3","24","10","up regulation","5.242","STXBP1"
"tamoxifen","HCT 116","6","28.39","up regulation","5.216","SESN1"
"tamoxifen","HCT 116","6","28.39","up regulation","5.19","CHEK2"
"tamoxifen","HCC-15","6","28.39","up regulation","5.181","SPAG4"
"tamoxifen","MCF7","24","28.39","up regulation","5.133","KIF5C"
"tamoxifen","MCF7","24","10","up regulation","5.12","CD97"
"tamoxifen","HCT 116","6","28.39","up regulation","5.081","PRKCQ"
"tamoxifen","HCT 116","6","28.39","up regulation","5.074","STAT1"
"tamoxifen","HCT 116","6","28.39","up regulation","5.038","MICALL1"
"tamoxifen","HT-29","24","28.39","up regulation","5.023","VAV3"
"tamoxifen","HCT 116","6","28.39","up regulation","5.019","NOTCH1"
"tamoxifen","MCF7","24","10","up regulation","4.965","BNIP3L"
"tamoxifen","MCF7","24","10","up regulation","4.949","ATP1B1"
"tamoxifen","MCF7","24","10","up regulation","4.916","ABHD6"
"tamoxifen","HCT 116","6","28.39","up regulation","4.896","SQRDL"
"tamoxifen","HCT 116","6","28.39","up regulation","4.886","TMEM2"
"tamoxifen","Hep G2","6","28.39","up regulation","4.844","PAK1"
"tamoxifen","MCF7","24","28.39","up regulation","4.827","GPATCH8"
"tamoxifen","SW-948","6","28.39","up regulation","4.814","MAST2"
"tamoxifen","HCT 116","6","28.39","up regulation","4.799","PECR"
